流水	魔法属性编号	魔法属性等级	需要熔炼值
int	int	int	int
Id	MagicId	MagicLevel	NeedSmeltingValue
1	100004	1	0
2	100004	2	860
3	100004	3	1540
4	100004	4	2460
5	100004	5	3480
6	100004	6	4150
7	100005	1	0
8	100005	2	860
9	100005	3	1540
10	100005	4	2460
11	100005	5	3480
12	100005	6	4150
13	100006	1	0
14	100006	2	860
15	100006	3	1540
16	100006	4	2460
17	100006	5	3480
18	100006	6	4150
19	100022	1	0
20	100022	2	860
21	100022	3	1540
22	100022	4	2460
23	100022	5	3480
24	100022	6	4150
25	100023	1	0
26	100023	2	860
27	100023	3	1540
28	100023	4	2460
29	100023	5	3480
30	100023	6	4150
31	100024	1	0
32	100024	2	860
33	100024	3	1540
34	100024	4	2460
35	100024	5	3480
36	100024	6	4150
37	100025	1	0
38	100025	2	860
39	100025	3	1540
40	100025	4	2460
41	100025	5	3480
42	100025	6	4150
43	100026	1	0
44	100026	2	860
45	100026	3	1540
46	100026	4	2460
47	100026	5	3480
48	100026	6	4150
49	100027	1	0
50	100027	2	860
51	100027	3	1540
52	100027	4	2460
53	100027	5	3480
54	100027	6	4150
55	100040	1	0
56	100040	2	3220
57	100040	3	5760
58	100041	1	0
59	100041	2	3220
60	100041	3	5760
61	100042	1	0
62	100042	2	3220
63	100042	3	5760
64	100043	1	0
65	100043	2	3220
66	100043	3	5760
67	100044	1	0
68	100044	2	3220
69	100044	3	5760
70	100045	1	0
71	100045	2	3220
72	100045	3	5760
73	100046	1	0
74	100046	2	3220
75	100046	3	5760
76	100047	1	0
77	100047	2	3220
78	100047	3	5760
79	100048	1	0
80	100048	2	3220
81	100048	3	5760
82	100049	1	0
83	100049	2	3220
84	100049	3	5760
85	100050	1	0
86	100050	2	3220
87	100050	3	5760
88	100051	1	0
89	100051	2	3220
90	100051	3	5760
91	100052	1	0
92	100052	2	3220
93	100052	3	5760
94	100053	1	0
95	100053	2	3220
96	100053	3	5760
97	100054	1	0
98	100054	2	3220
99	100054	3	5760
100	100055	1	0
101	100055	2	3220
102	100055	3	5760
103	100056	1	0
104	100056	2	3220
105	100056	3	5760
106	100057	1	0
107	100057	2	3220
108	100057	3	5760
109	100058	1	0
110	100058	2	3220
111	100058	3	5760
112	100059	1	0
113	100059	2	3220
114	100059	3	5760
115	100060	1	0
116	100060	2	3220
117	100060	3	5760
118	100061	1	0
119	100061	2	3220
120	100061	3	5760
121	100062	1	0
122	100062	2	3220
123	100062	3	5760
124	100063	1	0
125	100063	2	3220
126	100063	3	5760
127	100064	1	0
128	100064	2	3220
129	100064	3	5760
130	100065	1	0
131	100065	2	3220
132	100065	3	5760
133	100066	1	0
134	100066	2	3220
135	100066	3	5760
136	100067	1	0
137	100067	2	3220
138	100067	3	5760
139	100068	1	0
140	100068	2	3220
141	100068	3	5760
142	100069	1	0
143	100069	2	3220
144	100069	3	5760
145	100070	1	0
146	100070	2	3220
147	100070	3	5760
148	100071	1	0
149	100071	2	3220
150	100071	3	5760
151	100072	1	0
152	100072	2	3220
153	100072	3	5760
154	100073	1	0
155	100073	2	3220
156	100073	3	5760
157	100074	1	0
158	100074	2	3220
159	100074	3	5760
160	100075	1	0
161	100075	2	3220
162	100075	3	5760
163	100076	1	0
164	100076	2	3220
165	100076	3	5760
166	100077	1	0
167	100077	2	3220
168	100077	3	5760
169	100078	1	0
170	100078	2	3220
171	100078	3	5760
172	100079	1	0
173	100079	2	3220
174	100079	3	5760
175	100080	1	0
176	100080	2	3220
177	100080	3	5760
178	100081	1	0
179	100081	2	3220
180	100081	3	5760
181	100082	1	0
182	100082	2	3220
183	100082	3	5760
184	100083	1	0
185	100083	2	3220
186	100083	3	5760
187	100084	1	0
188	100084	2	3220
189	100084	3	5760
190	100085	1	0
191	100085	2	3220
192	100085	3	5760
193	100086	1	0
194	100086	2	3220
195	100086	3	5760
196	100087	1	0
197	100087	2	3220
198	100087	3	5760
199	100088	1	0
200	100088	2	3220
201	100088	3	5760
202	100089	1	0
203	100089	2	3220
204	100089	3	5760
205	100090	1	0
206	100090	2	3220
207	100090	3	5760
208	100091	1	0
209	100091	2	3220
210	100091	3	5760
211	100092	1	0
212	100092	2	3220
213	100092	3	5760
214	100093	1	0
215	100093	2	3220
216	100093	3	5760
217	100094	1	0
218	100094	2	3220
219	100094	3	5760
220	100095	1	0
221	100095	2	3220
222	100095	3	5760
223	100096	1	0
224	100096	2	3220
225	100096	3	5760
