商品ID（非流水）	商店标签1	标签排序	商品标签2	商品类型	道具显示排序	道具ID	货币类型	售价	限购折扣	限购数量	限购类型	距离开服的天数	角色可见的等级	是否隐藏
int	int	int	int	int	int	string	int	int	int	int	int	string	string	bool
Id	LabelId	LabelSort	GoodsId	Type	ItemSort	ItemId	PriceType	GuidePrice	Sale	BuyLimitNum	BuyLimitType	SeverOpenTime	Level	IsHide
300	1	5	0	3	0		0	0	0	0	0			
301	1	5	1	3	0		0	0	0	0	0			
302	1	5	2	3	0		0	0	0	0	0			
303	1	5	3	3	0		0	0	0	0	0			
304	1	5	4	3	0		0	0	0	0	0			
305	1	5	5	3	0		0	0	0	0	0			
306	1	5	6	3	0		0	0	0	0	0			
307	1	5	7	3	0		0	0	0	0	0			
308	1	5	8	3	0		0	0	0	0	0			
309	1	5	9	3	0		0	0	0	0	0			
310	1	5	10	3	0		0	0	0	0	0			
311	1	5	11	3	0		0	0	0	0	0			
500	2	1	1	1	1	item91000000861	15	500	2	1	2			
501	2	1	2	1	2	item91000002000	15	80	8	10	2			
502	2	1	3	1	3	item90000000129	15	2400	5	1	2		20,999	
503	2	1	4	1	4	item91000002007	3	3970	4	1	2			
504	2	1	5	1	5	item91000002005	15	360	7	1	2			
505	2	1	6	1	6	item91000002004	15	1000	3	1	2			
506	2	1	7	1	7	item91000002004	3	1000	3	10	2			
507	2	1	8	1	8	item119100000003	3	480	5	3	2			
508	2	1	9	1	9	item100000000003	15	100	0	30	2			
509	2	1	10	1	10	item100000000002	3	240	5	8	2			
510	2	1	11	1	11	item91000001031	3	250	4	20	2		21,999	
511	2	1	12	1	12	item161000000002	15	300	0	50	2		31,999	
512	2	1	13	1	13	item91000002001	15	1000	7	2	2		31,999	
513	2	1	14	1	14	item100000000059	15	80	5	50	2		35,999	
514	2	1	15	1	15	item91000002002	15	600	6	10	2		40,999	
515	2	1	16	1	16	item91000002003	15	600	8	20	2		55,999	
516	2	1	17	1	17	item91000002008	15	600	7	10	2		60,999	
517	2	1	18	1	18	item17907000000013	3	125	8	100	2		65,999	
518	2	1	19	1	19	item102000020251	15	200	8	10	2		70,999	
600	4	2	1	1	1	item90000000125	15	10000	0	2	2		31,999	1
601	4	2	2	1	2	item91000000862	15	150	0	10	2			
602	4	2	3	1	3	item91000000863	15	150	0	10	2			
603	4	2	4	1	4	item100000000106	15	50	0	0	0			1
604	4	2	5	1	5	item91000002009	15	23400	2	1	4		70,999	
605	4	2	6	1	6	item91000002010	15	19400	2	1	4		65,999	
606	4	2	7	1	7	item91000002011	15	16400	2	1	4		60,999	
607	4	2	8	1	8	item91000002012	15	11400	2	1	4		55,999	
608	4	2	9	1	9	item91000002013	15	9400	2	1	4		50,999	
609	4	2	10	1	10	item91000002014	15	6400	2	1	4		45,999	
610	4	2	11	1	11	item91000002015	15	5400	2	1	4		40,999	
611	4	2	12	1	12	item91000002016	15	3400	2	1	4		35,999	
612	4	2	13	1	13	item91000002017	15	2400	2	1	4		30,999	
613	4	2	14	1	14	item91000002018	15	1400	2	1	4		20,999	
