场景ID	地图名字位置	地图按钮资源	地图按钮资源位置	地图子界面详细资源	地图界面特效	地图子界面详细资源长宽	地图子界面图片位置偏移	地图底图	地图按钮上面任务图标位置	详情地图比例尺	详情地图左右偏移	详情地图上下偏移	当前图标所在位置	地图区域的名字位置	地图区域的名字
int	string	string	string	string	int	vector2	vector2	string	string	vector2	int	int	string	string	string
Id	MapNamePosition	MapPicture	MapPicturePosition	MapDetailPicture	MapEffect	MapDetailPictureSize	MapDetailPicturePosition	BaseMap	MapTaskIconPosition	WorldMapMultiple	WorldMapDeviationX	WorldMapDeviationY	CurrentPosition	MapRegionPosition	MapRegionName
1	0,-15	bg_world1_area1	-160,-351,454,440	bg_world1_area1_map1	0	1024,1024	20,0	bgmap	113,280;144,263;137,224;195,175;222,149;262,128;337,144;326,215;253,268;190,321;191,240;283,164	2.85,2.85	-5	-20	200,169	-144,183;-180,-275;245,195;130,13	MapRegionArea1_1;MapRegionArea1_2;MapRegionArea1_3;MapRegionArea1_4
2	0,-60	bg_world5	54,50,256,256	bg_world_city	0	1024,1024	40,0	bgmap		3.2,3.2	-12	-40	124,125	216,249;-32,200;-240,86;223,-35;-45,-117;-255,-276	MapRegionCity1;MapRegionCity2;MapRegionCity3;MapRegionCity4;MapRegionCity5;MapRegionCity6
3	-5,-15	bg_world1_area2	4,-282,454,440	bg_world1_area2_map1	0	1024,1024	20,0	bgmap	113,269;145,250;184,234;232,163;222,120;282,124;273,176;331,199;348,229;336,259;264,285;164,302	3.8,3.8	-12	-7	181,232	-32,255;-186,10;-20,20;275,30;133,-232	MapRegionArea2_1;MapRegionArea2_2;MapRegionArea2_3;MapRegionArea2_4;MapRegionArea2_5
4	95,50	bg_world1_area3	-51,-578,454,440	bg_world1_area3_map1	0	1024,1024		bgmap	126,131;170,142;181,112;226,136;282,152;316,172;304,212;348,209;267,323;306,347;338,315;326,239	2.9,2.9	16	-14	281,296	190,280;184,53;48,-116;-80,-125;-267,-135	MapRegionArea3_1;MapRegionArea3_2;MapRegionArea3_3;MapRegionArea3_4;MapRegionArea3_5
5	-5,-5	bg_world1_area4	252,-468,454,440	bg_world1_area4_map1	0	1024,1024	20,0	bgmap	83,236;75,274;102,318;113,280;153,277;123,169;163,115;247,124;301,121;302,162;237,282;391,200	4.15,4.2	40	-10	212,262	232,280;-70,120;-226,50;70,45;265,10;-190,-167;110,-180	MapRegionArea4_1;MapRegionArea4_2;MapRegionArea4_3;MapRegionArea4_4;MapRegionArea4_5;MapRegionArea4_6;MapRegionArea4_7
6	50,-35	bg_world1_area5	-336,-458,454,440	bg_world1_area5_map1	0	1024,1024	-20,-20	bgmap	80,270;84,170;123,189;128,143;218,92;223,149;234,225;240,255;274,268;331,140;351,187;285,140	2.8,2.85	-20	-20	284,216	71,300;-61,124;-51,-63;-70,-180;190,-177	MapRegionArea5_1;MapRegionArea5_2;MapRegionArea5_3;MapRegionArea5_4;MapRegionArea5_5
7	0,0	bg_world2_area1	-577,-292,454,440	bg_world2_area1_map1	0	1024,1024		bgmap	177,137;157,179;139,214;166,276;204,289;264,300;204,260;269,259;328,257;281,244;229,178;192,174	3.65,3.4	-85	-55	212,264	-182,135;94,180;-210,-170;-24,-280;190,-180	MapRegionArea6_1;MapRegionArea6_2;MapRegionArea6_3;MapRegionArea6_4;MapRegionArea6_5
8	0,0	bg_world2_area2	-723,-190,454,440	bg_world2_area2_map1	0	1024,1024		bgmap	223,135;182,180;246,183;156,284;118,325;170,360;208,318;241,311;274,330;287,309;246,273	3.1,3.0	-10	30	212,264	-240,18;-104,166;121,159;196,-38;-34,-274	MapRegionArea7_1;MapRegionArea7_2;MapRegionArea7_3;MapRegionArea7_4;MapRegionArea7_5
