流水	徽记id	等级	经验需求	升级属性加成
int	string	byte	int	string
Id	MarkId	Level	Exp	PropValue
1	item171000103101	1	0	4,8
2	item171000103101	2	10	4,10
3	item171000103101	3	30	4,12
4	item171000103101	4	60	4,14
5	item171000103101	5	100	4,16
6	item171000103101	6	150	4,18
7	item171000103101	7	220	4,20
8	item171000103101	8	350	4,22
9	item171000103101	9	540	4,24
10	item171000103101	10	860	4,26
11	item171000103102	1	0	1,80
12	item171000103102	2	10	1,100
13	item171000103102	3	30	1,120
14	item171000103102	4	60	1,140
15	item171000103102	5	100	1,160
16	item171000103102	6	150	1,180
17	item171000103102	7	220	1,200
18	item171000103102	8	350	1,220
19	item171000103102	9	540	1,240
20	item171000103102	10	860	1,260
21	item171000103103	1	0	22,24
22	item171000103103	2	10	22,31
23	item171000103103	3	30	22,38
24	item171000103103	4	60	22,45
25	item171000103103	5	100	22,52
26	item171000103103	6	150	22,59
27	item171000103103	7	220	22,66
28	item171000103103	8	350	22,73
29	item171000103103	9	540	22,80
30	item171000103103	10	860	22,87
31	item171000103104	1	0	24,24
32	item171000103104	2	10	24,31
33	item171000103104	3	30	24,38
34	item171000103104	4	60	24,45
35	item171000103104	5	100	24,52
36	item171000103104	6	150	24,59
37	item171000103104	7	220	24,66
38	item171000103104	8	350	24,73
39	item171000103104	9	540	24,80
40	item171000103104	10	860	24,87
41	item171000103105	1	0	26,24
42	item171000103105	2	10	26,31
43	item171000103105	3	30	26,38
44	item171000103105	4	60	26,45
45	item171000103105	5	100	26,52
46	item171000103105	6	150	26,59
47	item171000103105	7	220	26,66
48	item171000103105	8	350	26,73
49	item171000103105	9	540	26,80
50	item171000103105	10	860	26,87
51	item171000103201	1	0	3,14
52	item171000103201	2	20	3,18
53	item171000103201	3	50	3,22
54	item171000103201	4	100	3,26
55	item171000103201	5	190	3,30
56	item171000103201	6	320	3,34
57	item171000103201	7	540	3,38
58	item171000103201	8	930	3,42
59	item171000103201	9	1510	3,46
60	item171000103201	10	2470	3,50
61	item171000103202	1	0	4,14
62	item171000103202	2	20	4,18
63	item171000103202	3	50	4,22
64	item171000103202	4	100	4,26
65	item171000103202	5	190	4,30
66	item171000103202	6	320	4,34
67	item171000103202	7	540	4,38
68	item171000103202	8	930	4,42
69	item171000103202	9	1510	4,46
70	item171000103202	10	2470	4,50
71	item171000103203	1	0	1,140
72	item171000103203	2	20	1,180
73	item171000103203	3	50	1,220
74	item171000103203	4	100	1,260
75	item171000103203	5	190	1,300
76	item171000103203	6	320	1,340
77	item171000103203	7	540	1,380
78	item171000103203	8	930	1,420
79	item171000103203	9	1510	1,460
80	item171000103203	10	2470	1,500
81	item171000103204	1	0	21,69
82	item171000103204	2	20	21,78
83	item171000103204	3	50	21,87
84	item171000103204	4	100	21,96
85	item171000103204	5	190	21,105
86	item171000103204	6	320	21,114
87	item171000103204	7	540	21,123
88	item171000103204	8	930	21,132
89	item171000103204	9	1510	21,138
90	item171000103204	10	2470	21,150
91	item171000103205	1	0	22,69
92	item171000103205	2	20	22,78
93	item171000103205	3	50	22,87
94	item171000103205	4	100	22,96
95	item171000103205	5	190	22,105
96	item171000103205	6	320	22,114
97	item171000103205	7	540	22,123
98	item171000103205	8	930	22,132
99	item171000103205	9	1510	22,138
100	item171000103205	10	2470	22,150
101	item171000103206	1	0	23,69
102	item171000103206	2	20	23,78
103	item171000103206	3	50	23,87
104	item171000103206	4	100	23,96
105	item171000103206	5	190	23,105
106	item171000103206	6	320	23,114
107	item171000103206	7	540	23,123
108	item171000103206	8	930	23,132
109	item171000103206	9	1510	23,138
110	item171000103206	10	2470	23,150
111	item171000103207	1	0	24,69
112	item171000103207	2	20	24,78
113	item171000103207	3	50	24,87
114	item171000103207	4	100	24,96
115	item171000103207	5	190	24,105
116	item171000103207	6	320	24,114
117	item171000103207	7	540	24,123
118	item171000103207	8	930	24,132
119	item171000103207	9	1510	24,138
120	item171000103207	10	2470	24,150
121	item171000103208	1	0	25,69
122	item171000103208	2	20	25,78
123	item171000103208	3	50	25,87
124	item171000103208	4	100	25,96
125	item171000103208	5	190	25,105
126	item171000103208	6	320	25,114
127	item171000103208	7	540	25,123
128	item171000103208	8	930	25,132
129	item171000103208	9	1510	25,138
130	item171000103208	10	2470	25,150
131	item171000103209	1	0	26,69
132	item171000103209	2	20	26,78
133	item171000103209	3	50	26,87
134	item171000103209	4	100	26,96
135	item171000103209	5	190	26,105
136	item171000103209	6	320	26,114
137	item171000103209	7	540	26,123
138	item171000103209	8	930	26,132
139	item171000103209	9	1510	26,138
140	item171000103209	10	2470	26,150
141	item171000103301	1	0	3,26
142	item171000103301	2	40	3,32
143	item171000103301	3	130	3,38
144	item171000103301	4	290	3,44
145	item171000103301	5	560	3,50
146	item171000103301	6	970	3,56
147	item171000103301	7	1660	3,62
148	item171000103301	8	2850	3,68
149	item171000103301	9	4640	3,74
150	item171000103301	10	7580	3,80
151	item171000103302	1	0	4,26
152	item171000103302	2	40	4,32
153	item171000103302	3	130	4,38
154	item171000103302	4	290	4,44
155	item171000103302	5	560	4,50
156	item171000103302	6	970	4,56
157	item171000103302	7	1660	4,62
158	item171000103302	8	2850	4,68
159	item171000103302	9	4640	4,74
160	item171000103302	10	7580	4,80
161	item171000103303	1	0	1,260
162	item171000103303	2	40	1,320
163	item171000103303	3	130	1,380
164	item171000103303	4	290	1,440
165	item171000103303	5	560	1,500
166	item171000103303	6	970	1,560
167	item171000103303	7	1660	1,620
168	item171000103303	8	2850	1,680
169	item171000103303	9	4640	1,740
170	item171000103303	10	7580	1,800
171	item171000103304	1	0	21,80
172	item171000103304	2	40	21,100
173	item171000103304	3	130	21,120
174	item171000103304	4	290	21,140
175	item171000103304	5	560	21,160
176	item171000103304	6	970	21,180
177	item171000103304	7	1660	21,200
178	item171000103304	8	2850	21,220
179	item171000103304	9	4640	21,240
180	item171000103304	10	7580	21,260
181	item171000103305	1	0	22,80
182	item171000103305	2	40	22,100
183	item171000103305	3	130	22,120
184	item171000103305	4	290	22,140
185	item171000103305	5	560	22,160
186	item171000103305	6	970	22,180
187	item171000103305	7	1660	22,200
188	item171000103305	8	2850	22,220
189	item171000103305	9	4640	22,240
190	item171000103305	10	7580	22,260
191	item171000103306	1	0	23,80
192	item171000103306	2	40	23,100
193	item171000103306	3	130	23,120
194	item171000103306	4	290	23,140
195	item171000103306	5	560	23,160
196	item171000103306	6	970	23,180
197	item171000103306	7	1660	23,200
198	item171000103306	8	2850	23,220
199	item171000103306	9	4640	23,240
200	item171000103306	10	7580	23,260
201	item171000103307	1	0	24,80
202	item171000103307	2	40	24,100
203	item171000103307	3	130	24,120
204	item171000103307	4	290	24,140
205	item171000103307	5	560	24,160
206	item171000103307	6	970	24,180
207	item171000103307	7	1660	24,200
208	item171000103307	8	2850	24,220
209	item171000103307	9	4640	24,240
210	item171000103307	10	7580	24,260
211	item171000103308	1	0	25,80
212	item171000103308	2	40	25,100
213	item171000103308	3	130	25,120
214	item171000103308	4	290	25,140
215	item171000103308	5	560	25,160
216	item171000103308	6	970	25,180
217	item171000103308	7	1660	25,200
218	item171000103308	8	2850	25,220
219	item171000103308	9	4640	25,240
220	item171000103308	10	7580	25,260
221	item171000103309	1	0	26,80
222	item171000103309	2	40	26,100
223	item171000103309	3	130	26,120
224	item171000103309	4	290	26,140
225	item171000103309	5	560	26,160
226	item171000103309	6	970	26,180
227	item171000103309	7	1660	26,200
228	item171000103309	8	2850	26,220
229	item171000103309	9	4640	26,240
230	item171000103309	10	7580	26,260
231	item171000103401	1	0	3,35;83,120
232	item171000103401	2	140	3,40;83,140
233	item171000103401	3	420	3,45;83,160
234	item171000103401	4	910	3,50;83,180
235	item171000103401	5	1750	3,55;83,200
236	item171000103401	6	3010	3,60;83,220
237	item171000103401	7	5110	3,65;83,240
238	item171000103401	8	8750	3,70;83,260
239	item171000103401	9	14210	3,75;83,280
240	item171000103401	10	23170	3,80;83,300
241	item171000103402	1	0	3,35;75,120
242	item171000103402	2	140	3,40;75,140
243	item171000103402	3	420	3,45;75,160
244	item171000103402	4	910	3,50;75,180
245	item171000103402	5	1750	3,55;75,200
246	item171000103402	6	3010	3,60;75,220
247	item171000103402	7	5110	3,65;75,240
248	item171000103402	8	8750	3,70;75,260
249	item171000103402	9	14210	3,75;75,280
250	item171000103402	10	23170	3,80;75,300
251	item171000103403	1	0	3,35;67,120
252	item171000103403	2	140	3,40;67,140
253	item171000103403	3	420	3,45;67,160
254	item171000103403	4	910	3,50;67,180
