戒指道具id	锁定戒指道具id	增加好友度上限值	需要数量	合成id	修改誓词消耗显示	清除记忆消耗显示
string	string	int	int	string	string	string
ItemId	LockRingId	IncreaseFriendMax	NeedNum	Combine	ChangeOathPayShow	CleanMemoryPayShow
item100400000101	item100410000101	20000	4	item100400000201	item1002,50	item1001,2500
item100400000201	item100410000201	40000	4	item100400000301	item1002,50	item1001,7500
item100400000301	item100410000301	60000	4	item100400000401	item1002,50	item1001,22500
item100400000401	item100410000401	80000	0		item1002,50	item1001,67500
item8100400000101	item100410000101	20000	4	item100400000201	item1002,50	item1001,2500
item8100400000201	item100410000201	40000	4	item100400000301	item1002,50	item1001,7500
item8100400000301	item100410000301	60000	4	item100400000401	item1002,50	item1001,22500
item8100400000401	item100410000401	80000	0		item1002,50	item1001,67500
