奖励箱子	领取奖励需要的参与击杀数	箱子ICON	奖励
int	int	string	string
RewardId	KillNum	BoxIcon	Reward
1	50	icon_treasurebox01	item107200042001,10;item107999900001,30;item100000000051,1;item100000000006,5
2	250	icon_treasurebox02	item107200042001,7;item107999900001,25;item100000000051,1;item100000000006,4
3	320	icon_treasurebox03	item107200042001,4;item107999900001,20;item100000000051,1;item100000000006,3
4	360	icon_treasurebox04	item107999900001,20;item100000000051,1;item100000000006,2
5	450	icon_treasurebox05	item141000000151,1;item107200043001,30;item100000000051,20;item100000000006,28
6	540	icon_treasurebox06	item141000000152,1;item107200043001,20;item100000000051,15;item100000000006,24
7	630	icon_treasurebox06	item141000000153,1;item107200043001,15;item100000000051,10;item100000000006,20
8	720	icon_treasurebox06	item107200043001,10;item100000000051,8;item100000000006,18
