流水	怪物库id	类型	怪物id	数量	击杀可获得基础积分
int	int	int	string	int	int
Id	MonsterBox	Type	MonsterId	Num	AwardPoint
1	1001	1	monster16116001	5	60
2	1001	1	monster16116002	1	120
3	1002	1	monster16116003	5	60
4	1002	1	monster16116004	5	60
5	1003	1	monster16116003	5	80
6	1003	1	monster16116010	1	160
7	1004	1	monster16116001	5	80
8	1004	1	monster16116002	1	120
9	1005	1	monster16116001	3	80
10	1005	1	monster16116007	3	140
11	1005	1	monster16116010	3	140
12	1006	1	monster16116005	2	120
13	1006	1	monster16116006	4	160
14	1007	1	monster16116004	2	120
15	1007	1	monster16116002	2	120
16	1007	1	monster16116003	2	120
17	1008	1	monster16116001	2	120
18	1008	1	monster16116002	2	120
19	1008	1	monster16116003	2	120
20	1009	1	monster16116009	3	180
21	1009	1	monster16116008	3	180
22	1010	1	monster16116007	3	180
23	1010	1	monster16116010	3	180
24	2001	2	monster16117001	1	0
25	2002	2	monster16117002	1	0
26	2003	2	monster16117003	1	0
27	2004	2	monster16117004	1	0
28	2005	2	monster16117005	1	0
29	2006	2	monster16117006	1	0
29	2007	2	monster16117007	1	0
30	2008	2	monster16117008	1	0
