流水id	商店ID	商品id	解锁需要积分
int	int	int	int
ID	ShopId	GoodsId	UnlockScore
1	1001	1	3000
2	1001	2	0
3	1001	3	0
4	1001	4	3000
5	1001	5	5000
6	1001	6	0
7	1001	7	0
8	1001	8	10000
9	1001	9	0
10	1001	10	0
11	1001	11	0
12	1001	12	0
13	1001	13	5000
14	1001	14	5000
15	1001	15	0
16	1001	16	0
17	1001	17	0
18	1001	18	0
19	1001	19	0
20	1001	20	0
21	1001	21	0
22	1001	22	3000
23	1001	23	0
24	1001	24	0
25	1001	25	0
26	1001	26	0
27	1001	27	0
28	1001	28	0
29	1001	29	0
30	1001	30	0
31	1001	31	0
32	1001	32	0
33	1001	33	0
34	1001	34	0
35	1001	35	0
36	1001	36	0
37	1001	37	0
38	1001	38	0
39	1001	39	0
40	1001	40	0
41	1001	41	0
42	1001	42	0
