合成出ID	合成材料ID	合成材料数量	标题
string	string	string	string
CombineId	FormulaId	Numbers	Title
item101020503061	item170000303010;item170000303020;item170000303030;item170000303040;item170000303050	1;1;1;1;1	Stn_ItemMultiCompose
item170000203001	item170000203010;item170000203020;item170000203030;item170000203040;item170000203050	1;1;1;1;1	Stn_ItemMultiCompose
item170000203001	item170000203010;item170000203020;item170000203030;item170000203040;item170000203050	1;1;1;1;1	Stn_ItemMultiCompose
item91000000001	item91000000002;item91000000003;item91000000004	1;1;1	Stn_ItemMultiCompose01
item91000000023	item91000000024;item91000000025;item91000000026	1;1;1	Stn_ItemMultiCompose01
item91000000302	item91000000303;item91000000304;item91000000305	1;1;1	Stn_ItemMultiCompose
item119100000018	item119100000010;item119100000011;item119100000012	1;1;1	Stn_ItemMultiCompose
item106040110001	item106040110002;item106040110003;item106040110004;item106040110005	1;1;1;1	Stn_ItemMultiCompose
