ID	公告类型	显示位置	优先级	文字描述	延迟显示（秒）
int	int	string	int	string	int
Id	NoticeType	NoticeLocal	NoticePrior	NoticeText	LatencyTime
1	1	1,3	1		0
2	2	3	2		0
3	3	1,3	3		0
4	4	1,3	3	Adventure_Start_Tips_Func3	0
5	5	1,3	3	Adventure_End_Tips_Func3	0
6	6	1,2	6	MSG_WorldBossDropNotice1	0
7	7	1,2	6	MSG_OpenItemDropNotice1	0
8	8	1,2	6	MSG_DungeonDropNotice1	0
9	9	1,2	6	MSG_DungeonDropNotice2	0
10	10	1,2,3	6	MSG_UseTreusueNotice1	0
11	11	1,2	6	MSG_UseTreusueNotice2	0
12	12	1,2	6	MSG_BlueprintNotice1	0
13	13	1,2,6	6	MSG_ForgingNotice1	5
14	14	1,2,3	6	Msg_TaskRing_FortuneReward	0
15	15	4	6	MSG_GuildBoxNotice	0
16	16	1,2,3	6	MSG_LotteryNotice	0
17	17	1,3	4	MSG_ActivityCatchPet_RateUp	0
18	18	1,3	4	MSG_ActivityCatchPet_RateMax	0
19	19	1,2	4	MSG_ActivityCatchPet_Success	0
20	20	1,3	4	MSG_ActivityCatchPet_Open	0
21	21	1,3	4	MSG_ActivityCatchPet_Close	0
22	22	1,2	4	MSG_KillStarNotice1	0
23	23	3	3	MSG_RareFishGroupNotice1	0
24	25	2,3	3	MSG_FishBossAppearNotice1	0
25	26	3	3	MSG_LuckySixStartNotice1	0
26	27	1,2,3	6	MSG_DigtreasureNotice	2
27	28	1,2	6	MSG_WorldTaskNotice	0
28	29	1,2	6	MSG_TreasureFateGetNotice1	0
29	30	1,2	6	MSG_UpgradeRuneNotice	0
30	31	1,2	6	MSG_FishingNotice	0
31	32	1,2	6	MSG_TrialNotice	0
32	33	1,2	6	MSG_DevilSealNotice	0
33	34	1,3	6	MSG_Astrolabe_OneFullNotice	0
34	35	1,3	6	MSG_Astrolabe_AllFullNotice	0
35	36	1,3	6	MSG_Fate_AllFullNotice	0
36	37	1,2,3	6	MSG_UnlimitedTower_RankRefresh	0
37	39	1,2	6	Msg_TaskRing_LuckyReward	0
38	40	1,2	6	Msg_TaskRing_DoubleReward	0
39	41	1,2	6	MSG_FateTreasureTipsNotice1	0
40	42	1,2,3	6	MSG_ForgingNotice2	3
41	43	1,2	6	MSG_FateTreasureTipsNotice2	0
42	44	1,3	6	MSG_FixedTeam_BuildSuccessNotice	0
43	45	1,3	6	MSG_MarriageNotice1	0
44	46	1,3	6	MSG_MarriageItemNotice1	0
45	47	1	6	MSG_FireworksNotice1	0
46	48	1	6	MSG_FireworksNotice3	0
47	49	4	6	MSG_GuildBoxNotice	0
48	50	4	6	MSG_GuildLeague_FlagPlayerNotice	0
49	51	4	6	MSG_GuildLeague_TopFightWinNotice	0
50	52	4	6	MSG_GuildLeague_TopFightLoseNotice	0
51	53	4	6	MSG_GuildLeague_TopFightDrawNotice	0
52	54	1,3	6	MSG_SoldierGetNotice	0
53	55	1,3	6	MSG_Wedding_CollectPresentNotice1	0
54	56	1,3	6	MSG_Wedding_SendPresentNotice1	0
55	57	1,3	6	MSG_Wedding_SceneCanEnterNotice1	0
56	58	1,3	6	MSG_Wedding_SceneCanEnterNotice2	0
57	59	1,3	6	MSG_Wedding_OtherSendPresentNotice1	0
58	60	1,3	6	MSG_Wedding_OtherSendPresentNotice2	0
59	61	1,2,3	6	MSG_InscriptionNotice1	3
60	62	1,2,6	6	MSG_InscriptionNotice2	3
61	64	1,2,3	6	MSG_IdentifyNotice1	3
62	65	1,2,6	6	MSG_IdentifyNotice2	5
63	67	1,2,3	6	MSG_KillStarFreeNotice	0
