流水ID	NPC	等级	经验	阶段文本	相识历程文本	比较喜欢礼物	喜欢礼物	邮件回礼奖励	谢礼文本	每日好感交互类型	交互增加好感度	每日好感度上限	羁绊类型	羁绊效果	羁绊名称	羁绊说明
int	string	int	int	string	string	string	string	string	string	string	string	int	int	string	string	string
ID	Key	Level	Exp	Name	Des	BetterID	BestID	MailReward	ThankDes	DailyType	DailyPoint	DailyLimit	BondType	BondParam	BondNameDes	BondDes
1	npc_10007	0	0				item106210100008					2000	0			
2	npc_10007	1	500	Relationship_Name_1	Relationship_Des_1	item103010111011;item103010111012;item103010111013	item106210100008	item1000,500000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	2000	0		BondNameDes1_npc_10007	BondDes1_npc_10007
3	npc_10007	2	1000	Relationship_Name_2	Relationship_Des_2	item103010111011;item103010111012;item103010111013	item106210100008	item107999900001,9	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	2000	0		BondNameDes_Hello	BondDes_Hello
4	npc_10007	3	2000	Relationship_Name_3	Relationship_Des_3	item103010111011;item103010111012;item103010111013	item106210100008	item1000,1000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	2000	0		BondNameDes2_npc_10007	BondDes2_npc_10007
5	npc_10007	4	5000	Relationship_Name_4	Relationship_Des_4	item103010111011;item103010111012;item103010111013	item106210100008	item107300000001,10	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	5000	0		BondNameDes_Gift1	BondDes_Gift1
6	npc_10007	5	10000	Relationship_Name_5	Relationship_Des_5	item103010111011;item103010111012;item103010111013	item106210100008	item8103010121004,15	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	5000	0		BondNameDes3_npc_10007	BondDes3_npc_10007
7	npc_10007	6	20000	Relationship_Name_6	Relationship_Des_6	item103010111011;item103010111012;item103010111013	item106210100008	item107200043001,12	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes_Gift2	BondDes_Gift2
8	npc_10007	7	40000	Relationship_Name_7	Relationship_Des_7	item103010111011;item103010111012;item103010111013	item106210100008	item107999900002,34	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes4_npc_10007	BondDes4_npc_10007
9	npc_10007	8	70000	Relationship_Name_8	Relationship_Des_8	item103010111011;item103010111012;item103010111013	item106210100008	item8103010121004,70	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes_None	BondDes_None
10	npc_10007	9	110000	Relationship_Name_9	Relationship_Des_9	item103010111011;item103010111012;item103010111013	item106210100008	item107999900001,300	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes5_npc_10007	BondDes5_npc_10007
11	npc_10007	10	160000	Relationship_Name_10	Relationship_Des_10	item103010111011;item103010111012;item103010111013	item106210100008	item8103010111018,20	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes6_npc_10007	BondDes6_npc_10007
12	npc_10019	0	0				item106210100005					2000	0			
13	npc_10019	1	500	Relationship_Name_1	Relationship_Des_1	item102010411001;item103010411001	item106210100005	item8170000120010,10	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	2000	0		BondNameDes1_npc_10019	BondDes1_npc_10019
14	npc_10019	2	1000	Relationship_Name_2	Relationship_Des_2	item102010411001;item103010411001	item106210100005	item107200042001,3	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	2000	0		BondNameDes_Hello	BondDes_Hello
15	npc_10019	3	2000	Relationship_Name_3	Relationship_Des_3	item102010411001;item103010411001	item106210100005	item107200042001,5	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	2000	0		BondNameDes2_npc_10019	BondDes2_npc_10019
16	npc_10019	4	5000	Relationship_Name_4	Relationship_Des_4	item102010411001;item103010411001	item106210100005	item1000,2000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	5000	0		BondNameDes_Gift1	BondDes_Gift1
17	npc_10019	5	10000	Relationship_Name_5	Relationship_Des_5	item102010411001;item103010411001	item106210100005	item1000,3000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	5000	0		BondNameDes3_npc_10019	BondDes3_npc_10019
18	npc_10019	6	20000	Relationship_Name_6	Relationship_Des_6	item102010411001;item103010411001	item106210100005	item107999900002,20	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes_Gift2	BondDes_Gift2
19	npc_10019	7	40000	Relationship_Name_7	Relationship_Des_7	item102010411001;item103010411001	item106210100005	item8103010111018,8	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes4_npc_10019	BondDes4_npc_10019
20	npc_10019	8	70000	Relationship_Name_8	Relationship_Des_8	item102010411001;item103010411001	item106210100005	item8103010111018,12	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes_None	BondDes_None
21	npc_10019	9	110000	Relationship_Name_9	Relationship_Des_9	item102010411001;item103010411001	item106210100005	item107200043001,36	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes5_npc_10019	BondDes5_npc_10019
22	npc_10019	10	160000	Relationship_Name_10	Relationship_Des_10	item102010411001;item103010411001	item106210100005	item107300000001,125	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes6_npc_10019	BondDes6_npc_10019
23	npc_10020	0	0				item106210100013					2000	0			
24	npc_10020	1	500	Relationship_Name_1	Relationship_Des_1	item102010411001;item103010411001	item106210100013	item1000,500000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	2000	0		BondNameDes1_npc_10020	BondDes1_npc_10020
25	npc_10020	2	1000	Relationship_Name_2	Relationship_Des_2	item102010411001;item103010411001	item106210100013	item101040101015,5	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	2000	0		BondNameDes_Hello	BondDes_Hello
26	npc_10020	3	2000	Relationship_Name_3	Relationship_Des_3	item102010411001;item103010411001	item106210100013	item107200042001,5	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	2000	0		BondNameDes2_npc_10020	BondDes2_npc_10020
