流水	圣石技能id	技能栏位	等级	升级需求圣石等级	技能名	技能icon	技能效果	显示类型	升级花费技能点
int	string	int	int	int	string	string	string	string	int
ID	PHallowSkillId	Hurdles	SkillLevel	NeedHallowLevel	SkillName	SkillIcon	SkillEffect	ShowType	LevelupCost
1	1001	1	0	0	PHallowSkillName1001	phallowskill_1001	11,0	2	1
2	1001	1	1	0	PHallowSkillName1001	phallowskill_1001	11,70	2	1
3	1001	1	2	0	PHallowSkillName1001	phallowskill_1001	11,140	2	2
4	1001	1	3	6	PHallowSkillName1001	phallowskill_1001	11,210	2	2
5	1001	1	4	6	PHallowSkillName1001	phallowskill_1001	11,350	2	2
6	1001	1	5	6	PHallowSkillName1001	phallowskill_1001	11,490	2	3
7	1001	1	6	15	PHallowSkillName1001	phallowskill_1001	11,630	2	3
8	1001	1	7	15	PHallowSkillName1001	phallowskill_1001	11,770	2	4
9	1001	1	8	15	PHallowSkillName1001	phallowskill_1001	11,910	2	5
10	1001	1	9	25	PHallowSkillName1001	phallowskill_1001	11,1050	2	5
11	1001	1	10	25	PHallowSkillName1001	phallowskill_1001	11,1190	2	5
12	1001	1	11	25	PHallowSkillName1001	phallowskill_1001	11,1330	2	6
13	1001	1	12	35	PHallowSkillName1001	phallowskill_1001	11,1470	2	6
14	1001	1	13	35	PHallowSkillName1001	phallowskill_1001	11,1680	2	7
15	1001	1	14	35	PHallowSkillName1001	phallowskill_1001	11,1890	2	8
16	1001	1	15	50	PHallowSkillName1001	phallowskill_1001	11,2100	2	9
17	1001	1	16	50	PHallowSkillName1001	phallowskill_1001	11,2310	2	10
18	1001	1	17	50	PHallowSkillName1001	phallowskill_1001	11,2520	2	11
19	1001	1	18	50	PHallowSkillName1001	phallowskill_1001	11,2730	2	0
20	1002	2	0	0	PHallowSkillName1002	phallowskill_1002	12,0	2	1
21	1002	2	1	0	PHallowSkillName1002	phallowskill_1002	12,50	2	1
22	1002	2	2	0	PHallowSkillName1002	phallowskill_1002	12,100	2	2
23	1002	2	3	6	PHallowSkillName1002	phallowskill_1002	12,150	2	2
24	1002	2	4	6	PHallowSkillName1002	phallowskill_1002	12,250	2	2
25	1002	2	5	6	PHallowSkillName1002	phallowskill_1002	12,350	2	3
26	1002	2	6	15	PHallowSkillName1002	phallowskill_1002	12,450	2	3
27	1002	2	7	15	PHallowSkillName1002	phallowskill_1002	12,550	2	4
28	1002	2	8	15	PHallowSkillName1002	phallowskill_1002	12,650	2	5
29	1002	2	9	25	PHallowSkillName1002	phallowskill_1002	12,750	2	5
30	1002	2	10	25	PHallowSkillName1002	phallowskill_1002	12,850	2	5
31	1002	2	11	25	PHallowSkillName1002	phallowskill_1002	12,950	2	6
32	1002	2	12	35	PHallowSkillName1002	phallowskill_1002	12,1050	2	6
33	1002	2	13	35	PHallowSkillName1002	phallowskill_1002	12,1200	2	7
34	1002	2	14	35	PHallowSkillName1002	phallowskill_1002	12,1350	2	8
35	1002	2	15	50	PHallowSkillName1002	phallowskill_1002	12,1500	2	9
36	1002	2	16	50	PHallowSkillName1002	phallowskill_1002	12,1650	2	10
37	1002	2	17	50	PHallowSkillName1002	phallowskill_1002	12,1800	2	11
38	1002	2	18	50	PHallowSkillName1002	phallowskill_1002	12,1950	2	0
39	1003	3	0	0	PHallowSkillName1003	phallowskill_1003	13,0	2	1
40	1003	3	1	0	PHallowSkillName1003	phallowskill_1003	13,70	2	1
41	1003	3	2	0	PHallowSkillName1003	phallowskill_1003	13,140	2	2
42	1003	3	3	6	PHallowSkillName1003	phallowskill_1003	13,210	2	2
43	1003	3	4	6	PHallowSkillName1003	phallowskill_1003	13,350	2	2
44	1003	3	5	6	PHallowSkillName1003	phallowskill_1003	13,490	2	3
45	1003	3	6	15	PHallowSkillName1003	phallowskill_1003	13,630	2	3
46	1003	3	7	15	PHallowSkillName1003	phallowskill_1003	13,770	2	4
47	1003	3	8	15	PHallowSkillName1003	phallowskill_1003	13,910	2	5
48	1003	3	9	25	PHallowSkillName1003	phallowskill_1003	13,1050	2	5
49	1003	3	10	25	PHallowSkillName1003	phallowskill_1003	13,1190	2	5
50	1003	3	11	25	PHallowSkillName1003	phallowskill_1003	13,1330	2	6
51	1003	3	12	35	PHallowSkillName1003	phallowskill_1003	13,1470	2	6
52	1003	3	13	35	PHallowSkillName1003	phallowskill_1003	13,1680	2	7
53	1003	3	14	35	PHallowSkillName1003	phallowskill_1003	13,1890	2	8
54	1003	3	15	50	PHallowSkillName1003	phallowskill_1003	13,2100	2	9
55	1003	3	16	50	PHallowSkillName1003	phallowskill_1003	13,2310	2	10
56	1003	3	17	50	PHallowSkillName1003	phallowskill_1003	13,2520	2	11
57	1003	3	18	50	PHallowSkillName1003	phallowskill_1003	13,2730	2	0
58	1004	4	0	20	PHallowSkillName1004	phallowskill_1004	131,0	2	1
59	1004	4	1	20	PHallowSkillName1004	phallowskill_1004	131,70	2	1
60	1004	4	2	20	PHallowSkillName1004	phallowskill_1004	131,140	2	2
61	1004	4	3	20	PHallowSkillName1004	phallowskill_1004	131,210	2	2
62	1004	4	4	20	PHallowSkillName1004	phallowskill_1004	131,350	2	2
63	1004	4	5	20	PHallowSkillName1004	phallowskill_1004	131,490	2	3
64	1004	4	6	20	PHallowSkillName1004	phallowskill_1004	131,630	2	3
65	1004	4	7	20	PHallowSkillName1004	phallowskill_1004	131,770	2	4
66	1004	4	8	20	PHallowSkillName1004	phallowskill_1004	131,910	2	5
67	1004	4	9	25	PHallowSkillName1004	phallowskill_1004	131,1050	2	5
68	1004	4	10	25	PHallowSkillName1004	phallowskill_1004	131,1190	2	5
69	1004	4	11	25	PHallowSkillName1004	phallowskill_1004	131,1330	2	6
70	1004	4	12	35	PHallowSkillName1004	phallowskill_1004	131,1470	2	6
71	1004	4	13	35	PHallowSkillName1004	phallowskill_1004	131,1680	2	7
72	1004	4	14	35	PHallowSkillName1004	phallowskill_1004	131,1890	2	8
73	1004	4	15	50	PHallowSkillName1004	phallowskill_1004	131,2100	2	9
74	1004	4	16	50	PHallowSkillName1004	phallowskill_1004	131,2310	2	10
75	1004	4	17	50	PHallowSkillName1004	phallowskill_1004	131,2520	2	11
76	1004	4	18	50	PHallowSkillName1004	phallowskill_1004	131,2730	2	0
77	1005	5	0	20	PHallowSkillName1005	phallowskill_1005	132,0	2	1
78	1005	5	1	20	PHallowSkillName1005	phallowskill_1005	132,70	2	1
79	1005	5	2	20	PHallowSkillName1005	phallowskill_1005	132,140	2	2
80	1005	5	3	20	PHallowSkillName1005	phallowskill_1005	132,210	2	2
81	1005	5	4	20	PHallowSkillName1005	phallowskill_1005	132,350	2	2
82	1005	5	5	20	PHallowSkillName1005	phallowskill_1005	132,490	2	3
83	1005	5	6	20	PHallowSkillName1005	phallowskill_1005	132,630	2	3
84	1005	5	7	20	PHallowSkillName1005	phallowskill_1005	132,770	2	4
85	1005	5	8	20	PHallowSkillName1005	phallowskill_1005	132,910	2	5
86	1005	5	9	25	PHallowSkillName1005	phallowskill_1005	132,1050	2	5
87	1005	5	10	25	PHallowSkillName1005	phallowskill_1005	132,1190	2	5
88	1005	5	11	25	PHallowSkillName1005	phallowskill_1005	132,1330	2	6
89	1005	5	12	35	PHallowSkillName1005	phallowskill_1005	132,1470	2	6
90	1005	5	13	35	PHallowSkillName1005	phallowskill_1005	132,1680	2	7
91	1005	5	14	35	PHallowSkillName1005	phallowskill_1005	132,1890	2	8
92	1005	5	15	50	PHallowSkillName1005	phallowskill_1005	132,2100	2	9
93	1005	5	16	50	PHallowSkillName1005	phallowskill_1005	132,2310	2	10
94	1005	5	17	50	PHallowSkillName1005	phallowskill_1005	132,2520	2	11
95	1005	5	18	50	PHallowSkillName1005	phallowskill_1005	132,2730	2	0
