个性ID	个性名字	个性图标	个性品质	属性效果	提升玩具饲养属性	提升玩具出战属性	属性效果描述	提升玩具效果描述	战力类型	战力计算
int	string	string	int	string	string	string	string	string	int	int
Id	Name	Icon	Rare	PlayerProp	FeedProp	FightProp	PlayerPropDes	FeedFightPropDes	CPType	CPValue
10101	pet_personality_name_10101	pettalent_900001	5	11,200;12,200;13,200			Pet_Personality_PlayerPorpDes_10101_01;Pet_Personality_PlayerPorpDes_10101_02;Pet_Personality_PlayerPorpDes_10101_03		2	800
10201	pet_personality_name_10201	pettalent_900002	5	153,300	12,4000	12,4000	Pet_Personality_PlayerPorpDes_10201_01	Pet_Personality_FeedFightDes_10201	2	800
10301	pet_personality_name_10301	pettalent_900003	5	51,200;34,200	11,2000	11,2000	Pet_Personality_PlayerPorpDes_10301_01;Pet_Personality_PlayerPorpDes_10301_02	Pet_Personality_FeedFightDes_10301	2	800
10401	pet_personality_name_10401	pettalent_900004	5	131,300;30,200	11,2000	11,2000	Pet_Personality_PlayerPorpDes_10401_01;Pet_Personality_PlayerPorpDes_10401_02	Pet_Personality_FeedFightDes_10401	2	800
10501	pet_personality_name_10501	talent_100018	5	52,200;33,200	13,4000	13,4000	Pet_Personality_PlayerPorpDes_10501_01;Pet_Personality_PlayerPorpDes_10501_02	Pet_Personality_FeedFightDes_10501	2	800
10601	pet_personality_name_10601	talent_1041803	5	31,200;206,200	11,2000	11,2000	Pet_Personality_PlayerPorpDes_10601_01;Pet_Personality_PlayerPorpDes_10601_02	Pet_Personality_FeedFightDes_10601	2	800
12001	pet_personality_name_12001	talent_102104	5	11,200;13,200	12,4000	12,4000	Pet_Personality_PlayerPorpDes_12001_01;Pet_Personality_PlayerPorpDes_12001_02	Pet_Personality_FeedFightDes_12001	2	800
10701	pet_personality_name_10701	pettalent_900005	5	32,300;3,200;13,-100			Pet_Personality_PlayerPorpDes_10701_01;Pet_Personality_PlayerPorpDes_10701_02;Pet_Personality_PlayerPorpDes_10701_03		2	650
10702	pet_personality_name_10702	pettalent_900005	4	32,275;3,180;13,-150			Pet_Personality_PlayerPorpDes_10702_01;Pet_Personality_PlayerPorpDes_10702_02;Pet_Personality_PlayerPorpDes_10702_03		2	500
10703	pet_personality_name_10703	pettalent_900005	3	32,200;3,120;13,-100			Pet_Personality_PlayerPorpDes_10703_01;Pet_Personality_PlayerPorpDes_10703_02;Pet_Personality_PlayerPorpDes_10703_03		2	350
10704	pet_personality_name_10704	pettalent_900005	2	23,200;3,90;4,-70			Pet_Personality_PlayerPorpDes_10704_01;Pet_Personality_PlayerPorpDes_10704_02;Pet_Personality_PlayerPorpDes_10704_03		2	200
10705	pet_personality_name_10705	pettalent_900005	1	23,150;3,55;4,-60			Pet_Personality_PlayerPorpDes_10705_01;Pet_Personality_PlayerPorpDes_10705_02;Pet_Personality_PlayerPorpDes_10705_03		2	100
10801	pet_personality_name_10801	pettalent_900006	5	31,300;1,1800;32,-100			Pet_Personality_PlayerPorpDes_10801_01;Pet_Personality_PlayerPorpDes_10801_02;Pet_Personality_PlayerPorpDes_10801_03		2	650
10802	pet_personality_name_10802	pettalent_900006	4	31,275;1,1500;32,-150			Pet_Personality_PlayerPorpDes_10802_01;Pet_Personality_PlayerPorpDes_10802_02;Pet_Personality_PlayerPorpDes_10802_03		2	500
10803	pet_personality_name_10803	pettalent_900006	3	31,200;1,1000;32,-100			Pet_Personality_PlayerPorpDes_10803_01;Pet_Personality_PlayerPorpDes_10803_02;Pet_Personality_PlayerPorpDes_10803_03		2	350
10804	pet_personality_name_10804	pettalent_900006	2	22,200;1,650;23,-150			Pet_Personality_PlayerPorpDes_10804_01;Pet_Personality_PlayerPorpDes_10804_02;Pet_Personality_PlayerPorpDes_10804_03		2	200
10805	pet_personality_name_10805	pettalent_900006	1	22,150;1,325;23,-125			Pet_Personality_PlayerPorpDes_10805_01;Pet_Personality_PlayerPorpDes_10805_02;Pet_Personality_PlayerPorpDes_10805_03		2	100
10901	pet_personality_name_10901	pettalent_900007	5	30,300;4,180;35,-100			Pet_Personality_PlayerPorpDes_10901_01;Pet_Personality_PlayerPorpDes_10901_02;Pet_Personality_PlayerPorpDes_10901_03		2	650
10902	pet_personality_name_10902	pettalent_900007	4	30,275;4,150;35,-150			Pet_Personality_PlayerPorpDes_10902_01;Pet_Personality_PlayerPorpDes_10902_02;Pet_Personality_PlayerPorpDes_10902_03		2	500
10903	pet_personality_name_10903	pettalent_900007	3	30,200;4,100;35,-100			Pet_Personality_PlayerPorpDes_10903_01;Pet_Personality_PlayerPorpDes_10903_02;Pet_Personality_PlayerPorpDes_10903_03		2	350
10904	pet_personality_name_10904	pettalent_900007	2	21,200;4,65;26,-150			Pet_Personality_PlayerPorpDes_10904_01;Pet_Personality_PlayerPorpDes_10904_02;Pet_Personality_PlayerPorpDes_10904_03		2	200
