战宠	消耗道具	消耗货币
string	string	string
PetId	UseItem	UseMoney
pet_101	item101020505209,3	1,100000
pet_111	item101020505211,3	1,100000
pet_121	item101020505213,3	1,100000
pet_154	item101020505219,3	1,100000
pet_156	item101020505221,3	1,100000
pet_158	item101020505223,3	1,100000
pet_104	item101020505210,3	1,150000
pet_115	item101020505212,3	1,150000
pet_124	item101020505214,3	1,150000
pet_155	item101020505220,3	1,150000
pet_157	item101020505222,3	1,150000
pet_159	item101020505224,3	1,150000
pet_160	item101020505225,3	1,150000
pet_162	item101020505227,3	1,150000
pet_164	item101020505229,3	1,150000
pet_166	item101020505231,3	1,150000
pet_168	item101020505233,3	1,150000
pet_170	item101020505235,3	1,150000
pet_172	item101020505237,3	1,150000
pet_174	item101020505239,3	1,150000
pet_131	item101020505215,3	1,200000
pet_141	item101020505217,3	1,200000
pet_161	item101020505226,3	1,200000
pet_163	item101020505228,3	1,200000
pet_165	item101020505230,3	1,200000
pet_167	item101020505232,3	1,200000
pet_169	item101020505234,3	1,200000
pet_171	item101020505236,3	1,200000
pet_173	item101020505238,3	1,200000
pet_175	item101020505240,3	1,200000
pet_176	item101020505241,3	1,200000
pet_180	item101020505245,3	1,200000
pet_182	item101020505247,3	1,200000
pet_184	item101020505249,3	1,200000
pet_186	item101020505251,3	1,200000
pet_199		1,750000
pet_201	item101020505333,3	1,200000
pet_203	item101020505337,3	1,200000
pet_134	item101020505216,3	1,300000
pet_144	item101020505218,3	1,300000
pet_177	item101020505242,3	1,300000
pet_179	item101020505243,3	1,300000
pet_181	item101020505246,3	1,300000
pet_183	item101020505248,3	1,300000
pet_185	item101020505250,3	1,300000
pet_187	item101020505252,3	1,300000
pet_188	item101020505253,3	1,300000
pet_190	item101020505301,3	1,300000
pet_192	item101020505302,3	1,300000
pet_194	item101020505303,3	1,300000
pet_196	item101020505304,3	1,300000
pet_198	item101020505305,3	1,300000
pet_200	item101020505332,3	1,300000
pet_202	item101020505334,3	1,300000
pet_204	item101020505338,3	1,300000
pet_301	item101020505306,3	1,400000
pet_303	item101020505307,3	1,400000
pet_305	item101020505308,3	1,400000
pet_325	item101020505318,3	1,300000
pet_327		2,40000
pet_329	item101020505331,3	1,400000
pet_331	item101020505335,3	1,300000
pet_307	item101020505309,3	1,500000
pet_309	item101020505310,3	1,500000
pet_310	item101020505310,3	1,500000
pet_311	item101020505311,3	1,500000
pet_313	item101020505312,3	1,500000
pet_314	item101020505312,3	1,500000
pet_315	item101020505313,3	1,500000
pet_316	item101020505313,3	1,500000
pet_317	item101020505314,3	1,500000
pet_318	item101020505314,3	1,500000
pet_319	item101020505315,3	1,500000
pet_320	item101020505315,3	1,500000
pet_321	item101020505316,3	1,500000
pet_322	item101020505316,3	1,500000
pet_323	item101020505317,3	1,500000
pet_324	item101020505317,3	1,500000
pet_333	item101020505336,3	1,500000
pet_335		2,120000
pet_205	item101020505340,3	1,300000
pet_337	item101020505341,3	1,500000
pet_338	item101020505342,3	1,400000
pet_339	item101020505343,3	1,500000
pet_340	item101020505344,3	1,500000
pet_341	item101020505345,3	1,500000
pet_342	item101020505346,3	1,500000
pet_343	item101020505346,3	1,500000
pet_344	item101020505348,3	1,500000
pet_345	item101020505349,3	1,500000
pet_346	item101020505346,3	1,500000
pet_347	item101020505346,3	1,500000
pet_348	item101020505346,3	1,500000
pet_349	item101020505353,3	1,500000
pet_350	item101020505354,3	1,500000
pet_351	item101020505355,3	1,500000
pet_352	item101020505346,3	1,500000
pet_353	item101020505346,3	1,500000
pet_354	item101020505358,3	1,500000
pet_355	item101020505359,3	1,500000
pet_356	item101020505360,3	1,500000
pet_357	item101020505346,3	1,500000
pet_358	item1010205053464,3	1,400000
pet_359	item101020505346,3	1,500000
pet_360	item101020505364,3	1,500000
pet_361	item101020505365,3	1,500000
pet_362	item101020505366,3	1,500000
pet_363	item101020505367,3	1,500000
pet_364	item101020505368,3	1,500000
pet_365	item101020505369,3	1,500000
pet_366	item101020505346,3	1,500000
pet_367	item101020505371,3	1,500000
pet_368	item101020505372,3	1,500000
pet_369	item101020505373,3	1,500000
pet_370	item101020505358,3	1,500000
pet_371	item101020505359,3	1,500000
pet_372	item101020505374,3	1,500000
pet_373	item101020505375,3	1,500000
pet_374	item101020505376,3	1,500000
pet_375	item101020505377,3	1,500000
pet_376	item101020505378,3	1,500000
pet_377	item101020505379,3	1,500000
pet_378	item101020505349,3	1,500000
pet_379	item101020505355,3	1,500000
pet_380	item101020505343,3	1,500000
pet_381	item101020505341,3	1,500000
pet_382	item101020505348,3	1,500000
pet_383	item101020505353,3	1,500000
pet_385	item101020505380,3	1,500000
pet_386	item101020505381,3	1,500000
pet_387	item101020505382,3	1,500000
pet_388	item101020505364,3	1,500000
pet_389	item101020505366,3	1,500000
pet_390	item101020505368,3	1,500000
pet_391	item101020505383,3	1,500000
pet_392	item101020505384,3	1,300000
pet_393	item101020505385,3	1,500000
pet_394	item101020505386,3	1,500000
pet_395	item101020505387,3	1,500000
pet_396	item101020505386,3	1,500000
pet_397	item101020505387,3	1,500000
pet_398	item101020505354,3	1,500000
pet_399	item101020505371,3	1,500000
pet_400	item101020505375,3	1,500000
pet_410	item101020505388,3	1,500000
