流水	战宠	个性	权重
int	string	int	int
Id	PetId	PersonalityId	Rate
1	pet_101	10805	437
2	pet_101	10905	750
3	pet_101	11005	1300
4	pet_101	11105	1300
5	pet_101	11205	1300
6	pet_101	11305	1300
7	pet_101	11405	437
8	pet_101	11505	750
9	pet_101	11605	800
10	pet_101	11705	750
11	pet_101	11805	437
12	pet_101	11905	439
13	pet_111	10805	437
14	pet_111	10905	750
15	pet_111	11005	1300
16	pet_111	11105	1300
17	pet_111	11205	1300
18	pet_111	11305	1300
19	pet_111	11405	437
20	pet_111	11505	750
21	pet_111	11605	800
22	pet_111	11705	750
23	pet_111	11805	437
24	pet_111	11905	439
25	pet_121	10705	437
26	pet_121	10905	750
27	pet_121	11005	1300
28	pet_121	11105	1300
29	pet_121	11205	1300
30	pet_121	11305	1300
31	pet_121	11405	437
32	pet_121	11505	750
33	pet_121	11605	800
34	pet_121	11705	750
35	pet_121	11805	437
36	pet_121	11905	439
37	pet_154	10805	437
38	pet_154	10905	750
39	pet_154	11005	1300
40	pet_154	11105	1300
41	pet_154	11205	1300
42	pet_154	11305	1300
43	pet_154	11405	437
44	pet_154	11505	750
45	pet_154	11605	800
46	pet_154	11705	750
47	pet_154	11805	437
48	pet_154	11905	439
49	pet_156	10705	437
50	pet_156	10905	750
51	pet_156	11005	1300
52	pet_156	11105	1300
53	pet_156	11205	1300
54	pet_156	11305	1300
55	pet_156	11405	437
56	pet_156	11505	750
57	pet_156	11605	800
58	pet_156	11705	750
59	pet_156	11805	437
60	pet_156	11905	439
61	pet_158	10705	437
62	pet_158	10905	750
63	pet_158	11005	1300
64	pet_158	11105	1300
65	pet_158	11205	1300
66	pet_158	11305	1300
67	pet_158	11405	437
68	pet_158	11505	750
69	pet_158	11605	800
70	pet_158	11705	750
71	pet_158	11805	437
72	pet_158	11905	439
73	pet_104	10804	87
74	pet_104	10805	349
75	pet_104	10904	150
76	pet_104	10905	600
77	pet_104	11004	260
78	pet_104	11005	1040
79	pet_104	11104	260
80	pet_104	11105	1040
81	pet_104	11204	260
82	pet_104	11205	1040
83	pet_104	11304	260
84	pet_104	11305	1040
85	pet_104	11404	87
86	pet_104	11405	349
87	pet_104	11504	150
88	pet_104	11505	600
89	pet_104	11604	160
90	pet_104	11605	640
91	pet_104	11704	150
92	pet_104	11705	600
93	pet_104	11804	87
94	pet_104	11805	349
95	pet_104	11904	87
96	pet_104	11905	351
97	pet_115	10804	87
98	pet_115	10805	349
99	pet_115	10904	150
100	pet_115	10905	600
101	pet_115	11004	260
102	pet_115	11005	1040
103	pet_115	11104	260
104	pet_115	11105	1040
105	pet_115	11204	260
106	pet_115	11205	1040
107	pet_115	11304	260
108	pet_115	11305	1040
109	pet_115	11404	87
110	pet_115	11405	349
111	pet_115	11504	150
112	pet_115	11505	600
113	pet_115	11604	160
114	pet_115	11605	640
115	pet_115	11704	150
116	pet_115	11705	600
117	pet_115	11804	87
118	pet_115	11805	349
119	pet_115	11904	87
120	pet_115	11905	351
121	pet_124	10704	87
122	pet_124	10705	349
123	pet_124	10904	150
124	pet_124	10905	600
125	pet_124	11004	260
126	pet_124	11005	1040
127	pet_124	11104	260
128	pet_124	11105	1040
129	pet_124	11204	260
130	pet_124	11205	1040
131	pet_124	11304	260
132	pet_124	11305	1040
133	pet_124	11404	87
134	pet_124	11405	349
135	pet_124	11504	150
136	pet_124	11505	600
137	pet_124	11604	160
138	pet_124	11605	640
139	pet_124	11704	150
140	pet_124	11705	600
141	pet_124	11804	87
142	pet_124	11805	349
143	pet_124	11904	87
144	pet_124	11905	351
145	pet_155	10804	87
146	pet_155	10805	349
147	pet_155	10904	150
148	pet_155	10905	600
149	pet_155	11004	260
150	pet_155	11005	1040
151	pet_155	11104	260
152	pet_155	11105	1040
153	pet_155	11204	260
154	pet_155	11205	1040
155	pet_155	11304	260
156	pet_155	11305	1040
157	pet_155	11404	87
158	pet_155	11405	349
159	pet_155	11504	150
160	pet_155	11505	600
161	pet_155	11604	160
162	pet_155	11605	640
163	pet_155	11704	150
164	pet_155	11705	600
165	pet_155	11804	87
166	pet_155	11805	349
167	pet_155	11904	87
168	pet_155	11905	351
169	pet_157	10704	87
170	pet_157	10705	349
171	pet_157	10904	150
172	pet_157	10905	600
173	pet_157	11004	260
174	pet_157	11005	1040
175	pet_157	11104	260
176	pet_157	11105	1040
177	pet_157	11204	260
178	pet_157	11205	1040
179	pet_157	11304	260
180	pet_157	11305	1040
181	pet_157	11404	87
182	pet_157	11405	349
183	pet_157	11504	150
184	pet_157	11505	600
185	pet_157	11604	160
186	pet_157	11605	640
187	pet_157	11704	150
188	pet_157	11705	600
189	pet_157	11804	87
190	pet_157	11805	349
191	pet_157	11904	87
192	pet_157	11905	351
193	pet_159	10704	87
194	pet_159	10705	349
195	pet_159	10904	150
196	pet_159	10905	600
197	pet_159	11004	260
198	pet_159	11005	1040
199	pet_159	11104	260
200	pet_159	11105	1040
201	pet_159	11204	260
202	pet_159	11205	1040
203	pet_159	11304	260
204	pet_159	11305	1040
205	pet_159	11404	87
206	pet_159	11405	349
207	pet_159	11504	150
208	pet_159	11505	600
209	pet_159	11604	160
210	pet_159	11605	640
211	pet_159	11704	150
212	pet_159	11705	600
213	pet_159	11804	87
214	pet_159	11805	349
215	pet_159	11904	87
216	pet_159	11905	351
217	pet_160	10804	87
218	pet_160	10805	349
219	pet_160	10904	150
220	pet_160	10905	600
221	pet_160	11004	260
222	pet_160	11005	1040
223	pet_160	11104	260
224	pet_160	11105	1040
225	pet_160	11204	260
226	pet_160	11205	1040
227	pet_160	11304	260
228	pet_160	11305	1040
229	pet_160	11404	87
230	pet_160	11405	349
231	pet_160	11504	150
232	pet_160	11505	600
233	pet_160	11604	160
234	pet_160	11605	640
235	pet_160	11704	150
236	pet_160	11705	600
237	pet_160	11804	87
238	pet_160	11805	349
239	pet_160	11904	87
240	pet_160	11905	351
241	pet_162	10804	87
242	pet_162	10805	349
243	pet_162	10904	150
244	pet_162	10905	600
245	pet_162	11004	260
246	pet_162	11005	1040
247	pet_162	11104	260
248	pet_162	11105	1040
249	pet_162	11204	260
250	pet_162	11205	1040
251	pet_162	11304	260
252	pet_162	11305	1040
253	pet_162	11404	87
254	pet_162	11405	349
255	pet_162	11504	150
256	pet_162	11505	600
257	pet_162	11604	160
258	pet_162	11605	640
259	pet_162	11704	150
260	pet_162	11705	600
261	pet_162	11804	87
262	pet_162	11805	349
263	pet_162	11904	87
264	pet_162	11905	351
265	pet_164	10804	87
266	pet_164	10805	349
267	pet_164	10904	150
268	pet_164	10905	600
269	pet_164	11004	260
270	pet_164	11005	1040
271	pet_164	11104	260
272	pet_164	11105	1040
273	pet_164	11204	260
274	pet_164	11205	1040
275	pet_164	11304	260
276	pet_164	11305	1040
277	pet_164	11404	87
278	pet_164	11405	349
279	pet_164	11504	150
280	pet_164	11505	600
281	pet_164	11604	160
282	pet_164	11605	640
283	pet_164	11704	150
284	pet_164	11705	600
285	pet_164	11804	87
286	pet_164	11805	349
287	pet_164	11904	87
288	pet_164	11905	351
289	pet_166	10704	87
290	pet_166	10705	349
291	pet_166	10904	150
292	pet_166	10905	600
293	pet_166	11004	260
294	pet_166	11005	1040
295	pet_166	11104	260
296	pet_166	11105	1040
297	pet_166	11204	260
298	pet_166	11205	1040
299	pet_166	11304	260
300	pet_166	11305	1040
301	pet_166	11404	87
302	pet_166	11405	349
303	pet_166	11504	150
304	pet_166	11505	600
305	pet_166	11604	160
306	pet_166	11605	640
307	pet_166	11704	150
308	pet_166	11705	600
309	pet_166	11804	87
310	pet_166	11805	349
311	pet_166	11904	87
312	pet_166	11905	351
313	pet_168	10704	87
314	pet_168	10705	349
315	pet_168	10904	150
316	pet_168	10905	600
317	pet_168	11004	260
318	pet_168	11005	1040
319	pet_168	11104	260
320	pet_168	11105	1040
321	pet_168	11204	260
322	pet_168	11205	1040
323	pet_168	11304	260
324	pet_168	11305	1040
325	pet_168	11404	87
326	pet_168	11405	349
327	pet_168	11504	150
328	pet_168	11505	600
329	pet_168	11604	160
330	pet_168	11605	640
331	pet_168	11704	150
332	pet_168	11705	600
333	pet_168	11804	87
334	pet_168	11805	349
335	pet_168	11904	87
336	pet_168	11905	351
337	pet_170	10704	87
338	pet_170	10705	349
339	pet_170	10904	150
340	pet_170	10905	600
341	pet_170	11004	260
342	pet_170	11005	1040
343	pet_170	11104	260
344	pet_170	11105	1040
345	pet_170	11204	260
346	pet_170	11205	1040
347	pet_170	11304	260
348	pet_170	11305	1040
349	pet_170	11404	87
350	pet_170	11405	349
351	pet_170	11504	150
352	pet_170	11505	600
353	pet_170	11604	160
354	pet_170	11605	640
355	pet_170	11704	150
356	pet_170	11705	600
357	pet_170	11804	87
358	pet_170	11805	349
359	pet_170	11904	87
