流水id	套装编号	套装数量	饲养属性值ID	出战属性值ID	需求套装总等级
int	int	int	string	string	int
Id	SuitId	SuitNum	FeedPropValue	FightPropValue	NeedAdvanced
1	2201	2	4,2	4,4	0
2	2201	3	25,6	25,13	0
3	2201	2	4,4	4,8	6
4	2201	3	25,13	25,26	10
5	2201	2	4,6	4,12	15
6	2201	3	25,20	25,40	15
7	2202	2	26,6	26,13	0
8	2202	3	1,20	1,40	0
9	2202	2	26,13	26,26	6
10	2202	3	1,40	1,80	10
11	2202	2	26,20	26,40	15
12	2202	3	1,60	1,120	15
13	2203	2	3,2	3,4	0
14	2203	3	22,6	22,13	0
15	2203	3	22,13	22,26	6
16	2203	2	1,4	3,8	10
17	2203	2	1,6	3,12	15
18	2203	3	22,20	22,40	15
19	2301	2	1,33	1,66	0
20	2301	3	4,3	4,6	0
21	2301	4		52,50	0
22	2301	2	1,66	1,133	8
23	2301	3	4,6	4,13	12
24	2301	4		52,100	16
25	2301	2	1,100	1,200	20
26	2301	3	4,10	4,20	20
27	2302	2	1,33	1,66	0
28	2302	3	3,3	3,6	0
29	2302	4		51,50	0
30	2302	2	1,66	1,133	8
31	2302	3	3,6	3,13	12
32	2302	4		51,100	16
33	2302	2	1,100	1,200	20
34	2302	3	3,10	3,20	20
35	2303	2	1,33	1,66	0
36	2303	3	3,3	3,6	0
37	2303	4		112,50	0
38	2303	2	1,66	1,133	8
39	2303	3	3,6	3,13	12
40	2303	4		112,100	16
41	2303	2	1,100	1,200	20
42	2303	3	3,10	3,20	20
43	2401	2	1,40	1,80	0
44	2401	3	3,4	3,8	0
45	2401	4		31,50	0
46	2401	5		174,75	0
47	2401	2	1,80	1,160	8
48	2401	3	3,8	3,16	12
49	2401	4		31,100	16
50	2401	2	1,120	1,240	20
51	2401	3	3,12	3,24	20
52	2401	5		174,150	25
53	2402	2	1,40	1,80	0
54	2402	3	22,13	22,26	0
55	2402	4		132,75	0
56	2402	5		33,50	0
57	2402	2	1,80	1,160	8
58	2402	3	22,26	22,53	12
59	2402	4		132,150	16
60	2402	2	1,120	1,240	20
61	2402	3	22,40	22,80	20
62	2402	5		33,100	25
63	2403	2	1,40	1,80	0
64	2403	3	4,4	4,8	0
65	2403	4		52,50	0
66	2403	5		112,50	0
67	2403	2	1,80	1,160	8
68	2403	3	4,8	4,16	12
69	2403	4		52,100	16
70	2403	2	1,120	1,240	20
71	2403	3	4,12	4,24	20
72	2403	5		112,100	25
73	2404	2	1,40	1,80	0
74	2404	3	3,4	3,8	0
75	2404	4		34,50	0
76	2404	5		51,50	0
77	2404	2	1,80	1,160	8
78	2404	3	3,8	3,16	12
79	2404	4		34,100	16
80	2404	2	1,120	1,240	20
81	2404	3	3,12	3,24	20
82	2404	5		51,100	25
