等级	升级总经验	学会配方（改版本号）	升到此级增加技能点（改版本号）	升级邮件
int	int	string	int	string
Id	TotalExp	LearnForging	AddSkillPoints	MailID
1	0		0	
2	500		0	
3	1100		0	
4	1800		0	
5	2600		0	
6	3500		1	
7	4500		1	
8	5800		1	
9	7600		1	
10	9900		1	
11	12800		1	
12	16400		1	
13	20800		1	
14	26100		1	
15	32300		1	
16	39700		1	
17	49300		1	
18	63700		1	
19	83800		1	
20	111900		1	
21	151200	301040200001,301040200002,301040200003,301040200004,301040200005,301040200006	1	
22	197100	302040200001,302040200002,302040200003,302040200004,302040200005,302040200006	1	
23	251200	303040200001,303040200002,303040200003,303040200004,303040200005,303040200006	1	
24	315500	304040200001,304040200002,304040200003,304040200004,304040200005,304040200006	1	
25	392600	305040200001,305040200002,305040200003,305040200004,305040200005,305040200006	1	
26	485800	306040200001,306040200002,306040200003,306040200004,306040200005,306040200006	1	
27	599500	307040200999	1	
28	738200	308040200999	1	
29	907400	309040200999	1	
30	1113800	310040200999	1	mail_tarot_tips
31	1367600		1	mail_sealdevil_tips
32	1626400		1	
33	1898100		1	
34	2191500		1	
35	2517100		1	
36	2885000		1	
37	3308000		1	
38	3807100		1	
39	4406000		1	
40	5124600		1	
41	5986900		1	
42	6857800		1	
43	7754800		1	
44	8696600		1	
45	9704300		1	
46	10802600		1	
47	12021700		1	
48	13448000		1	
49	15173800		1	
50	17331000		1	
51	20027500		1	
52	22750900		1	
53	25528700		1	
54	28417600		1	
55	31537600		1	
56	35032000		1	
57	39225200		1	
58	44424700		1	
59	51184000		1	
60	60647000		1	
61	73895200		1	
62	87209600		1	
63	100723700		1	
64	114643200		1	
65	129119400		1	
66	144319400		1	
67	160431400		1	
68	177671200		1	
69	196290100		1	
70	216584700		1	
71	239111700		1	
72	261751300		1	
73	284617200		1	
74	307711700		1	
75	331268000		1	
76	355413200		1	
77	380524200		1	
78	408146300		1	
79	439635400		1	
80	476792500		1	
81	521381000		1	
82	562402400		1	
83	603669900		1	
84	645267500		1	
85	687281000		1	
86	729798600		1	
87	772911400		1	
88	816714000		1	
89	861305000		1	
90	907233700		1	
91	955458800		1	
92	1004166100		1	
93	1053311700		1	
94	1102850400		1	
95	1152735800		1	
96	1202920500		1	
97	1253356100		1	
98	1303993400		1	
99	1354782600		1	
100	1405673300		1	
101	1456614800		1	
102	1508065700		1	
103	1559979600		1	
104	1612308800		1	
105	1665004300		1	
106	1718015900		1	
107	1771292500		1	
108	1824782200		1	
109	1878432300		1	
110	1932189700		1	
111	1986000800		1	
