npcid	动作信息	动作时间	绑点集	特效表现集	音效表现集
string	int	string	string	string	string
NpcId	ActionID	ActionTime	BindPointSet	EffectSet	AudioSet
hero101	8	0.1999909;0.566409	63,64	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
hero102	8	0.09999999;0.4666662	64,63	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
hero103	8	0.03333333;0.3999996	64,63	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
hero107	8	0.03333333;0.3999996	64,63	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
hero104	8	0.09999999;0.4666662	64,63	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
hero108	8	0.09999999;0.4666662	64,63	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
hero105	8	0.03333333;0.3999996	64,63	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
hero106	8	0.53333333;0.1333333	64,63	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_101	8	0.366666666666667;0.233333333333333;0.0333333333333333;0.1	73,74,63,64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_104	8	0.366666666666667;0.233333333333333;0.0333333333333333;0.1	73,74,63,64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_105	8	0.4;0.933333333333333;0.766666666666667;0.3	73,74,63,64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_107	8	0;0.666666666666667;0.8;0.266666666666667	73,74,63,64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_109	8	0;0.333333333333333;0.833333333333333;0.9	8,7,63,64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_111	8	0;0.866666666666667;0.733333333333333;0.633333333333333	73,74,63,64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_115	8	0.3333;1	1,1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_116	8	0.3333;1	1,1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_117	8	0.966666666666667;0.3	63,64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_119	8	0;0;0		1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_121	8	0.433333333333333;0.0333333333333333	63,64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_123	8	0.3;0.6;0.9;1.2;1.5;1.8	19;19;19;19;19;19	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_124	8	0.633333333333333;0.2	63,64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_901	8	0.633333333333333;0.2	63,64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_902	8	0;0		1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_125	8	0.266666666666667;0.366666666666667;0.0666666666666667;0	8,7,63,64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_126	8	0.2;0.3;0.0666666666666667;0	8,7,63,64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_127	8	0.2;0.0333333333333333;0.0333333333333333;0.2	73,74,63,64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_128	8	0;0.866666666666667;0.733333333333333;0.633333333333333	73,74,63,64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_129	8	0.366666666666667;0.233333333333333;0.0333333333333333;0.1	73,74,63,64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_130	8	0;0.866666666666667;0.733333333333333;0.633333333333333	85,84,86,32	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_131	8	0.166666;0.166666	63,64	1,40000046;2,40000067;3,10000032;8,40000144	0,248;1,418;2,418;3,418
ride_132	8	0.33333;0.66666;0.99999	1;1;1	1,40000046;2,40000050;3,10000032;8,40000144	0,248;1,418;2,418;3,418
