流水	平台	充值Id	产品Id
int	int	int	string
Id	PlatFormId	RechargeId	ProductId
1	0	101	101
2	0	102	102
3	0	103	103
4	0	104	104
5	0	105	105
6	0	106	106
7	0	1000	1000
8	0	1001	1001
9	0	1002	1002
10	0	1003	1003
11	0	1004	1004
12	0	1005	1005
13	0	1006	1006
14	0	1007	1007
15	0	1008	1008
16	0	1009	1009
17	0	1010	1010
18	0	1011	1011
19	0	1012	1012
20	0	1013	1013
21	0	2000	2000
22	0	2001	2001
23	0	2002	2002
24	0	3000	3000
25	0	3001	3001
26	0	5001	5001
27	0	5002	5002
28	0	5003	5003
29	0	6001	6001
30	0	6002	6002
31	0	6003	6003
32	0	6004	6004
33	0	6005	6005
34	0	6006	6006
35	0	6011	6011
36	0	6012	6012
37	0	6013	6013
38	0	6014	6014
39	0	6015	6015
40	0	6016	6016
41	0	6021	6021
42	0	6022	6022
43	0	6023	6023
44	0	6024	6024
45	0	6025	6025
46	0	6026	6026
47	0	6031	6031
48	0	6032	6032
49	0	6033	6033
50	0	6034	6034
51	0	6035	6035
52	0	6036	6036
53	0	6041	6041
54	0	6042	6042
55	0	6043	6043
56	0	6044	6044
57	0	6045	6045
58	0	6046	6046
59	0	6051	6051
60	0	6052	6052
61	0	6053	6053
62	0	6054	6054
63	0	6055	6055
64	0	6056	6056
65	0	6061	6061
66	0	6062	6062
67	0	6063	6063
68	0	6064	6064
69	0	6065	6065
70	0	6066	6066
71	0	6071	6071
72	0	6072	6072
73	0	6073	6073
74	0	6074	6074
75	0	6081	6081
76	0	6082	6082
77	0	6083	6083
78	0	6084	6084
79	0	6091	6091
80	0	6092	6092
81	0	6093	6093
82	0	6094	6094
83	0	6101	6101
84	0	6102	6102
85	0	6111	6111
86	0	6112	6112
87	0	6121	6121
88	0	6122	6122
89	0	6131	6131
90	0	6132	6132
91	0	6141	6141
92	0	6142	6142
93	0	6151	6151
94	0	6152	6152
95	0	6161	6161
96	0	6162	6162
97	0	6171	6171
98	0	6172	6172
99	0	6181	6181
100	0	6182	6182
101	0	6191	6191
102	0	6192	6192
103	0	7000	7000
104	0	7001	7001
105	0	7002	7002
106	0	7003	7003
107	0	7011	7011
108	0	7021	7021
109	0	7031	7031
110	0	7041	7041
111	0	7051	7051
112	0	7061	7061
113	0	7071	7071
114	0	7081	7081
115	0	8000	8000
116	0	8010	8010
117	0	8020	8020
118	0	8030	8030
119	0	8040	8040
120	0	8050	8050
121	0	8060	8060
122	0	8070	8070
123	0	9201	9201
124	0	9202	9202
125	20201	101	com.icantw.goc.item01
126	20201	102	com.icantw.goc.item02
127	20201	103	com.icantw.goc.item03
128	20201	104	com.icantw.goc.item04
129	20201	105	com.icantw.goc.item05
130	20201	106	com.icantw.goc.item06
131	20201	1000	com.icantw.goc.item07
132	20201	1001	com.icantw.goc.item08
133	20201	2000	com.icantw.goc.item09
134	20201	2001	com.icantw.goc.item10
135	20201	2002	com.icantw.goc.item11
136	20201	3000	com.icantw.goc.item12
137	20201	3001	com.icantw.goc.item13
138	20201	5001	com.icantw.goc.item14
139	20201	5002	com.icantw.goc.item15
140	20201	5003	com.icantw.goc.item16
141	20201	6021	com.icantw.goc.item17
142	20201	6022	com.icantw.goc.item18
143	20201	6023	com.icantw.goc.item19
144	20201	6024	com.icantw.goc.item20
145	20201	6031	com.icantw.goc.item21
146	20201	6032	com.icantw.goc.item22
147	20201	6033	com.icantw.goc.item23
148	20201	6034	com.icantw.goc.item24
149	20201	6041	com.icantw.goc.item25
150	20201	6042	com.icantw.goc.item26
151	20201	6043	com.icantw.goc.item27
152	20201	6044	com.icantw.goc.item28
153	20201	6051	com.icantw.goc.item29
154	20201	6052	com.icantw.goc.item30
155	20201	6053	com.icantw.goc.item31
156	20201	6054	com.icantw.goc.item32
157	20201	6061	com.icantw.goc.item33
158	20201	6062	com.icantw.goc.item34
159	20201	6063	com.icantw.goc.item35
160	20201	6064	com.icantw.goc.item36
161	20201	6071	com.icantw.goc.item37
162	20201	6072	com.icantw.goc.item38
163	20201	6073	com.icantw.goc.item39
164	20201	6074	com.icantw.goc.item40
165	20201	6081	com.icantw.goc.item41
166	20201	6082	com.icantw.goc.item42
167	20201	6083	com.icantw.goc.item43
168	20201	6084	com.icantw.goc.item44
169	20201	6091	com.icantw.goc.item45
170	20201	6092	com.icantw.goc.item46
171	20201	6093	com.icantw.goc.item47
172	20201	6094	com.icantw.goc.item48
173	30201	101	com.icantw.goc.item01
174	30201	102	com.icantw.goc.item02
175	30201	103	com.icantw.goc.item03
176	30201	104	com.icantw.goc.item04
177	30201	105	com.icantw.goc.item05
178	30201	106	com.icantw.goc.item06
179	30201	1000	com.icantw.goc.item07
180	30201	1001	com.icantw.goc.item08
181	30201	2000	com.icantw.goc.item09
182	30201	2001	com.icantw.goc.item10
183	30201	2002	com.icantw.goc.item11
184	30201	3000	com.icantw.goc.item12
185	30201	3001	com.icantw.goc.item13
186	30201	5001	com.icantw.goc.item14
187	30201	5002	com.icantw.goc.item15
188	30201	5003	com.icantw.goc.item16
189	30201	6021	com.icantw.goc.item17
190	30201	6022	com.icantw.goc.item18
