特效id	特效类型	特效组	特效优先级	参数0	参数1	参数2	参数3	参数4	参数5	参数6	参数7	参数8	参数9	参数10	参数11	参数12	参数13	参数14	句柄参数0	句柄参数1	句柄参数2	句柄参数3	句柄参数4	句柄参数5	句柄参数6	句柄参数7	句柄参数8	句柄参数9
int	int	int	int	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	string	string	string	string	string	string	string	string	string	string
Id	type	group	prior	param0	param1	param2	param3	param4	param5	param6	param7	param8	param9	param10	param11	param12	param13	param14	stringParam0	stringParam1	stringParam2	stringParam3	stringParam4	stringParam5	stringParam6	stringParam7	stringParam8	stringParam9
1	1	0	0	0.150000	0.200000	2.500000	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	255,255,255,255									
10001	1	0	0	0.200000	0.200000	2.500000	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	255,255,255,255									
10002	1	0	0	0.200000	0.000000	2.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	255,255,255,255									
20001	2	0	1	1.000000	0.500000	1.000000	1.000000	-1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	188,188,29,255									
20002	2	0	1	1.000000	0.000000	0.000000	1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	188,188,29,255									
20003	2	0	0	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	188,188,29,255									
20004	2	0	2	1.000000	0.000000	0.000000	2.500000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	188,188,29,255									
20005	2	0	1	1.000000	0.750000	1.000000	0.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	188,188,29,255									
30001	9	0	1	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	255,255,255,255									
100001	3	0	2	100000.000000	0.000000	2.000000	1.500000	0.030000	1.500000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	chareff_noise	chareff_magicramp	255,255,255,255							
100002	3	0	0	2.000000	0.000000	2.000000	1.500000	0.030000	1.500000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	chareff_noise	chareff_magicramp	255,255,255,255							
100003	3	0	2	100000.000000	0.000000	5.000000	1.500000	0.030000	1.500000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	chareff_noise	chareff_magicramp	255,255,255,255							
110001	4	0	0	1.500000	1.000000	0.000000	8.000000	0.172000	1.000000	0.085000	1.130000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0,0,0	255,255,255,255	chareff_whitenoise	chareff_magicramp						
110002	4	0	0	7.000000	0.000000	2.000000	15.000000	0.250000	1.500000	0.080000	2.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0,-7,0	255,255,255,255	chareff_whitenoise	chareff_magicramp						
110003	4	0	0	2.500000	1.500000	0.000000	0.800000	0.250000	1.000000	0.151000	1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0,0,0	255,255,255,255	chareff_whitenoise	chareff_magicramp						
110004	4	0	0	7.000000	0.000000	2.000000	0.800000	0.250000	1.000000	0.151000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0,0,0	255,255,255,255	chareff_whitenoise	chareff_magicramp						
110005	4	0	0	1.000000	1.000000	0.300000	4.000000	0.250000	1.000000	0.151000	1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0,0,0	255,255,255,255	chareff_whitenoise	chareff_magicramp						
110006	4	0	0	1.000000	0.300000	1.000000	4.000000	0.250000	1.000000	0.151000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0,0,0	255,255,255,255	chareff_whitenoise	chareff_magicramp						
50001	5	0	1	0.000000	1.000000	-1.000000	4.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	chareff_stone									
60001	6	0	1	2.000000	1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	188,188,29,255									
70001	7	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	188,188,29,255									
