副本ID	每方人数	红方出生点	蓝方出生点
int	int	string	string
Id	EachNumber	RedCampBorn	BlueCampBorn
1900	1	-15.96,1.01,-16.07,50;-17.63,1.01,-19.3,50;-18.3,1.01,-14.8,50;-14.7,1.01,-17.7,50;-19.1,1.01,-17.6,50	15.77,1.01,15.74,225;18.22,1.01,15.6,225;15.63,1.01,18.28,225;17.1,0.9,18.8,225;18.9,0.9,16.8,225
1901	3	-15.96,1.01,-16.07,50;-18.53,1.01,-15.93,50;-15.7,1.01,-18.82,50	15.77,1.01,15.74,225;18.22,1.01,15.6,225;15.63,1.01,18.28,225
1902	1	-15.96,1.01,-16.07,50	
1903	10	-78.86,-2.6,-70.19,54;-76.08,-2.6,-73.28,54;-82.89,-2.6,-71.72,54;-79.97,-2.6,-74.53,54;-84.6,-2.6,-75.04,54;-72.83,-2.6,-76.68,33;-69.81,-2.6,-79.34,30;-74.24,-2.6,-80.9,30;-71.37,-2.6,-82.88,30;-74.73,-2.6,-84.64,30	79.58,-2.8,70.92,260;77.29,-2.8,73.83,260;84.09,-2.8,71.22,260;81.48,-2.8,74.5,260;85.27,-2.8,74.94,260;73.56,-2.8,77.2,200;70.66,-2.8,79.7,200;74.72,-2.8,81.42,190;71.3,-2.8,83.15,190;73.96,-2.8,86.01,190
1904	5	-28.13,-2.81,-23.67,40;-24.97,-2.81,-26.89,40;-32.65,-2.81,-25.71,40;-29.89,-2.81,-28.61,40;-26.78,-2.81,-31.87,40	27.84,-2.81,25.2,225;24.4,-2.81,28.68,225;32.62,-2.81,26.52,225;29.3,-2.81,29.87,225;25.93,-2.81,33.27,225
1211	40	-67.07,0.99,-74.63,45;-76.02,0.99,-65.42,45;-71.47,0.99,-78.29,45;-79.66,1.07,-69.59,45	74.24,1.22,77.58,225;76.23,1.22,71.18,225;78.24,1.22,73.75,225;71.78,1.22,75.52,225
1212	40	-77.86,-2.57,-83.97,45;-83.98,-2.57,-77.91,45;-74.94,-2.57,-75.0,45	83.31,-2.8,73.38,225;73.34,-2.8,83.41,225;80.87,-2.8,80.78,225
1213	40	-77.86,-2.57,-83.97,45;-83.98,-2.57,-77.91,45;-74.94,-2.57,-75.0,45	83.31,-2.8,73.38,225;73.34,-2.8,83.41,225;80.87,-2.8,80.78,225
1081	1	-15.96,1.01,-16.07,50;-17.63,1.01,-19.3,50;-18.3,1.01,-14.8,50;-14.7,1.01,-17.7,50;-19.1,1.01,-17.6,50	15.77,1.01,15.74,225;18.22,1.01,15.6,225;15.63,1.01,18.28,225;17.1,0.9,18.8,225;18.9,0.9,16.8,225
1082	1	-15.96,1.01,-16.07,90;-17.63,1.01,-19.3,90;-18.3,1.01,-14.8,90;-14.7,1.01,-17.7,90;-19.1,1.01,-17.6,90	15.77,1.01,15.74,225;18.22,1.01,15.6,225;15.63,1.01,18.28,225;17.1,0.9,18.8,225;18.9,0.9,16.8,225
1959	5	-28.13,-2.81,-23.67,40;-24.97,-2.81,-26.89,40;-32.65,-2.81,-25.71,40;-29.89,-2.81,-28.61,40;-26.78,-2.81,-31.87,40	27.84,-2.81,25.2,225;24.4,-2.81,28.68,225;32.62,-2.81,26.52,225;29.3,-2.81,29.87,225;25.93,-2.81,33.27,225
1965	20	81.1,1.4,70.5,42;79.8,1.4,68.9,42;77.3,1.4,66.4,42;74.7,1.4,65.5,42;70.7,1.4,65.3,42;67.5,1.4,67.4,42;65.4,1.4,70.6,42;65,1.4,73.9,42;66.4,1.4,77.9,42;78.6,1.4,73.5,42;75.3,1.4,75.4,42;72,1.4,76.6,42;72.2,1.4,72,42;69.6,1.4,73.3,42;69.6,1.4,73.3,42;65.7,1.4,73.1,42;73.1,1.4,68.4,42;71.6,1.5,69.1,42;70.4,1.4,71.1,42;68.1,1.4,72.0,42	-81.1,1.4,-70.5,222;-79.8,1.4,-68.9,222;-77.3,1.4,-66.4,222;-74.7,1.4,-65.5,222;-70.7,1.4,-65.3,222;-67.5,1.4,-67.4,222;-65.4,1.4,-70.6,222;-65,1.4,-73.9,222;-66.4,1.4,-77.9,222;-78.6,1.4,-73.5,222;-75.3,1.4,-75.4,222;-72,1.4,-76.6,222;-72.2,1.4,-72,222;-69.6,1.4,-73.3,222;-65.7,1.4,-73.1,222;-73.1,1.4,-68.4,222;-71.6,1.5,-69.1,222;-70.4,1.4,-71.1,222;-68.1,1.4,-72.0,222;-68.1,1.4,-72.0,222
2001	1	0.1,3.3,-3.4,360;1.1,4.3,-3.4,360;2.1,5.3,-3.4,360;3.1,6.3,-3.4,360;4.1,7.3,0.6,360;3.1,6.3,-3.4,360	-8.4,3.1,13.8,150;-7.4,3.1,14.8,150;-6.4,3.1,15.8,150;-5.4,3.1,16.8,150;-4.4,3.1,17.8,150;-3.4,3.1,17.8,150
2002	1	0.1,3.3,-3.4,360;1.1,4.3,-3.4,360;2.1,5.3,-3.4,360;3.1,6.3,-3.4,360;4.1,7.3,0.6,360;3.1,6.3,-3.4,360	-8.4,3.1,13.8,150;-7.4,3.1,14.8,150;-6.4,3.1,15.8,150;-5.4,3.1,16.8,150;-4.4,3.1,17.8,150;-3.4,3.1,17.8,150
2003	1	0.2,3.2,-10.7,360;1.1,3.2,-3.4,360;2.1,3.2,-3.4,360;3.1,3.2,-3.4,360;4.1,3.2,0.6,360;3.1,3.2,-3.4,360	3.4,3.1,2.1,150;4.4,3.1,2.1,150;5.4,3.1,2.1,150;6.4,3.1,2.1,150;7.4,3.1,2.1,150
2004	1	0.2,3.2,-10.7,360;1.1,3.2,-3.4,360;2.1,3.2,-3.4,360;3.1,3.2,-3.4,360;4.1,3.2,0.6,360;3.1,3.2,-3.4,360	3.4,3.1,2.1,150;4.4,3.1,2.1,150;5.4,3.1,2.1,150;6.4,3.1,2.1,150;7.4,3.1,2.1,150
2005	1	0.2,3.2,-10.7,360;1.1,3.2,-3.4,360;2.1,3.2,-3.4,360;3.1,3.2,-3.4,360;4.1,3.2,0.6,360;3.1,3.2,-3.4,360	3.4,3.1,2.1,150;4.4,3.1,2.1,150;5.4,3.1,2.1,150;6.4,3.1,2.1,150;7.4,3.1,2.1,150
2006	1	0.2,3.2,-10.7,360;1.1,3.2,-3.4,360;2.1,3.2,-3.4,360;3.1,3.2,-3.4,360;4.1,3.2,0.6,360;3.1,3.2,-3.4,360	3.4,3.1,2.1,150;4.4,3.1,2.1,150;5.4,3.1,2.1,150;6.4,3.1,2.1,150;7.4,3.1,2.1,150
2007	1	0.1,3.3,-3.4,360;1.1,4.3,-3.4,360;2.1,5.3,-3.4,360;3.1,6.3,-3.4,360;4.1,7.3,0.6,360;3.1,6.3,-3.4,360	-8.4,3.1,13.8,150;-7.4,3.1,14.8,150;-6.4,3.1,15.8,150;-5.4,3.1,16.8,150;-4.4,3.1,17.8,150;-3.4,3.1,17.8,150
1084	1	10.9,0.9,73.4,218.9;10.9,0.9,73.4,218.9;10.9,0.9,73.4,218.9;10.9,0.9,73.4,218.9;10.9,0.9,73.4,218.9;10.9,0.9,73.4,218.9;86.6,2.7,0.5,243;86.6,2.7,0.5,243;86.6,2.7,0.5,243;86.6,2.7,0.5,243;86.6,2.7,0.5,243;86.6,2.7,0.5,243;86.6,2.7,0.5,243;-46.6,0.6,29.7,111;-46.6,0.6,29.7,111;-46.6,0.6,29.7,111;-46.6,0.6,29.7,111;-46.6,0.6,29.7,111;-46.6,0.6,29.7,111;-46.6,0.6,29.7,111	-0.7,1,-73.9,16.6;-0.7,1,-73.9,16.6;-0.7,1,-73.9,16.6;-0.7,1,-73.9,16.6;-0.7,1,-73.9,16.6;-0.7,1,-73.9,16.6;-70.1,1.2,-8.5,127.8;-70.1,1.2,-8.5,127.8;-70.1,1.2,-8.5,127.8;-70.1,1.2,-8.5,127.8;-70.1,1.2,-8.5,127.8;-70.1,1.2,-8.5,127.8;-70.1,1.2,-8.5,127.8;45.6,0.6,-40.1,318.9;45.6,0.6,-40.1,318.9;45.6,0.6,-40.1,318.9;45.6,0.6,-40.1,318.9;45.6,0.6,-40.1,318.9;45.6,0.6,-40.1,318.9;45.6,0.6,-40.1,318.9
1085	1	-17.9,0.8,-18.3,43.6	18.1,0.8,18.0,230.3
1086	1	-17.9,0.8,-18.3,43.6	18.1,0.8,18.0,230.3
1511	1	-15.96,1.01,-16.07,90;-17.63,1.01,-19.3,90;-18.3,1.01,-14.8,90;-14.7,1.01,-17.7,90;-19.1,1.01,-17.6,90	15.77,1.01,15.74,225;18.22,1.01,15.6,225;15.63,1.01,18.28,225;17.1,0.9,18.8,225;18.9,0.9,16.8,225
1512	1	-14.4,3.4,-24.7,90;-16.6,3.5,-22.4,90;-15.8,3.4,-26.8,90;-17.9,3.4,-23.2,90;-17.5,3.4,-25.6,90	42.1,3.4,-24.2,265;43.6,3.5,-25.3,265;43.6,3.4,-21.3,265;45.2,3.5,-24.8,265;45.3,3.5,-22.7,265
1513	1	-29.2,1.4,-0.9,90;-31.9,1.4,1.3,90;-31.5,1.4,-4.5,90;-33.4,1.5,0.5,90;-32.7,1.5,-2.9,90	30.4,1.4,1.0,265;32.3,1.4,-1.2,265;32.3,1.4,3.6,265;34.5,1.5,0.1,265;34.2,1.5,2.3,265
1514	1	-82,-1.7,-59.2,90;-84,-1.5,-57.8,90;-84.2,-1.6,-62,90;-85.4,-1.6,-58.3,90;-85.3,-1.6,-60.7,90	-23.5,-1.7,-58.9,265;-22.3,-1.7,-61,265;-23.2,-1.7,-56.4,265;-21.3,-1.5,-59.4,265;-20.3,-1.5,-56.7,265
1515	1	-15.96,1.01,-16.07,90;-17.63,1.01,-19.3,90;-18.3,1.01,-14.8,90;-14.7,1.01,-17.7,90;-19.1,1.01,-17.6,90	15.77,1.01,15.74,225;18.22,1.01,15.6,225;15.63,1.01,18.28,225;17.1,0.9,18.8,225;18.9,0.9,16.8,225
1516	1	-14.4,3.4,-24.7,90;-16.6,3.5,-22.4,90;-15.8,3.4,-26.8,90;-17.9,3.4,-23.2,90;-17.5,3.4,-25.6,90	42.1,3.4,-24.2,265;43.6,3.5,-25.3,265;43.6,3.4,-21.3,265;45.2,3.5,-24.8,265;45.3,3.5,-22.7,265
1517	1	-29.2,1.4,-0.9,90;-31.9,1.4,1.3,90;-31.5,1.4,-4.5,90;-33.4,1.5,0.5,90;-32.7,1.5,-2.9,90	30.4,1.4,1.0,265;32.3,1.4,-1.2,265;32.3,1.4,3.6,265;34.5,1.5,0.1,265;34.2,1.5,2.3,265
1518	1	-82,-1.7,-59.2,90;-84,-1.5,-57.8,90;-84.2,-1.6,-62,90;-85.4,-1.6,-58.3,90;-85.3,-1.6,-60.7,90	-23.5,-1.7,-58.9,265;-22.3,-1.7,-61,265;-23.2,-1.7,-56.4,265;-21.3,-1.5,-59.4,265;-20.3,-1.5,-56.7,265
