编号	分类名字	归属大标签
int	string	int
Id	RankName	Label
1	RankName1	1
2	RankName2	1
11	RankName11	2
12	RankName12	2
13	RankName13	2
14	RankName14	2
15	RankName15	2
16	RankName16	2
100	RankName100	3
101	RankName101	3
102	RankName102	6
103	RankName103	1
104	RankName104	4
105	RankName105	1
106	RankName106	5
107	RankName107	5
108	RankName108	5
109	RankName109	6
110	RankName110	1
111	RankName111	3
112	RankName112	3
113	RankName113	6
200	RankName200	4
201	RankName201	4
202	RankName202	4
300	RankName300	3
301	RankName301	3
302	RankName302	3
303	RankName303	3
304	RankName304	6
305	RankName305	3
306	RankName306	3
307	RankName307	3
520	RankName520	8
521	RankName521	6
522	RankName522	7
523	RankName523	7
524	RankName524	7
525	RankName525	7
526	RankName526	7
527	RankName527	6
