流水号	渠道ID	充值id	充值类型	是否触发首冲	充值条件	客户端显示充值金额	获得基础钻石	累计充值计算钻石	是否有额外赠送	首次额外赠送	以后每次购买额外赠送	Icon图标资源	特效资源	充值钻石信息	支付产品id名字	支付产品数量	红包id,数量
int	int	int	int	int	string	int	int	int	bool	int	int	string	string	string	string	int	string
Id	PlatFormId	RechargeId	Type	IsFirstRecharge	RechargeCondition	ClientPrice	BaseDiamond	TotalRewardDiamond	LimitPresent	FirstPresented	AfterPresented	Icon	Effect	RechargeDesc	SdkProductName	SdkProductNum	RedCard
1	0	101	1	1		600	60	60	1	6	6	recharge_icon01	10120;10119	UI_Recharge_Diamonds	UI_SdkProductName01	60	
2	0	102	1	1		3000	300	300	1	33	33	recharge_icon02	10120;10119	UI_Recharge_Diamonds	UI_SdkProductName01	300	
3	0	103	1	1		9800	980	980	1	118	118	recharge_icon03	10120;10119	UI_Recharge_Diamonds	UI_SdkProductName01	980	item142000000202,1
4	0	104	1	1		19800	1980	1980	1	288	288	recharge_icon04	10122;10121	UI_Recharge_Diamonds	UI_SdkProductName01	1980	item142000000202,2
5	0	105	1	1		32800	3280	3280	1	488	488	recharge_icon05	10122;10121	UI_Recharge_Diamonds	UI_SdkProductName01	3280	item142000000202,5
6	0	106	1	1		64800	6480	6480	1	988	988	recharge_icon06	10122;10121	UI_Recharge_Diamonds	UI_SdkProductName01	6480	item142000000202,10
7	0	1000	5	1		8800	0	880	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName02	1	
8	0	1001	5	1		8800	0	880	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName02	1	
9	0	1002	5	1		6800	0	680	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
10	0	1003	9	1		6800	0	680	0	-1	-1			UI_Recharge_SpName12	UI_SdkProductName15	1	
11	0	1004	5	1		8800	0	880	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
15	0	1005	5	1		12800	0	1280	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
17	0	1006	5	1		16800	0	1680	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
21	0	1007	5	1		19800	0	1980	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
23	0	1008	5	1		26800	0	268	0	-1	-1			UI_Recharge_SpName01	UI_SdkProductName03	1	
