流水ID	全身精炼等级	属性加成	buff编号	增加技能等级	额外评分类型	评分计算	星之子变身
int	int	string	string	int	int	int	int
id	LevelSum	PropList	BuffId	AddSkillLevel	CPType	CPValue	StarChildCheck
1	1	3,50		0	0	0	0
2	2	3,100		0	0	0	0
3	3	30,300;32,300		0	0	0	0
4	4	3,100;102,2000		0	0	500	0
5	5	3,100;34,500		0	0	0	0
6	6	108,1500;131,300		0	2	550	0
7	7	3,100;12,250		0	0	0	0
8	8	3,100;51,500		0	0	0	0
9	9	3,150;172,200		0	2	1000	0
10	10	3,150;15,500		1	0	1850	0
11	11	3,300;206,300	buff6_refine01::buff_HealRes02	0	2	750	0
12	12	12,200	buff6_refine01::buff_0	0	2	1200	0
13	13	12,200;34,200	buff6_refine01::buff_6	0	2	1300	1
14	14	51,500	buff6_refine01::buff_5	0	2	1600	0
