编号	精炼道具库编号	精炼道具ID	优先级	经验增加
int	int	string	int	int
ID	RefineBoxID	ItemID	Priority	RefineEXP
1	1	item103010111001	1	20
2	1	item103010111002	2	200
3	1	item103010111003	3	2500
4	1	item103010111004	4	20000
5	1	item103010111005	5	120000
6	2	item103010111001	1	20
7	2	item103010111002	2	200
8	2	item103010111003	3	2500
9	2	item103010111004	4	20000
10	2	item103010111005	5	120000
11	3	item103010111001	1	20
12	3	item103010111002	2	200
13	3	item103010111003	3	2500
14	3	item103010111004	4	20000
15	3	item103010111005	5	120000
16	4	item103010111001	1	20
17	4	item103010111002	2	200
18	4	item103010111003	3	2500
19	4	item103010111004	4	20000
20	4	item103010111005	5	120000
21	5	item103010111001	1	20
22	5	item103010111002	2	200
23	5	item103010111003	3	2500
24	5	item103010111004	4	20000
25	5	item103010111005	5	120000
26	6	item103010111001	1	20
27	6	item103010111002	2	200
28	6	item103010111003	3	2500
29	6	item103010111004	4	20000
30	6	item103010111005	5	120000
31	7	item103010111006	1	20
32	7	item103010111007	2	200
33	7	item103010111008	3	2500
34	7	item103010111009	4	20000
35	7	item103010111010	5	120000
36	8	item103010111006	1	20
37	8	item103010111007	2	200
38	8	item103010111008	3	2500
39	8	item103010111009	4	20000
40	8	item103010111010	5	120000
41	9	item103010111006	1	20
42	9	item103010111007	2	200
43	9	item103010111008	3	2500
44	9	item103010111009	4	20000
45	9	item103010111010	5	120000
46	10	item103010111006	1	20
47	10	item103010111007	2	200
48	10	item103010111008	3	2500
49	10	item103010111009	4	20000
50	10	item103010111010	5	120000
51	11	item103010111006	1	20
52	11	item103010111007	2	200
53	11	item103010111008	3	2500
54	11	item103010111009	4	20000
55	11	item103010111010	5	120000
56	12	item103010111006	1	20
57	12	item103010111007	2	200
58	12	item103010111008	3	2500
59	12	item103010111009	4	20000
60	12	item103010111010	5	120000
61	13	item103010111011	1	20
62	13	item103010111012	2	200
63	13	item103010111013	3	2500
64	13	item103010111014	4	20000
65	13	item103010111015	5	120000
66	14	item103010111011	1	20
67	14	item103010111012	2	200
68	14	item103010111013	3	2500
69	14	item103010111014	4	20000
70	14	item103010111015	5	120000
71	15	item103010111011	1	20
72	15	item103010111012	2	200
73	15	item103010111013	3	2500
74	15	item103010111014	4	20000
75	15	item103010111015	5	120000
76	16	item103010111011	1	20
77	16	item103010111012	2	200
78	16	item103010111013	3	2500
79	16	item103010111014	4	20000
80	16	item103010111015	5	120000
81	17	item103010111011	1	20
82	17	item103010111012	2	200
83	17	item103010111013	3	2500
84	17	item103010111014	4	20000
85	17	item103010111015	5	120000
86	18	item103010111011	1	20
87	18	item103010111012	2	200
88	18	item103010111013	3	2500
89	18	item103010111014	4	20000
90	18	item103010111015	5	120000
91	19	item103010111016	6	20
92	19	item103010111017	7	200
93	19	item103010111018	8	2500
94	19	item103010111019	9	20000
95	19	item103010111020	10	120000
96	20	item103010111016	6	20
97	20	item103010111017	7	200
98	20	item103010111018	8	2500
99	20	item103010111019	9	20000
100	20	item103010111020	10	120000
101	21	item103010111016	6	20
102	21	item103010111017	7	200
103	21	item103010111018	8	2500
104	21	item103010111019	9	20000
105	21	item103010111020	10	120000
106	22	item103010111016	6	20
107	22	item103010111017	7	200
108	22	item103010111018	8	2500
109	22	item103010111019	9	20000
110	22	item103010111020	10	120000
111	23	item103010111016	6	20
112	23	item103010111017	7	200
113	23	item103010111018	8	2500
114	23	item103010111019	9	20000
115	23	item103010111020	10	120000
116	24	item103010111016	6	20
117	24	item103010111017	7	200
118	24	item103010111018	8	2500
119	24	item103010111019	9	20000
120	24	item103010111020	10	120000
