编号	部位	精炼等级	总经验	1点经验消耗银币	等级限制	属性编号	属性加成	战力类型	战力计算
int	int	int	int	int	int	int	float	int	int
ID	EquipPart	RefineLevel	RefineEXP	RefineCost	LimitLevel	PropID	BasePropPer	CPType	CPValue
1	1	0	0	0	0	3	0.000000	0	0
2	1	1	1000	20	1	3	0.050000	1	51
3	1	2	3500	20	1	3	0.100000	1	52
4	1	3	13500	50	21	3	0.150000	1	53
5	1	4	38500	50	21	3	0.200000	1	54
6	1	5	91000	100	31	3	0.250000	1	55
7	1	6	181000	100	31	3	0.300000	1	56
8	1	7	321000	150	41	3	0.350000	1	57
9	1	8	481000	150	41	3	0.400000	1	58
10	1	9	681000	200	51	3	0.450000	1	59
11	1	10	1131000	200	51	3	0.500000	1	60
12	1	11	1731000	200	61	3	0.550000	1	63
13	1	12	2631000	200	71	3	0.600000	1	64
14	1	13	3631000	200	81	3	0.650000	1	65
15	1	14	4831000	200	91	3	0.700000	1	66
16	2	0	0	0	0	1	0.000000	0	0
17	2	1	1000	20	1	1	0.050000	1	51
18	2	2	3500	20	1	1	0.100000	1	52
19	2	3	13500	50	21	1	0.150000	1	53
20	2	4	38500	50	21	1	0.200000	1	54
21	2	5	91000	100	31	1	0.250000	1	55
22	2	6	181000	100	31	1	0.300000	1	56
23	2	7	321000	150	41	1	0.350000	1	57
24	2	8	481000	150	41	1	0.400000	1	58
25	2	9	681000	200	51	1	0.450000	1	59
26	2	10	1131000	200	51	1	0.500000	1	60
27	2	11	1731000	200	61	1	0.550000	1	63
28	2	12	2631000	200	71	1	0.600000	1	64
29	2	13	3631000	200	81	1	0.650000	1	65
30	2	14	4831000	200	91	1	0.700000	1	66
31	3	0	0	0	0	4	0.000000	0	0
32	3	1	1000	20	1	4	0.050000	1	51
33	3	2	3500	20	1	4	0.100000	1	52
34	3	3	13500	50	21	4	0.150000	1	53
35	3	4	38500	50	21	4	0.200000	1	54
36	3	5	91000	100	31	4	0.250000	1	55
37	3	6	181000	100	31	4	0.300000	1	56
38	3	7	321000	150	41	4	0.350000	1	57
39	3	8	481000	150	41	4	0.400000	1	58
40	3	9	681000	200	51	4	0.450000	1	59
41	3	10	1131000	200	51	4	0.500000	1	60
42	3	11	1731000	200	61	4	0.550000	1	63
43	3	12	2631000	200	71	4	0.600000	1	64
44	3	13	3631000	200	81	4	0.650000	1	65
45	3	14	4831000	200	91	4	0.700000	1	66
46	4	0	0	0	0	4	0.000000	0	0
47	4	1	1000	20	1	4	0.050000	1	51
48	4	2	3500	20	1	4	0.100000	1	52
49	4	3	13500	50	21	4	0.150000	1	53
50	4	4	38500	50	21	4	0.200000	1	54
51	4	5	91000	100	31	4	0.250000	1	55
52	4	6	181000	100	31	4	0.300000	1	56
53	4	7	321000	150	41	4	0.350000	1	57
54	4	8	481000	150	41	4	0.400000	1	58
55	4	9	681000	200	51	4	0.450000	1	59
56	4	10	1131000	200	51	4	0.500000	1	60
57	4	11	1731000	200	61	4	0.550000	1	63
58	4	12	2631000	200	71	4	0.600000	1	64
59	4	13	3631000	200	81	4	0.650000	1	65
60	4	14	4831000	200	91	4	0.700000	1	66
61	5	0	0	0	0	1	0.000000	0	0
62	5	1	1000	20	1	1	0.050000	1	51
63	5	2	3500	20	1	1	0.100000	1	52
64	5	3	13500	50	21	1	0.150000	1	53
65	5	4	38500	50	21	1	0.200000	1	54
66	5	5	91000	100	31	1	0.250000	1	55
67	5	6	181000	100	31	1	0.300000	1	56
68	5	7	321000	150	41	1	0.350000	1	57
69	5	8	481000	150	41	1	0.400000	1	58
70	5	9	681000	200	51	1	0.450000	1	59
71	5	10	1131000	200	51	1	0.500000	1	60
72	5	11	1731000	200	61	1	0.550000	1	63
73	5	12	2631000	200	71	1	0.600000	1	64
74	5	13	3631000	200	81	1	0.650000	1	65
75	5	14	4831000	200	91	1	0.700000	1	66
76	6	0	0	0	0	4	0.000000	0	0
77	6	1	1000	20	1	4	0.050000	1	51
78	6	2	3500	20	1	4	0.100000	1	52
79	6	3	13500	50	21	4	0.150000	1	53
80	6	4	38500	50	21	4	0.200000	1	54
81	6	5	91000	100	31	4	0.250000	1	55
82	6	6	181000	100	31	4	0.300000	1	56
83	6	7	321000	150	41	4	0.350000	1	57
84	6	8	481000	150	41	4	0.400000	1	58
85	6	9	681000	200	51	4	0.450000	1	59
86	6	10	1131000	200	51	4	0.500000	1	60
87	6	11	1731000	200	61	4	0.550000	1	63
88	6	12	2631000	200	71	4	0.600000	1	64
89	6	13	3631000	200	81	4	0.650000	1	65
90	6	14	4831000	200	91	4	0.700000	1	66
91	7	0	0	0	0	4	0.000000	0	0
92	7	1	1000	20	1	4	0.050000	1	51
93	7	2	3500	20	1	4	0.100000	1	52
94	7	3	13500	50	21	4	0.150000	1	53
95	7	4	38500	50	21	4	0.200000	1	54
96	7	5	91000	100	31	4	0.250000	1	55
97	7	6	181000	100	31	4	0.300000	1	56
98	7	7	321000	150	41	4	0.350000	1	57
99	7	8	481000	150	41	4	0.400000	1	58
100	7	9	681000	200	51	4	0.450000	1	59
101	7	10	1131000	200	51	4	0.500000	1	60
102	7	11	1731000	200	61	4	0.550000	1	63
103	7	12	2631000	200	71	4	0.600000	1	64
104	7	13	3631000	200	81	4	0.650000	1	65
105	7	14	4831000	200	91	4	0.700000	1	66
106	8	0	0	0	0	1	0.000000	0	0
107	8	1	1000	20	1	1	0.050000	1	51
108	8	2	3500	20	1	1	0.100000	1	52
109	8	3	13500	50	21	1	0.150000	1	53
110	8	4	38500	50	21	1	0.200000	1	54
111	8	5	91000	100	31	1	0.250000	1	55
112	8	6	181000	100	31	1	0.300000	1	56
113	8	7	321000	150	41	1	0.350000	1	57
114	8	8	481000	150	41	1	0.400000	1	58
115	8	9	681000	200	51	1	0.450000	1	59
116	8	10	1131000	200	51	1	0.500000	1	60
117	8	11	1731000	200	61	1	0.550000	1	63
118	8	12	2631000	200	71	1	0.600000	1	64
119	8	13	3631000	200	81	1	0.650000	1	65
120	8	14	4831000	200	91	1	0.700000	1	66
121	9	0	0	0	0	3	0.000000	0	0
122	9	1	1000	20	1	3	0.050000	1	51
123	9	2	3500	20	1	3	0.100000	1	52
124	9	3	13500	50	21	3	0.150000	1	53
125	9	4	38500	50	21	3	0.200000	1	54
126	9	5	91000	100	31	3	0.250000	1	55
127	9	6	181000	100	31	3	0.300000	1	56
128	9	7	321000	150	41	3	0.350000	1	57
129	9	8	481000	150	41	3	0.400000	1	58
130	9	9	681000	200	51	3	0.450000	1	59
131	9	10	1131000	200	51	3	0.500000	1	60
132	9	11	1731000	200	61	3	0.550000	1	63
133	9	12	2631000	200	71	3	0.600000	1	64
134	9	13	3631000	200	81	3	0.650000	1	65
135	9	14	4831000	200	91	3	0.700000	1	66
136	10	0	0	0	0	3	0.000000	0	0
137	10	1	1000	20	1	3	0.050000	1	51
138	10	2	3500	20	1	3	0.100000	1	52
139	10	3	13500	50	21	3	0.150000	1	53
140	10	4	38500	50	21	3	0.200000	1	54
141	10	5	91000	100	31	3	0.250000	1	55
142	10	6	181000	100	31	3	0.300000	1	56
143	10	7	321000	150	41	3	0.350000	1	57
144	10	8	481000	150	41	3	0.400000	1	58
145	10	9	681000	200	51	3	0.450000	1	59
146	10	10	1131000	200	51	3	0.500000	1	60
147	10	11	1731000	200	61	3	0.550000	1	63
148	10	12	2631000	200	71	3	0.600000	1	64
149	10	13	3631000	200	81	3	0.650000	1	65
150	10	14	4831000	200	91	3	0.700000	1	66
