连携ID	连携名字语言包	需求遗物	解锁连线游戏ID
int	string	string	int
CompanyId	CompanyName	RelicId	LinkGameID
201	CompanyName201	2001,2002	401
202	CompanyName202	2003,2004	402
203	CompanyName203	2005,2006	403
204	CompanyName204	2007,2008,2009	404
205	CompanyName205	2010,2011,2012	405
301	CompanyName301	3001,3002	406
302	CompanyName302	3003,3004	407
303	CompanyName303	3005,3006	408
304	CompanyName304	3007,3008,3009	409
305	CompanyName305	3010,3011,3012	410
306	CompanyName306	3013,3014,3015	411
307	CompanyName307	3016,3017	412
401	CompanyName401	4001,4002,4003	413
402	CompanyName402	4004,4005,4006	414
403	CompanyName403	4007,4008,4009	415
404	CompanyName404	4010,4011,4012	416
405	CompanyName405	4013,4014,4015,4016	417
406	CompanyName406	4017,4018,4019,4020	418
501	CompanyName501	5001,5002,5003	419
502	CompanyName502	5004,5005,5006	420
503	CompanyName503	5007,5008,5009	421
901	CompanyName901	4020,3017,2001	422
902	CompanyName902	4019,3016,2002	423
903	CompanyName903	4018,3015,2003	424
904	CompanyName904	4017,3014,2004	425
905	CompanyName905	4016,3013,2005	426
906	CompanyName906	4015,3012,2006	427
907	CompanyName907	4014,3011,2007	428
908	CompanyName908	4013,3010,2008	429
909	CompanyName909	4012,3009,2009	430
910	CompanyName910	4011,3008,2010	431
911	CompanyName911	4010,3007,2011	432
912	CompanyName912	4009,3006,2012	433
913	CompanyName913	4008,3005,5001	434
914	CompanyName914	4007,3004,5002	435
915	CompanyName915	4006,3003,5003	436
916	CompanyName916	4005,3002,5004	437
917	CompanyName917	4004,3001,5005	438
918	CompanyName918	4003,5006	439
919	CompanyName919	4002,5007	440
920	CompanyName920	4001,5008,5009	441
921	CompanyName921	4001,4002,5010	442
922	CompanyName922	4003,4004,5011	443
923	CompanyName923	4005,4006,5012	444
924	CompanyName924	5010,5011,5012	445
925	CompanyName925	5013,5014	446
926	CompanyName926	5015,5016,5017	447
927	CompanyName927	5018,5019	448
928	CompanyName928	5020,5021,5022	449
929	CompanyName929	5023,5024,5025	450
930	CompanyName930	5026,5027,5028	451
931	CompanyName931	5029,5030,5031	452
932	CompanyName932	5032,5033,5034	453
933	CompanyName933	5035,5036,5037	454
934	CompanyName934	5038,5039,5040	455
