遗物碎片ID	对应遗物ID	对应碎片道具ID	熔炼产物	是否需要满级才可用于其他遗物升级
int	int	string	string	bool
RelicFragmentId	RelicId	ItemId	MeltingItem	IsFullToOther
9002001	2001	item174000002001	item171002020001,1	1
9002002	2002	item174000002002	item171002020001,1	1
9002003	2003	item174000002003	item171002020001,1	1
9002004	2004	item174000002004	item171002020001,1	1
9002005	2005	item174000002005	item171002020001,1	1
9002006	2006	item174000002006	item171002020001,1	1
9002007	2007	item174000002007	item171002020001,1	1
9002008	2008	item174000002008	item171002020001,1	1
9002009	2009	item174000002009	item171002020001,1	1
9002010	2010	item174000002010	item171002020001,1	1
9002011	2011	item174000002011	item171002020001,1	1
9002012	2012	item174000002012	item171002020001,1	1
9003001	3001	item174000003001	item171002020001,2	1
9003002	3002	item174000003002	item171002020001,2	2
9003003	3003	item174000003003	item171002020001,2	2
9003004	3004	item174000003004	item171002020001,2	2
9003005	3005	item174000003005	item171002020001,2	2
9003006	3006	item174000003006	item171002020001,2	2
9003007	3007	item174000003007	item171002020001,2	2
9003008	3008	item174000003008	item171002020001,2	2
9003009	3009	item174000003009	item171002020001,2	2
9003010	3010	item174000003010	item171002020001,2	2
9003011	3011	item174000003011	item171002020001,2	2
9003012	3012	item174000003012	item171002020001,2	2
9003013	3013	item174000003013	item171002020001,2	2
9003014	3014	item174000003014	item171002020001,2	2
9003015	3015	item174000003015	item171002020001,2	2
9003016	3016	item174000003016	item171002020001,2	2
9003017	3017	item174000003017	item171002020001,2	2
9004001	4001	item174000004001	item171002020001,16	16
9004002	4002	item174000004002	item171002020001,16	16
9004003	4003	item174000004003	item171002020001,16	16
9004004	4004	item174000004004	item171002020001,16	16
9004005	4005	item174000004005	item171002020001,16	16
9004006	4006	item174000004006	item171002020001,16	16
9004007	4007	item174000004007	item171002020001,16	16
9004008	4008	item174000004008	item171002020001,16	16
9004009	4009	item174000004009	item171002020001,16	16
9004010	4010	item174000004010	item171002020001,16	16
9004011	4011	item174000004011	item171002020001,16	16
9004012	4012	item174000004012	item171002020001,16	16
9004013	4013	item174000004013	item171002020001,16	16
9004014	4014	item174000004014	item171002020001,16	16
9004015	4015	item174000004015	item171002020001,16	16
9004016	4016	item174000004016	item171002020001,16	16
9004017	4017	item174000004017	item171002020001,16	16
9004018	4018	item174000004018	item171002020001,16	16
9004019	4019	item174000004019	item171002020001,16	16
9004020	4020	item174000004020	item171002020001,16	16
9005001	5001	item174000005001	item171002020001,200	200
9005002	5002	item174000005002	item171002020001,200	200
9005003	5003	item174000005003	item171002020001,200	200
9005004	5004	item174000005004	item171002020001,200	200
9005005	5005	item174000005005	item171002020001,200	200
9005006	5006	item174000005006	item171002020001,200	200
9005007	5007	item174000005007	item171002020001,200	200
9005008	5008	item174000005008	item171002020001,200	200
9005009	5009	item174000005009	item171002020001,200	200
9005010	5010	item174000005010	item171002020001,200	200
9005011	5011	item174000005011	item171002020001,200	200
9005012	5012	item174000005012	item171002020001,200	200
9005013	5013	item174000005013	item171002020001,200	200
9005014	5014	item174000005014	item171002020001,200	200
9005015	5015	item174000005015	item171002020001,200	200
9005016	5016	item174000005016	item171002020001,200	200
9005017	5017	item174000005017	item171002020001,200	200
9005018	5018	item174000005018	item171002020001,200	200
9005019	5019	item174000005019	item171002020001,200	200
9005020	5020	item174000005020	item171002020001,200	200
9005021	5021	item174000005021	item171002020001,200	200
9005022	5022	item174000005022	item171002020001,200	200
9005023	5023	item174000005023	item171002020001,200	200
9005024	5024	item174000005024	item171002020001,200	200
9005025	5025	item174000005025	item171002020001,200	200
9005026	5026	item174000005026	item171002020001,200	200
9005027	5027	item174000005027	item171002020001,200	200
9005028	5028	item174000005028	item171002020001,200	200
9005029	5029	item174000005029	item171002020001,200	200
9005030	5030	item174000005030	item171002020001,200	200
9005031	5031	item174000005031	item171002020001,200	200
1001	0	item174000000001		1
1002	0	item174000000002		2
1003	0	item174000000003		16
1004	0	item174000000004		200
9005032	5032	item174000005032	item171002020001,200	200
9005033	5033	item174000005033	item171002020001,200	200
9005034	5034	item174000005034	item171002020001,200	200
9005035	5035	item174000005035	item171002020001,200	200
9005036	5036	item174000005036	item171002020001,200	200
9005037	5037	item174000005037	item171002020001,200	200
9005038	5038	item174000005038	item171002020001,200	200
9005039	5039	item174000005039	item171002020001,200	200
9005040	5040	item174000005040	item171002020001,200	200
