奖池ID	奖池名语言包	时间类型	时间参数	单抽抽奖道具	十连抽奖道具	是否有免费抽奖	免费倒计时	标签图命	大图名	绿色展示id	蓝色展示id	紫色展示id	金色展示id	橙色展示id	红色展示id	绿色显示概率	蓝色显示概率	紫色显示概率	金色显示概率	橙色显示概率	红色显示概率	奖池描述	弹窗内提示
int	string	int	string	string	string	int	int	string	string	string	string	string	string	string	string	int	int	int	int	int	int	string	string
PollId	PollName	TimeType	TimeParameter	OnceItem	TenthItem	IsFree	FreeTime	LabPic	BigPic	GreenShow	BlueShow	PurpleShow	GoldenShow	OrangeShow	RedShow	GreenProbability	BlueProbability	PurpleProbability	GoldenProbability	OrangeProbability	RedProbability	LotteryDes	LotteryTips
101	RelicLotteryName101	0		item171002010002,1	item171002010002,10	0	0		relices_bg_jinlu	0;0	2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012;0	3001,3002,3003,3004,3005,3006,3007,3008,3009,3010,3012,3013;0	4001,4002,4003,4004,4005,4006,4007,4008,4010,4011,4012,4013,4014,4015,4017;0	5001,5002,5003,5004,5005,5006;0	0;0	0	4000	5700	250	50	0	UI_SaintRelicLottery1	UI_SaintRelicLotteryProbabilityPanel_Tips1
201	RelicLotteryName201	0		item171002010001,1	item171002010001,10	0	0		relices_bg_yinbai	0;item171002000001	2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012;item171002000002	3001,3002,3003,3004,3005,3006,3007,3008,3009,3010,3012,3013;item171002000003	4001,4002,4003,4004,4005,4006,4007,4008,4010,4011,4012,4013,4014,4015,4017;0	0;0	0;0	3000	6650	300	50	0	0	UI_SaintRelicLottery2	UI_SaintRelicLotteryProbabilityPanel_Tips2
301	RelicLotteryName301	1	2021,05,24;2021,05,30	item171002010002,1	item171002010002,10	0	0		relices_bg_xianshi	0;0	2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012;0	3001,3002,3003,3004,3005,3006,3007,3008,3009,3010,3012,3013;0	4001,4002,4003,4004,4005,4006,4007,4008,4010,4011,4012,4013,4014,4015,4016,4017;0	5007,5009,5001,5002,5003,5004,5005,5006;0	0;0	0	4000	5700	250	50	0	UI_SaintRelicLottery1	UI_SaintRelicLotteryProbabilityPanel_Tips1
302	RelicLotteryName301	1	2021,06,24;2021,06,30	item171002010002,1	item171002010002,10	0	0		relices_bg_xianshi	0;0	2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012;0	3001,3002,3003,3004,3005,3006,3007,3008,3009,3010,3012,3013;0	4001,4002,4003,4004,4005,4006,4007,4008,4010,4011,4012,4013,4014,4015,4016,4017;0	5007,5009,5001,5002,5003,5004,5005,5006;0	0;0	0	4000	5700	250	50	0	UI_SaintRelicLottery1	UI_SaintRelicLotteryProbabilityPanel_Tips1
303	RelicLotteryName301	1	2021,09,10;2021,09,15	item171002010002,1	item171002010002,10	0	0		relices_bg_xianshi	0;0	2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012;0	3001,3002,3003,3004,3005,3006,3007,3008,3009,3010,3012,3013;0	4001,4002,4003,4004,4005,4006,4007,4008,4010,4011,4012,4013,4014,4015,4016,4017;0	5007,5009,5001,5002,5003,5004,5005,5006;0	0;0	0	4000	5700	250	50	0	UI_SaintRelicLottery1	UI_SaintRelicLotteryProbabilityPanel_Tips1
304	RelicLotteryName301	1	2021,11,26;2021,12,02	item171002010002,1	item171002010002,10	0	0		relices_bg_diaogan	0;0	2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012;0	3001,3002,3003,3004,3005,3006,3007,3008,3009,3010,3012,3013;0	4001,4002,4003,4004,4005,4006,4007,4008,4010,4011,4012,4013,4014,4015,4016,4017;0	5010,5011,5001,5002,5003,5004,5005,5012;0	0;0	0	4000	5700	250	50	0	UI_SaintRelicLottery1	UI_SaintRelicLotteryProbabilityPanel_Tips1
305	RelicLotteryName301	1	2022,02,17;2022,02,22	item171002010002,1	item171002010002,10	0	0		relices_bg_xianshi	0;0	2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012;0	3001,3002,3003,3004,3005,3006,3007,3008,3009,3010,3012,3013;0	4001,4002,4003,4004,4005,4006,4007,4008,4010,4011,4012,4013,4014,4015,4016,4017;0	5007,5009,5001,5002,5003,5004,5005,5006;0	0;0	0	4000	5700	250	50	0	UI_SaintRelicLottery1	UI_SaintRelicLotteryProbabilityPanel_Tips1
306	RelicLotteryName301	1	2022,03,14;2022,03,20	item171002010002,1	item171002010002,10	0	0		relices_bg_xianshi	0;0	2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012;0	3001,3002,3003,3004,3005,3006,3007,3008,3009,3010,3012,3013;0	4001,4002,4003,4004,4005,4006,4007,4008,4010,4011,4012,4013,4014,4015,4016,4017;0	5007,5009,5001,5002,5003,5004,5005,5006;0	0;0	0	4000	5700	250	50	0	UI_SaintRelicLottery1	UI_SaintRelicLotteryProbabilityPanel_Tips1
