ID	属性类型	属性ID	值类型	值基数	附加属性ID	附加属性值类型	附加属性值基数	显示方式	显示位置
int	int	int	int	int	int	int	int	int	int
Id	PropKind	PropId	PropValueType	PropBaseValue	AttachPropId	AttachPropValueType	AttachPropBaseValue	ShowType	ShowPos
1	1	21	1	1	30	1	10000	4	1
2	1	23	1	1	32	1	10000	4	1
3	1	25	1	1	34	1	10000	4	1
4	1	22	1	1	31	1	10000	4	1
5	1	24	1	1	33	1	10000	4	1
6	1	26	1	1	35	1	10000	4	1
7	1	51	1	10000	0	0	0	2	1
8	1	52	1	10000	0	0	0	2	1
9	2	3	1	1	0	0	0	1	2
10	2	12	1	10000	0	0	0	2	2
11	2	16	1	10000	0	0	0	2	2
12	2	21	1	1	0	0	0	1	2
13	2	30	1	10000	0	0	0	2	2
14	2	23	1	1	0	0	0	1	2
15	2	32	1	10000	0	0	0	2	2
16	2	25	1	1	0	0	0	1	2
17	2	34	1	10000	0	0	0	2	2
18	3	1	1	1	0	0	0	1	2
19	3	11	1	10000	0	0	0	2	2
20	3	15	1	10000	0	0	0	2	2
21	3	4	1	1	0	0	0	1	2
22	3	13	1	10000	0	0	0	2	2
23	3	17	1	10000	0	0	0	2	2
24	3	22	1	1	0	0	0	1	2
25	3	31	1	10000	0	0	0	2	2
26	3	24	1	1	0	0	0	1	2
27	3	33	1	10000	0	0	0	2	2
28	3	26	1	1	0	0	0	1	2
29	3	35	1	10000	0	0	0	2	2
30	3	37	1	1	0	0	0	1	2
31	3	38	1	10000	0	0	0	2	2
32	3	39	1	10000	0	0	0	2	2
33	11	301	1	1	0	0	0	1	2
34	11	302	1	1	0	0	0	1	2
35	11	303	1	10000	0	0	0	2	2
36	11	312	1	10000	0	0	0	2	2
37	11	313	1	10000	0	0	0	2	2
38	11	314	1	10000	0	0	0	2	2
39	11	315	1	10000	0	0	0	2	2
40	11	331	1	1	0	0	0	1	2
41	11	332	1	10000	0	0	0	2	2
42	4	29	1	10000	0	0	0	2	2
43	4	27	2	1	0	0	0	1	2
44	4	28	1	10000	0	0	0	2	2
45	4	48	1	10000	0	0	0	2	2
46	4	36	1	10000	0	0	0	2	2
47	4	184	1	10000	0	0	0	2	2
48	4	206	1	10000	0	0	0	2	2
49	4	185	1	10000	0	0	0	2	2
50	4	51	1	10000	0	0	0	2	2
51	4	52	1	10000	0	0	0	2	2
52	4	173	1	10000	0	0	0	2	2
53	4	174	1	10000	0	0	0	2	2
54	4	175	1	10000	0	0	0	2	2
55	4	5	1	1	0	0	0	3	2
56	4	6	1	1	0	0	0	3	2
57	5	66	1	10000	0	0	0	2	2
58	5	67	1	10000	0	0	0	2	2
59	5	75	1	10000	0	0	0	2	2
60	5	79	1	10000	0	0	0	2	2
61	5	83	1	10000	0	0	0	2	2
62	5	85	1	10000	0	0	0	2	2
63	5	86	1	10000	0	0	0	2	2
64	5	158	1	10000	0	0	0	2	2
65	5	160	1	10000	0	0	0	2	2
66	5	161	1	10000	0	0	0	2	2
67	5	149	1	10000	0	0	0	2	2
68	5	153	1	10000	0	0	0	2	2
69	5	131	1	10000	0	0	0	2	2
70	5	186	1	10000	0	0	0	2	2
71	5	53	1	1	0	0	0	1	2
72	5	55	1	1	0	0	0	1	2
73	5	57	1	1	0	0	0	1	2
74	5	59	1	1	0	0	0	1	2
75	5	61	1	1	0	0	0	1	2
76	5	63	1	1	0	0	0	1	2
77	6	69	1	10000	0	0	0	2	2
78	6	70	1	10000	0	0	0	2	2
79	6	76	1	10000	0	0	0	2	2
80	6	80	1	10000	0	0	0	2	2
81	6	84	1	10000	0	0	0	2	2
82	6	150	1	10000	0	0	0	2	2
83	6	154	1	10000	0	0	0	2	2
84	6	132	1	10000	0	0	0	2	2
85	6	187	1	10000	0	0	0	2	2
86	6	54	1	1	0	0	0	1	2
87	6	56	1	1	0	0	0	1	2
88	6	58	1	1	0	0	0	1	2
89	6	60	1	1	0	0	0	1	2
90	6	62	1	1	0	0	0	1	2
91	6	64	1	1	0	0	0	1	2
92	9	10000	1	1	0	0	0	1	2
93	9	10001	1	1	0	0	0	1	2
94	9	10002	1	1	0	0	0	1	2
95	9	10003	1	1	0	0	0	1	2
96	9	10004	1	1	0	0	0	1	2
97	9	10005	1	1	0	0	0	1	2
98	10	40	1	1	0	0	0	1	2
99	10	41	1	1	0	0	0	1	2
100	10	42	1	1	0	0	0	1	2
101	10	46	1	1	0	0	0	1	2
102	7	109	1	10000	0	0	0	2	2
103	7	112	1	10000	0	0	0	2	2
104	7	155	1	10000	0	0	0	2	2
105	7	156	1	10000	0	0	0	2	2
106	8	265	1	1	0	0	0	1	2
107	8	266	1	1	0	0	0	1	2
108	8	264	1	1	0	0	0	1	2
