符文id	符文道具id	符文道具id	符文类别	符文品阶	符文等阶	符文属性	升阶后符文Id	升阶消耗	符文星座	分解返还天赋经验	分解获得道具	道具消耗	货币消耗	第一条属性洗练库	第二条属性洗练库	第三条属性洗练库	符文底框
int	string	string	int	int	int	string	int	string	int	int	string	string	string	int	int	int	string
RuneId	UnBindItemId	UnidentifiedItemId	Type	Quality	Grade	Attribute	HigherRuneId	UpgradeCost	ConstellationType	Resolve	ResolveItem	CostItem	CurrencyCost	FirstDropBox	SecondDropBox	ThirdDropBox	RuneIconBase
110101	item160000110101	item162000110101	1	1	1	3,10;21,25	110102	1,10000	1	500		item160000000001,1	1,50000	11001	0	0	rune_atk2
110102	item160000110102	item162000110102	1	2	2	3,20;21,50	110103	1,15000	1	1000		item160000000001,1	1,50000	11002	0	0	rune_atk3
110103	item160000110103	item162000110103	1	2	3	3,30;21,75	110104	1,20000	1	2000		item160000000001,1	1,50000	11003	11003	0	rune_atk3
110104	item160000110104	item162000110104	1	3	4	3,40;21,100	110105	1,25000	1	4000		item160000000001,1	1,50000	11003	11003	13004	rune_atk4
110105	item160000110105	item162000110105	1	3	5	3,50;21,125	110106	1,30000	1	8000		item160000000001,1	1,50000	11003	11003	13004	rune_atk4
110106	item160000110106	item162000110106	1	3	6	3,60;21,150	110107	1,35000	1	16000		item160000000001,1	1,300000	911006	912006	913006	rune_atk4
110107	item160000110107	item162000110107	1	4	7	3,70;21,175	110108	1,40000	1	32000		item160000000001,1	1,400000	911006	912006	913006	rune_atk5
110108	item160000110108	item162000110108	1	4	8	3,80;21,200	110109	1,45000	1	64000		item160000000001,1	1,500000	911006	912006	913006	rune_atk5
110109	item160000110109	item162000110109	1	4	9	3,90;21,225	110110	1,50000	1	128000		item160000000001,1	1,600000	911006	912006	913006	rune_atk5
110110	item160000110110	item162000110110	1	4	10	3,100;21,250	0	1,55000	1	256000		item160000000001,1	1,700000	911006	912006	913006	rune_atk5
110201	item160000110201	item162000110201	1	1	1	3,10;24,25	110202	1,10000	2	500		item160000000001,1	1,50000	11001	0	0	rune_atk2
110202	item160000110202	item162000110202	1	2	2	3,20;24,50	110203	1,15000	2	1000		item160000000001,1	1,50000	11002	0	0	rune_atk3
110203	item160000110203	item162000110203	1	2	3	3,30;24,75	110204	1,20000	2	2000		item160000000001,1	1,50000	11003	11003	0	rune_atk3
110204	item160000110204	item162000110204	1	3	4	3,40;24,100	110205	1,25000	2	4000		item160000000001,1	1,50000	11003	11003	13004	rune_atk4
110205	item160000110205	item162000110205	1	3	5	3,50;24,125	110206	1,30000	2	8000		item160000000001,1	1,50000	11003	11003	13004	rune_atk4
110206	item160000110206	item162000110206	1	3	6	3,60;24,150	110207	1,35000	2	16000		item160000000001,1	1,300000	911006	912006	913006	rune_atk4
110207	item160000110207	item162000110207	1	4	7	3,70;24,175	110208	1,40000	2	32000		item160000000001,1	1,400000	911006	912006	913006	rune_atk5
110208	item160000110208	item162000110208	1	4	8	3,80;24,200	110209	1,45000	2	64000		item160000000001,1	1,500000	911006	912006	913006	rune_atk5
110209	item160000110209	item162000110209	1	4	9	3,90;24,225	110210	1,50000	2	128000		item160000000001,1	1,600000	911006	912006	913006	rune_atk5
110210	item160000110210	item162000110210	1	4	10	3,100;24,250	0	1,55000	2	256000		item160000000001,1	1,700000	911006	912006	913006	rune_atk5
120101	item160000120101	item162000120101	1	1	1	12,100;51,100	120102	1,10000	7	500	item160000000001,20	item160000000001,1	1,50000	11001	0	0	rune_atk2
120102	item160000120102	item162000120102	1	2	2	12,120;51,120	120103	1,15000	7	1000	item160000000001,20	item160000000001,1	1,50000	11002	0	0	rune_atk3
120103	item160000120103	item162000120103	1	2	3	12,140;51,140	120104	1,20000	7	2000	item160000000001,20	item160000000001,1	1,50000	11003	11003	0	rune_atk3
120104	item160000120104	item162000120104	1	3	4	12,160;51,160	120105	1,25000	7	4000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_atk4
120105	item160000120105	item162000120105	1	3	5	12,180;51,180	120106	1,30000	7	8000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_atk4
120106	item160000120106	item162000120106	1	3	6	12,200;51,200	120107	1,35000	7	16000	item160000000001,20	item160000000001,1	1,300000	911006	912006	913006	rune_atk4
120107	item160000120107	item162000120107	1	4	7	12,220;51,220	120108	1,40000	7	32000	item160000000001,20	item160000000001,1	1,400000	911006	912006	913006	rune_atk5
120108	item160000120108	item162000120108	1	4	8	12,240;51,240	120109	1,45000	7	64000	item160000000001,20	item160000000001,1	1,500000	911006	912006	913006	rune_atk5
120109	item160000120109	item162000120109	1	4	9	12,260;51,260	120110	1,50000	7	128000	item160000000001,20	item160000000001,1	1,600000	911006	912006	913006	rune_atk5
120110	item160000120110	item162000120110	1	4	10	12,280;51,280	0	1,55000	7	256000	item160000000001,20	item160000000001,1	1,700000	911006	912006	913006	rune_atk5
120201	item160000120201	item162000120201	1	1	1	28,100;30,100	120202	1,10000	8	500	item160000000001,200	item160000000001,1	1,50000	11001	0	0	rune_atk2
120202	item160000120202	item162000120202	1	2	2	28,120;30,120	120203	1,15000	8	1000	item160000000001,200	item160000000001,1	1,50000	11002	0	0	rune_atk3
120203	item160000120203	item162000120203	1	2	3	28,140;30,140	120204	1,20000	8	2000	item160000000001,200	item160000000001,1	1,50000	11003	11003	0	rune_atk3
120204	item160000120204	item162000120204	1	3	4	28,160;30,160	120205	1,25000	8	4000	item160000000001,200	item160000000001,1	1,50000	11003	11003	13004	rune_atk4
120205	item160000120205	item162000120205	1	3	5	28,180;30,180	120206	1,30000	8	8000	item160000000001,200	item160000000001,1	1,50000	11003	11003	13004	rune_atk4
120206	item160000120206	item162000120206	1	3	6	28,200;30,200	120207	1,35000	8	16000	item160000000001,200	item160000000001,1	1,300000	911006	912006	913006	rune_atk4
120207	item160000120207	item162000120207	1	4	7	28,220;30,220	120208	1,40000	8	32000	item160000000001,200	item160000000001,1	1,400000	911006	912006	913006	rune_atk5
120208	item160000120208	item162000120208	1	4	8	28,240;30,240	120209	1,45000	8	64000	item160000000001,200	item160000000001,1	1,500000	911006	912006	913006	rune_atk5
120209	item160000120209	item162000120209	1	4	9	28,260;30,260	120210	1,50000	8	128000	item160000000001,200	item160000000001,1	1,600000	911006	912006	913006	rune_atk5
120210	item160000120210	item162000120210	1	4	10	28,280;30,280	0	1,55000	8	256000	item160000000001,200	item160000000001,1	1,700000	911006	912006	913006	rune_atk5
120301	item160000120301	item162000120301	1	1	1	3,60;30,100	120302	1,10000	14	500	item160000000001,20	item160000000001,1	1,50000	11001	0	0	rune_atk2
120302	item160000120302	item162000120302	1	2	2	3,72;30,120	120303	1,15000	14	1000	item160000000001,20	item160000000001,1	1,50000	11002	0	0	rune_atk3
120303	item160000120303	item162000120303	1	2	3	3,84;30,140	120304	1,20000	14	2000	item160000000001,20	item160000000001,1	1,50000	11003	11003	0	rune_atk3
120304	item160000120304	item162000120304	1	3	4	3,96;30,160	120305	1,25000	14	4000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_atk4
120305	item160000120305	item162000120305	1	3	5	3,108;30,180	120306	1,30000	14	8000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_atk4
120306	item160000120306	item162000120306	1	3	6	3,120;30,200	120307	1,35000	14	16000	item160000000001,20	item160000000001,1	1,300000	911006	912006	913006	rune_atk4
120307	item160000120307	item162000120307	1	4	7	3,132;30,220	120308	1,40000	14	32000	item160000000001,20	item160000000001,1	1,400000	911006	912006	913006	rune_atk5
120308	item160000120308	item162000120308	1	4	8	3,144;30,240	120309	1,45000	14	64000	item160000000001,20	item160000000001,1	1,500000	911006	912006	913006	rune_atk5
120309	item160000120309	item162000120309	1	4	9	3,156;30,260	120310	1,50000	14	128000	item160000000001,20	item160000000001,1	1,600000	911006	912006	913006	rune_atk5
120310	item160000120310	item162000120310	1	4	10	3,168;30,280	0	1,55000	14	256000	item160000000001,20	item160000000001,1	1,700000	911006	912006	913006	rune_atk5
120401	item160000120401	item162000120401	1	1	1	3,60;33,100	120402	1,10000	15	500	item160000000001,20	item160000000001,1	1,50000	11001	0	0	rune_atk2
120402	item160000120402	item162000120402	1	2	2	3,72;33,120	120403	1,15000	15	1000	item160000000001,20	item160000000001,1	1,50000	11002	0	0	rune_atk3
120403	item160000120403	item162000120403	1	2	3	3,84;33,140	120404	1,20000	15	2000	item160000000001,20	item160000000001,1	1,50000	11003	11003	0	rune_atk3
120404	item160000120404	item162000120404	1	3	4	3,96;33,160	120405	1,25000	15	4000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_atk4
120405	item160000120405	item162000120405	1	3	5	3,108;33,180	120406	1,30000	15	8000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_atk4
120406	item160000120406	item162000120406	1	3	6	3,120;33,200	120407	1,35000	15	16000	item160000000001,20	item160000000001,1	1,300000	911006	912006	913006	rune_atk4
120407	item160000120407	item162000120407	1	4	7	3,132;33,220	120408	1,40000	15	32000	item160000000001,20	item160000000001,1	1,400000	911006	912006	913006	rune_atk5
120408	item160000120408	item162000120408	1	4	8	3,144;33,240	120409	1,45000	15	64000	item160000000001,20	item160000000001,1	1,500000	911006	912006	913006	rune_atk5
120409	item160000120409	item162000120409	1	4	9	3,156;33,260	120410	1,50000	15	128000	item160000000001,20	item160000000001,1	1,600000	911006	912006	913006	rune_atk5
120410	item160000120410	item162000120410	1	4	10	3,168;33,280	0	1,55000	15	256000	item160000000001,20	item160000000001,1	1,700000	911006	912006	913006	rune_atk5
120501	item160000120501	item162000120501	1	1	1	12,100;174,200	120502	1,10000	21	500	item160000000001,20	item160000000001,1	1,50000	11001	0	0	rune_atksp2
120502	item160000120502	item162000120502	1	2	2	12,120;174,235	120503	1,15000	21	1000	item160000000001,20	item160000000001,1	1,50000	11002	0	0	rune_atksp3
120503	item160000120503	item162000120503	1	2	3	12,140;174,270	120504	1,20000	21	2000	item160000000001,20	item160000000001,1	1,50000	11003	11003	0	rune_atksp3
120504	item160000120504	item162000120504	1	3	4	12,160;174,305	120505	1,25000	21	4000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_atksp4
120505	item160000120505	item162000120505	1	3	5	12,180;174,340	120506	1,30000	21	8000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_atksp4
120506	item160000120506	item162000120506	1	3	6	12,200;174,375	120507	1,35000	21	16000	item160000000001,20	item160000000001,1	1,300000	911006	912006	913006	rune_atksp4
120507	item160000120507	item162000120507	1	4	7	12,220;174,410	120508	1,40000	21	32000	item160000000001,20	item160000000001,1	1,400000	911006	912006	913006	rune_atksp5
120508	item160000120508	item162000120508	1	4	8	12,240;174,445	120509	1,45000	21	64000	item160000000001,20	item160000000001,1	1,500000	911006	912006	913006	rune_atksp5
120509	item160000120509	item162000120509	1	4	9	12,260;174,480	120510	1,50000	21	128000	item160000000001,20	item160000000001,1	1,600000	911006	912006	913006	rune_atksp5
120510	item160000120510	item162000120510	1	4	10	12,280;174,515	0	1,55000	21	256000	item160000000001,20	item160000000001,1	1,700000	911006	912006	913006	rune_atksp5
130101	item160000130101	item162000130101	1	1	1	32,100;51,100	130102	1,10000	13	500	item160000000001,20	item160000000001,1	1,50000	11001	0	0	rune_atk2
130102	item160000130102	item162000130102	1	2	2	32,120;51,120	130103	1,15000	13	1000	item160000000001,20	item160000000001,1	1,50000	11002	0	0	rune_atk3
130103	item160000130103	item162000130103	1	2	3	32,140;51,140	130104	1,20000	13	2000	item160000000001,20	item160000000001,1	1,50000	11003	11003	0	rune_atk3
130104	item160000130104	item162000130104	1	3	4	32,160;51,160	130105	1,25000	13	4000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_atk4
130105	item160000130105	item162000130105	1	3	5	32,180;51,180	130106	1,30000	13	8000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_atk4
130106	item160000130106	item162000130106	1	3	6	32,200;51,200	130107	1,35000	13	16000	item160000000001,20	item160000000001,1	1,300000	911006	912006	913006	rune_atk4
130107	item160000130107	item162000130107	1	4	7	32,220;51,220	130108	1,40000	13	32000	item160000000001,20	item160000000001,1	1,400000	911006	912006	913006	rune_atk5
130108	item160000130108	item162000130108	1	4	8	32,240;51,240	130109	1,45000	13	64000	item160000000001,20	item160000000001,1	1,500000	911006	912006	913006	rune_atk5
130109	item160000130109	item162000130109	1	4	9	32,260;51,260	130110	1,50000	13	128000	item160000000001,20	item160000000001,1	1,600000	911006	912006	913006	rune_atk5
130110	item160000130110	item162000130110	1	4	10	32,280;51,280	0	1,55000	13	256000	item160000000001,20	item160000000001,1	1,700000	911006	912006	913006	rune_atk5
210101	item160000210101	item162000210101	2	1	1	4,10;23,25	210102	1,10000	3	500		item160000000001,1	1,50000	11001	0	0	rune_def2
210102	item160000210102	item162000210102	2	2	2	4,20;23,50	210103	1,15000	3	1000		item160000000001,1	1,50000	11002	0	0	rune_def3
210103	item160000210103	item162000210103	2	2	3	4,30;23,75	210104	1,20000	3	2000		item160000000001,1	1,50000	11003	11003	0	rune_def3
210104	item160000210104	item162000210104	2	3	4	4,40;23,100	210105	1,25000	3	4000		item160000000001,1	1,50000	11003	11003	13004	rune_def4
210105	item160000210105	item162000210105	2	3	5	4,50;23,125	210106	1,30000	3	8000		item160000000001,1	1,50000	11003	11003	13004	rune_def4
210106	item160000210106	item162000210106	2	3	6	4,60;23,150	210107	1,35000	3	16000		item160000000001,1	1,300000	921006	922006	923006	rune_def4
210107	item160000210107	item162000210107	2	4	7	4,70;23,175	210108	1,40000	3	32000		item160000000001,1	1,400000	921006	922006	923006	rune_def5
210108	item160000210108	item162000210108	2	4	8	4,80;23,200	210109	1,45000	3	64000		item160000000001,1	1,500000	921006	922006	923006	rune_def5
210109	item160000210109	item162000210109	2	4	9	4,90;23,225	210110	1,50000	3	128000		item160000000001,1	1,600000	921006	922006	923006	rune_def5
210110	item160000210110	item162000210110	2	4	10	4,100;23,250	0	1,55000	3	256000		item160000000001,1	1,700000	921006	922006	923006	rune_def5
210201	item160000210201	item162000210201	2	1	1	4,10;26,25	210202	1,10000	4	500		item160000000001,1	1,50000	11001	0	0	rune_def2
210202	item160000210202	item162000210202	2	2	2	4,20;26,50	210203	1,15000	4	1000		item160000000001,1	1,50000	11002	0	0	rune_def3
210203	item160000210203	item162000210203	2	2	3	4,30;26,75	210204	1,20000	4	2000		item160000000001,1	1,50000	11003	11003	0	rune_def3
210204	item160000210204	item162000210204	2	3	4	4,40;26,100	210205	1,25000	4	4000		item160000000001,1	1,50000	11003	11003	13004	rune_def4
210205	item160000210205	item162000210205	2	3	5	4,50;26,125	210206	1,30000	4	8000		item160000000001,1	1,50000	11003	11003	13004	rune_def4
210206	item160000210206	item162000210206	2	3	6	4,60;26,150	210207	1,35000	4	16000		item160000000001,1	1,300000	921006	922006	923006	rune_def4
210207	item160000210207	item162000210207	2	4	7	4,70;26,175	210208	1,40000	4	32000		item160000000001,1	1,400000	921006	922006	923006	rune_def5
210208	item160000210208	item162000210208	2	4	8	4,80;26,200	210209	1,45000	4	64000		item160000000001,1	1,500000	921006	922006	923006	rune_def5
210209	item160000210209	item162000210209	2	4	9	4,90;26,225	210210	1,50000	4	128000		item160000000001,1	1,600000	921006	922006	923006	rune_def5
210210	item160000210210	item162000210210	2	4	10	4,100;26,250	0	1,55000	4	256000		item160000000001,1	1,700000	921006	922006	923006	rune_def5
220101	item160000220101	item162000220101	2	1	1	13,100;52,100	220102	1,10000	9	500	item160000000001,20	item160000000001,1	1,50000	11001	0	0	rune_def2
220102	item160000220102	item162000220102	2	2	2	13,120;52,120	220103	1,15000	9	1000	item160000000001,20	item160000000001,1	1,50000	11002	0	0	rune_def3
220103	item160000220103	item162000220103	2	2	3	13,140;52,140	220104	1,20000	9	2000	item160000000001,20	item160000000001,1	1,50000	11003	11003	0	rune_def3
220104	item160000220104	item162000220104	2	3	4	13,160;52,160	220105	1,25000	9	4000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_def4
220105	item160000220105	item162000220105	2	3	5	13,180;52,180	220106	1,30000	9	8000	item160000000001,20	item160000000001,1	1,50000	11003	11003	13004	rune_def4
220106	item160000220106	item162000220106	2	3	6	13,200;52,200	220107	1,35000	9	16000	item160000000001,20	item160000000001,1	1,300000	921006	922006	923006	rune_def4
220107	item160000220107	item162000220107	2	4	7	13,220;52,220	220108	1,40000	9	32000	item160000000001,20	item160000000001,1	1,400000	921006	922006	923006	rune_def5
220108	item160000220108	item162000220108	2	4	8	13,240;52,240	220109	1,45000	9	64000	item160000000001,20	item160000000001,1	1,500000	921006	922006	923006	rune_def5
220109	item160000220109	item162000220109	2	4	9	13,260;52,260	220110	1,50000	9	128000	item160000000001,20	item160000000001,1	1,600000	921006	922006	923006	rune_def5
220110	item160000220110	item162000220110	2	4	10	13,280;52,280	0	1,55000	9	256000	item160000000001,20	item160000000001,1	1,700000	921006	922006	923006	rune_def5
220201	item160000220201	item162000220201	2	1	1	33,100;35,100	220202	1,10000	10	500	item160000000001,20	item160000000001,1	1,50000	11001	0	0	rune_def2
220202	item160000220202	item162000220202	2	2	2	33,120;35,120	220203	1,15000	10	1000	item160000000001,20	item160000000001,1	1,50000	11002	0	0	rune_def3
220203	item160000220203	item162000220203	2	2	3	33,140;35,140	220204	1,20000	10	2000	item160000000001,20	item160000000001,1	1,50000	11003	11003	0	rune_def3
