流水	符文等阶	属性随机类型	位置	权重
int	int	int	string	int
Id	Grade	Type	Place	Probability
1	1	1	1	100
2	2	1	1	100
3	3	1	1	90
4	3	1	1,2	10
5	4	1	1	79
6	4	1	1,2	20
7	4	1	1,2,3	1
8	5	1	1	73
9	5	1	1,2	22
10	5	1	1,2,3	2
11	6	1	1	70
12	6	1	1,2	25
13	6	1	1,2,3	5
14	7	1	1	60
15	7	1	1,2	30
16	7	1	1,2,3	10
17	8	1	1	45
18	8	1	1,2	40
19	8	1	1,2,3	15
20	9	1	1	20
21	9	1	1,2	50
22	10	1	1,2,3	30
23	2	2	1	100
24	3	2	1	45
25	3	2	2	45
26	3	2	1,2	10
27	4	2	1	2633
28	4	2	2	2633
29	4	2	3	2634
30	4	2	1,3	667
31	4	2	2,3	666
32	4	2	1,2	667
33	4	2	1,2,3	100
34	5	2	1	2433
35	5	2	2	2433
36	5	2	3	2434
37	5	2	1,3	833
38	5	2	2,3	833
39	5	2	1,2	834
40	5	2	1,2,3	200
41	6	2	1	2333
42	6	2	2	2333
43	6	2	3	2334
44	6	2	1,3	833
45	6	2	2,3	833
46	6	2	1,2	834
47	6	2	1,2,3	500
48	7	2	1	20
49	7	2	2	20
50	7	2	3	20
51	7	2	1,3	10
52	7	2	2,3	10
53	7	2	1,2	10
54	7	2	1,2,3	10
55	8	2	1	1500
56	8	2	2	1500
57	8	2	3	1500
58	8	2	1,3	1333
59	8	2	2,3	1333
60	8	2	1,2	1334
61	8	2	1,2,3	1500
62	9	2	1	667
63	9	2	2	667
64	9	2	3	666
65	9	2	1,3	1667
66	9	2	2,3	1666
67	9	2	1,2	1667
68	9	2	1,2,3	3000
69	10	2	1,2,3	100
70	6	3	1	2333
71	6	3	2	2333
72	6	3	3	2334
73	6	3	1,3	833
74	6	3	2,3	833
75	6	3	1,2	834
76	6	3	1,2,3	500
77	7	3	1	2333
78	7	3	2	2333
79	7	3	3	2334
80	7	3	1,3	833
81	7	3	2,3	833
82	7	3	1,2	834
83	7	3	1,2,3	500
84	8	3	1	2333
85	8	3	2	2333
86	8	3	3	2334
87	8	3	1,3	833
88	8	3	2,3	833
89	8	3	1,2	834
90	8	3	1,2,3	500
91	9	3	1	2333
92	9	3	2	2333
93	9	3	3	2334
94	9	3	1,3	833
95	9	3	2,3	833
96	9	3	1,2	834
97	9	3	1,2,3	500
98	10	3	1	2333
99	10	3	2	2333
100	10	3	3	2334
101	10	3	1,3	833
102	10	3	2,3	833
103	10	3	1,2	834
104	10	3	1,2,3	500
