未鉴定魂石Id	鉴定后符文id
string	int
UnidentifiedStoneId	RuneId
item162000110101	110101
item162000110102	110102
item162000110103	110103
item162000110104	110104
item162000110105	110105
item162000110106	110106
item162000110107	110107
item162000110108	110108
item162000110109	110109
item162000110110	110110
item162000110201	110201
item162000110202	110202
item162000110203	110203
item162000110204	110204
item162000110205	110205
item162000110206	110206
item162000110207	110207
item162000110208	110208
item162000110209	110209
item162000110210	110210
item162000120101	120101
item162000120102	120102
item162000120103	120103
item162000120104	120104
item162000120105	120105
item162000120106	120106
item162000120107	120107
item162000120108	120108
item162000120109	120109
item162000120110	120110
item162000120201	120201
item162000120202	120202
item162000120203	120203
item162000120204	120204
item162000120205	120205
item162000120206	120206
item162000120207	120207
item162000120208	120208
item162000120209	120209
item162000120210	120210
item162000120301	120301
item162000120302	120302
item162000120303	120303
item162000120304	120304
item162000120305	120305
item162000120306	120306
item162000120307	120307
item162000120308	120308
item162000120309	120309
item162000120310	120310
item162000120401	120401
item162000120402	120402
item162000120403	120403
item162000120404	120404
item162000120405	120405
item162000120406	120406
item162000120407	120407
item162000120408	120408
item162000120409	120409
item162000120410	120410
item162000120501	120501
item162000120502	120502
item162000120503	120503
item162000120504	120504
item162000120505	120505
item162000120506	120506
item162000120507	120507
item162000120508	120508
item162000120509	120509
item162000120510	120510
item162000120601	120601
item162000120602	120602
item162000120603	120603
item162000120604	120604
item162000120605	120605
item162000120606	120606
item162000120607	120607
item162000120608	120608
item162000120609	120609
item162000120610	120610
item162000120701	120701
item162000120702	120702
item162000120703	120703
item162000120704	120704
item162000120705	120705
item162000120706	120706
item162000120707	120707
item162000120708	120708
item162000120709	120709
item162000120710	120710
item162000210101	210101
item162000210102	210102
item162000210103	210103
item162000210104	210104
item162000210105	210105
item162000210106	210106
item162000210107	210107
item162000210108	210108
item162000210109	210109
item162000210110	210110
item162000210201	210201
item162000210202	210202
item162000210203	210203
item162000210204	210204
item162000210205	210205
item162000210206	210206
item162000210207	210207
item162000210208	210208
item162000210209	210209
item162000210210	210210
item162000220101	220101
item162000220102	220102
item162000220103	220103
item162000220104	220104
item162000220105	220105
item162000220106	220106
item162000220107	220107
item162000220108	220108
item162000220109	220109
item162000220110	220110
item162000220201	220201
item162000220202	220202
item162000220203	220203
item162000220204	220204
item162000220205	220205
item162000220206	220206
item162000220207	220207
item162000220208	220208
item162000220209	220209
item162000220210	220210
item162000220301	220301
item162000220302	220302
item162000220303	220303
item162000220304	220304
item162000220305	220305
item162000220306	220306
item162000220307	220307
item162000220308	220308
item162000220309	220309
item162000220310	220310
item162000220401	220401
item162000220402	220402
item162000220403	220403
item162000220404	220404
item162000220405	220405
item162000220406	220406
item162000220407	220407
item162000220408	220408
item162000220409	220409
item162000220410	220410
item162000220501	220501
item162000220502	220502
item162000220503	220503
item162000220504	220504
item162000220505	220505
item162000220506	220506
item162000220507	220507
item162000220508	220508
item162000220509	220509
item162000220510	220510
item162000310101	310101
item162000310102	310102
item162000310103	310103
item162000310104	310104
item162000310105	310105
item162000310106	310106
item162000310107	310107
item162000310108	310108
item162000310109	310109
item162000310110	310110
item162000310201	310201
item162000310202	310202
item162000310203	310203
item162000310204	310204
item162000310205	310205
item162000310206	310206
item162000310207	310207
item162000310208	310208
item162000310209	310209
item162000310210	310210
item162000320101	320101
item162000320102	320102
item162000320103	320103
item162000320104	320104
item162000320105	320105
item162000320106	320106
item162000320107	320107
item162000320108	320108
item162000320109	320109
item162000320110	320110
item162000320201	320201
item162000320202	320202
item162000320203	320203
item162000320204	320204
item162000320205	320205
item162000320206	320206
item162000320207	320207
item162000320208	320208
item162000320209	320209
item162000320210	320210
item162000320301	320301
item162000320302	320302
item162000320303	320303
item162000320304	320304
item162000320305	320305
item162000320306	320306
item162000320307	320307
item162000320308	320308
item162000320309	320309
item162000320310	320310
item162000320401	320401
item162000320402	320402
item162000320403	320403
item162000320404	320404
item162000320405	320405
item162000320406	320406
item162000320407	320407
item162000320408	320408
item162000320409	320409
item162000320410	320410
item162000320501	320501
item162000320502	320502
item162000320503	320503
item162000320504	320504
item162000320505	320505
item162000320506	320506
item162000320507	320507
item162000320508	320508
item162000320509	320509
item162000320510	320510
item162000320601	320601
item162000320602	320602
item162000320603	320603
item162000320604	320604
item162000320605	320605
item162000320606	320606
item162000320607	320607
item162000320608	320608
item162000320609	320609
item162000320610	320610
item162000320701	320701
item162000320702	320702
item162000320703	320703
item162000320704	320704
item162000320705	320705
item162000320706	320706
item162000320707	320707
item162000320708	320708
item162000320709	320709
item162000320710	320710
item162000330101	330101
item162000330102	330102
item162000330103	330103
item162000330104	330104
item162000330105	330105
item162000330106	330106
item162000330107	330107
item162000330108	330108
item162000330109	330109
item162000330110	330110
item162000330201	330201
item162000330202	330202
item162000330203	330203
item162000330204	330204
item162000330205	330205
item162000330206	330206
item162000330207	330207
item162000330208	330208
item162000330209	330209
item162000330210	330210
item162000330301	330301
item162000330302	330302
item162000330303	330303
item162000330304	330304
item162000330305	330305
item162000330306	330306
item162000330307	330307
item162000330308	330308
item162000330309	330309
item162000330310	330310
item162000330401	330401
item162000330402	330402
item162000330403	330403
item162000330404	330404
item162000330405	330405
item162000330406	330406
item162000330407	330407
item162000330408	330408
item162000330409	330409
item162000330410	330410
item162000330501	330501
item162000330502	330502
item162000330503	330503
item162000330504	330504
item162000330505	330505
item162000330506	330506
item162000330507	330507
item162000330508	330508
item162000330509	330509
item162000330510	330510
item162000330601	330601
item162000330602	330602
item162000330603	330603
item162000330604	330604
item162000330605	330605
item162000330606	330606
item162000330607	330607
item162000330608	330608
item162000330609	330609
item162000330610	330610
item162000330701	330701
item162000330702	330702
item162000330703	330703
item162000330704	330704
item162000330705	330705
item162000330706	330706
item162000330707	330707
item162000330708	330708
item162000330709	330709
item162000330710	330710
item162000330801	330801
item162000330802	330802
item162000330803	330803
item162000330804	330804
item162000330805	330805
item162000330806	330806
item162000330807	330807
item162000330808	330808
item162000330809	330809
item162000330810	330810
item162000330901	330901
item162000330902	330902
item162000330903	330903
item162000330904	330904
item162000330905	330905
item162000330906	330906
item162000330907	330907
item162000330908	330908
item162000330909	330909
item162000330910	330910
