符文槽id	专精组ID	页数	符文镶嵌需要的专精组等级	前置天赋id	前置天赋等级	坐标	连线类型	符文槽类型	指定镶嵌类型	指定参数	获取途径
int	int	int	int	int	int	vector2	int	int	int	string	string
RuneSlotID	TalentGroupId	Page	NeedTalentGroupLevel	PreTalentId	PreTalentLevel	Coordinates	LigatureType	RuneSlotType	AppointInlayType	AppointParameter	GainWay
101101	1011	1	15	1011002	1	6,0	0	1	1	1	121;1503;1708
101102	1011	1	15	1011005	1	6,2	0	2	1	2	121;1503;1709
101103	1011	1	15	1011010	1	6,4	0	3	1	3	121;1503;1710
101104	1011	2	45	1011003	1	6,0	0	1	1	1	121;1503;1708
101105	1011	2	45	1011802	1	6,2	0	2	1	2	121;1503;1709
101106	1011	2	45	1011006	1	6,4	0	3	1	3	121;1503;1710
101107	1011	3	95	1011020	1	6,0	0	1	1	1	121;1503;1708
101108	1011	3	95	1011803	1	6,2	0	2	1	2	121;1503;1709
101109	1011	3	95	1011021	1	6,4	0	3	1	3	121;1503;1710
101110	1011	4	175	1011026	1	6,0	0	1	1	1	121;1503;1708
101111	1011	4	175	1011804	1	6,2	0	2	1	2	121;1503;1709
101112	1011	4	175	1011027	1	6,4	0	3	1	3	121;1503;1710
101113	1011	5	245	1011036	1	6,0	0	1	1	1	121;1503;1708
101114	1011	5	245	1011037	1	6,2	0	2	1	2	121;1503;1709
101115	1011	5	245	1011038	1	6,4	0	3	1	3	121;1503;1710
101116	1011	6	315	10116501	1	6,0	0	1	1	1	121;1503;1708
101117	1011	6	315	10116502	1	6,2	0	2	1	2	121;1503;1709
101118	1011	6	315	10116503	1	6,4	0	3	1	3	121;1503;1710
101119	1011	7	385	10117501	1	6,0	0	1	1	1	121;1503;1708
101120	1011	7	385	10117502	1	6,2	0	2	1	2	121;1503;1709
101121	1011	7	385	10117503	1	6,4	0	3	1	3	121;1503;1710
101201	1012	1	15	1012002	1	6,0	0	1	1	1	121;1503;1708
101202	1012	1	15	1012005	1	6,2	0	2	1	2	121;1503;1709
101203	1012	1	15	1012010	1	6,4	0	3	1	3	121;1503;1710
101204	1012	2	45	1012003	1	6,0	0	1	1	1	121;1503;1708
101205	1012	2	45	1012802	1	6,2	0	2	1	2	121;1503;1709
101206	1012	2	45	1012006	1	6,4	0	3	1	3	121;1503;1710
101207	1012	3	95	1012020	1	6,0	0	1	1	1	121;1503;1708
101208	1012	3	95	1012803	1	6,2	0	2	1	2	121;1503;1709
101209	1012	3	95	1012021	1	6,4	0	3	1	3	121;1503;1710
101210	1012	4	175	1012026	1	6,0	0	1	1	1	121;1503;1708
101211	1012	4	175	1012804	1	6,2	0	2	1	2	121;1503;1709
101212	1012	4	175	1012027	1	6,4	0	3	1	3	121;1503;1710
101213	1012	5	245	1012036	1	6,0	0	1	1	1	121;1503;1708
101214	1012	5	245	1012037	1	6,2	0	2	1	2	121;1503;1709
101215	1012	5	245	1012038	1	6,4	0	3	1	3	121;1503;1710
101216	1012	6	315	10126501	1	6,0	0	1	1	1	121;1503;1708
101217	1012	6	315	10126502	1	6,2	0	2	1	2	121;1503;1709
101218	1012	6	315	10126503	1	6,4	0	3	1	3	121;1503;1710
101219	1012	7	385	10127501	1	6,0	0	1	1	1	121;1503;1708
101220	1012	7	385	10127502	1	6,2	0	2	1	2	121;1503;1709
101221	1012	7	385	10127503	1	6,4	0	3	1	3	121;1503;1710
102101	1021	1	15	1021002	1	6,0	0	1	1	1	121;1503;1708
102102	1021	1	15	1021005	1	6,2	0	2	1	2	121;1503;1709
102103	1021	1	15	1021010	1	6,4	0	3	1	3	121;1503;1710
102104	1021	2	45	1021003	1	6,0	0	1	1	1	121;1503;1708
102105	1021	2	45	1021802	1	6,2	0	2	1	2	121;1503;1709
102106	1021	2	45	1021006	1	6,4	0	3	1	3	121;1503;1710
102107	1021	3	95	1021020	1	6,0	0	1	1	1	121;1503;1708
102108	1021	3	95	1021803	1	6,2	0	2	1	2	121;1503;1709
102109	1021	3	95	1021021	1	6,4	0	3	1	3	121;1503;1710
102110	1021	4	175	1021026	1	6,0	0	1	1	1	121;1503;1708
102111	1021	4	175	1021804	1	6,2	0	2	1	2	121;1503;1709
102112	1021	4	175	1021027	1	6,4	0	3	1	3	121;1503;1710
102113	1021	5	245	1021036	1	6,0	0	1	1	1	121;1503;1708
102114	1021	5	245	1021037	1	6,2	0	2	1	2	121;1503;1709
102115	1021	5	245	1021038	1	6,4	0	3	1	3	121;1503;1710
102116	1021	6	315	10216501	1	6,0	0	1	1	1	121;1503;1708
102117	1021	6	315	10216502	1	6,2	0	2	1	2	121;1503;1709
102118	1021	6	315	10216503	1	6,4	0	3	1	3	121;1503;1710
102119	1021	7	385	10217501	1	6,0	0	1	1	1	121;1503;1708
102120	1021	7	385	10217502	1	6,2	0	2	1	2	121;1503;1709
102121	1021	7	385	10217503	1	6,4	0	3	1	3	121;1503;1710
102201	1022	1	15	1022002	1	6,0	0	1	1	1	121;1503;1708
102202	1022	1	15	1022005	1	6,2	0	2	1	2	121;1503;1709
102203	1022	1	15	1022010	1	6,4	0	3	1	3	121;1503;1710
102204	1022	2	45	1022003	1	6,0	0	1	1	1	121;1503;1708
102205	1022	2	45	1022802	1	6,2	0	2	1	2	121;1503;1709
102206	1022	2	45	1022006	1	6,4	0	3	1	3	121;1503;1710
102207	1022	3	95	1022020	1	6,0	0	1	1	1	121;1503;1708
102208	1022	3	95	1022803	1	6,2	0	2	1	2	121;1503;1709
102209	1022	3	95	1022021	1	6,4	0	3	1	3	121;1503;1710
