道具ID	是否为特产	原始价格	高利润提示阈值	高涨幅提示阈值	高跌幅提示阈值
string	int	int	int	int	int
ItemID	IsSpecial	BasicCost	TopProfit	TopCost	LowCost
item240000001001	0	500	20	120	80
item240000001002	0	1000	20	120	80
item240000001003	0	1200	20	120	80
item240000001004	0	1300	20	120	80
item240000001005	0	1800	20	120	80
item240000001006	0	2000	20	120	80
item240000001007	0	2300	20	120	80
item240000001008	0	2600	20	120	80
item240000001009	0	3000	20	120	80
item240000001010	0	4500	20	120	80
item240000001011	0	5000	20	120	80
item240000001012	0	5500	20	120	80
item240000001013	0	6000	20	120	80
item240000001014	0	6200	20	120	80
item240000001015	0	6600	20	120	80
item240000001016	0	7000	20	120	80
item240000001017	0	8000	20	120	80
item240000001018	0	8500	20	120	80
item240000001019	0	9000	20	120	80
item240000001020	0	10000	20	120	80
item240000002001	0	11000	20	120	80
item240000002002	0	11500	20	120	80
item240000002003	0	12000	20	120	80
item240000002004	0	13000	20	120	80
item240000002005	0	14000	20	120	80
item240000002006	0	14500	20	120	80
item240000002007	0	15000	20	120	80
item240000002008	0	17000	20	120	80
item240000002009	0	20000	20	120	80
item240000002010	0	22000	20	120	80
item240000002011	0	22500	20	120	80
item240000002012	0	23000	20	120	80
item240000002013	0	24000	20	120	80
item240000002014	0	24500	20	120	80
item240000002015	0	25000	20	120	80
item240000002016	0	25500	20	120	80
item240000002017	0	26000	20	120	80
item240000002018	0	27000	20	120	80
item240000002019	0	28000	20	120	80
item240000002020	0	30000	20	120	80
item240000002021	1	10000	20	120	80
item240000002022	1	12000	20	120	80
item240000002023	1	14000	20	120	80
item240000002024	1	16000	20	120	80
item240000002025	1	18000	20	120	80
item240000002026	1	20000	20	120	80
item240000002027	1	25000	20	120	80
item240000002028	1	30000	20	120	80
item240000002029	1	35000	20	120	80
item240000002030	1	40000	20	120	80
