流水	日志名	组ID	子ID	领取条件值	奖励
int	string	int	int	int	string
ID	RewardName	GroupID	SubID	EventValue	Reward
1	SailRewardName001	1	1	1	item1034,20
2	SailRewardName002	2	1	10	item1034,40
3	SailRewardName003	3	1	15	item1034,50;item90000000196,1
4	SailRewardName004	4	1	20	item1034,80
5	SailRewardName005	5	1	35	item1034,100;item90000000196,2
6	SailRewardName006	6	1	50	item1034,120
7	SailRewardName007	7	1	75	item1034,130;item90000000196,1
8	SailRewardName008	8	1	90	item1034,150
9	SailRewardName009	9	1	100	item1034,180;item90000000196,2
10	SailRewardName010	10	1	120	item1034,210
11	SailRewardName011	11	1	140	item1034,250;item90000000196,1
12	SailRewardName012	12	1	165	item1034,290
13	SailRewardName013	13	1	180	item1034,330;item90000000196,2
14	SailRewardName014	14	1	200	item1034,380
15	SailRewardName015	15	1	210	item1034,400;item90000000196,3
16	SailRewardName1001	1001	1	13000	item1034,30
17	SailRewardName1002	1002	1	50000	item1034,35
18	SailRewardName1003	1003	1	100000	item1034,40
19	SailRewardName1004	1004	1	300000	item1034,50
20	SailRewardName1005	1005	1	600000	item1034,70;item90000000196,1
21	SailRewardName1006	1006	1	1000000	item1034,90;item90000000196,1
22	SailRewardName1007	1007	1	3000000	item1034,100;item90000000196,2
23	SailRewardName1008	1008	1	5000000	item1034,120
24	SailRewardName1009	1009	1	9000000	item1034,150;item90000000196,1
25	SailRewardName1010	1010	1	10000000	item1034,190
26	SailRewardName1011	1011	1	20000000	item1034,220;item90000000196,1
27	SailRewardName1012	1012	1	50000000	item1034,250;item90000000196,2
28	SailRewardName1013	1013	1	80000000	item1034,270
29	SailRewardName1014	1014	1	100000000	item1034,320;item90000000196,1
30	SailRewardName1015	1015	1	150000000	item1034,360;item90000000196,3
