答题ID	对话组	选项语言包
int	string	string
QueId	Eventalk	ChoiceName
1001	SailEventName1001	sailchoice1_1001;sailchoice2_1001
1002	SailEventName1002	sailchoice1_1002;sailchoice2_1002
1003	SailEventName1003	sailchoice1_1003;sailchoice2_1003
1004	SailEventName1004	sailchoice1_1004;sailchoice2_1004
1005	SailEventName1005	sailchoice1_1005;sailchoice2_1005
1006	SailEventName1006	sailchoice1_1006;sailchoice2_1006
1007	SailEventName1007	sailchoice1_1007;sailchoice2_1007
1008	SailEventName1008	sailchoice1_1008;sailchoice2_1008
2001	SailEventName2001	sailchoice1_2001;sailchoice2_2001
2002	SailEventName2002	sailchoice1_2002;sailchoice2_2002
2003	SailEventName2003	sailchoice1_2003;sailchoice2_2003
2004	SailEventName2004	sailchoice1_2004;sailchoice2_2004
2005	SailEventName2005	sailchoice1_2005;sailchoice2_2005
2006	SailEventName2006	sailchoice1_2006;sailchoice2_2006
2007	SailEventName2007	sailchoice1_2007;sailchoice2_2007
2008	SailEventName2008	sailchoice1_2008;sailchoice2_2008
2009	SailEventName2009	sailchoice1_2009;sailchoice2_2009
2010	SailEventName2010	sailchoice1_2010;sailchoice2_2010
3001	SailEventName3001	sailchoice1_3001;sailchoice2_3001
3002	SailEventName3002	sailchoice1_3002;sailchoice2_3002
3003	SailEventName3003	sailchoice1_3003;sailchoice2_3003
3004	SailEventName3004	sailchoice1_3004;sailchoice2_3004
3005	SailEventName3005	sailchoice1_3005;sailchoice2_3005
3006	SailEventName3006	sailchoice1_3006;sailchoice2_3006
3007	SailEventName3007	sailchoice1_3007;sailchoice2_3007
3008	SailEventName3008	sailchoice1_3008;sailchoice2_3008
3009	SailEventName3009	sailchoice1_3009;sailchoice2_3009
4001	SailEventName4001	sailchoice1_4001;sailchoice2_4001
4002	SailEventName4002	sailchoice1_4002;sailchoice2_4002
4003	SailEventName4003	sailchoice1_4003;sailchoice2_4003
4004	SailEventName4004	sailchoice1_4004;sailchoice2_4004
4005	SailEventName4005	sailchoice1_4005;sailchoice2_4005
4006	SailEventName4006	sailchoice1_4006;sailchoice2_4006
4007	SailEventName4007	sailchoice1_4007;sailchoice2_4007
4008	SailEventName4008	sailchoice1_4008;sailchoice2_4008
4009	SailEventName4009	sailchoice1_4009;sailchoice2_4009
5001	SailEventName5001	sailchoice1_5001;sailchoice2_5001
5002	SailEventName5002	sailchoice1_5002;sailchoice2_5002
5003	SailEventName5003	sailchoice1_5003;sailchoice2_5003
5004	SailEventName5004	sailchoice1_5004;sailchoice2_5004
5005	SailEventName5005	sailchoice1_5005;sailchoice2_5005
5006	SailEventName5006	sailchoice1_5006;sailchoice2_5006
5007	SailEventName5007	sailchoice1_5007;sailchoice2_5007
5008	SailEventName5008	sailchoice1_5008;sailchoice2_5008
5009	SailEventName5009	sailchoice1_5009;sailchoice2_5009
6001	SailEventName6001	sailchoice1_6001;sailchoice2_6001
6002	SailEventName6002	sailchoice1_6002;sailchoice2_6002
6003	SailEventName6003	sailchoice1_6003;sailchoice2_6003
6004	SailEventName6004	sailchoice1_6004;sailchoice2_6004
6005	SailEventName6005	sailchoice1_6005;sailchoice2_6005
6006	SailEventName6006	sailchoice1_6006;sailchoice2_6006
6007	SailEventName6007	sailchoice1_6007;sailchoice2_6007
6008	SailEventName6008	sailchoice1_6008;sailchoice2_6008
6009	SailEventName6009	sailchoice1_6009;sailchoice2_6009
7001	SailEventName7001	sailchoice1_7001;sailchoice2_7001
7002	SailEventName7002	sailchoice1_7002;sailchoice2_7002
7003	SailEventName7003	sailchoice1_7003;sailchoice2_7003
7004	SailEventName7004	sailchoice1_7004;sailchoice2_7004
7005	SailEventName7005	sailchoice1_7005;sailchoice2_7005
7006	SailEventName7006	sailchoice1_7006;sailchoice2_7006
7007	SailEventName7007	sailchoice1_7007;sailchoice2_7007
7008	SailEventName7008	sailchoice1_7008;sailchoice2_7008
7009	SailEventName7009	sailchoice1_7009;sailchoice2_7009
7010	SailEventName7010	sailchoice1_7010;sailchoice2_7010
8001	SailEventName8001	sailchoice1_8001;sailchoice2_8001
8002	SailEventName8002	sailchoice1_8002;sailchoice2_8002
8003	SailEventName8003	sailchoice1_8003;sailchoice2_8003
8004	SailEventName8004	sailchoice1_8004;sailchoice2_8004
8005	SailEventName8005	sailchoice1_8005;sailchoice2_8005
8006	SailEventName8006	sailchoice1_8006;sailchoice2_8006
8007	SailEventName8007	sailchoice1_8007;sailchoice2_8007
8008	SailEventName8008	sailchoice1_8008;sailchoice2_8008
