探索ID	场景ID	类型	NPC的ID
int	int	int	string
Id	SceneId	Type	NpcId
11	1	3	
12	1	3	
13	1	3	
14	1	3	
15	1	3	
16	1	3	
19	1	3	
20	1	3	
21	1	3	
22	1	3	
23	1	3	
24	1	3	
25	1	3	
27	1	3	
28	1	3	
29	1	3	
54	1	4	
57	1	4	
59	1	4	
71	1	2	
72	1	2	
73	1	2	
74	1	2	
75	1	2	
76	1	2	
101	3	1	door_Map3_Resurrection
111	3	3	
112	3	3	
113	3	3	
114	3	3	
115	3	3	
116	3	3	
117	3	3	
118	3	3	
119	3	3	
120	3	3	
121	3	3	
122	3	3	
123	3	3	
124	3	3	
125	3	3	
126	3	3	
127	3	3	
128	3	3	
129	3	3	
151	3	4	
153	3	4	
155	3	4	
157	3	4	
171	3	2	
172	3	2	
173	3	2	
174	3	2	
175	3	2	
176	3	2	
181	3	5	collect_npc003
182	3	5	collect_npc004
191	3	6	mine_npc003
192	3	6	mine_npc004
201	4	1	door_Map4_Resurrection
211	4	3	
212	4	3	
213	4	3	
214	4	3	
215	4	3	
216	4	3	
217	4	3	
218	4	3	
219	4	3	
220	4	3	
221	4	3	
222	4	3	
223	4	3	
224	4	3	
225	4	3	
226	4	3	
227	4	3	
228	4	3	
229	4	3	
230	4	3	
231	4	3	
232	4	3	
233	4	3	
234	4	3	
235	4	3	
236	4	3	
237	4	3	
238	4	3	
239	4	3	
251	4	4	
252	4	4	
254	4	4	
255	4	4	
257	4	4	
258	4	4	
259	4	4	
260	4	4	
271	4	2	
272	4	2	
273	4	2	
274	4	2	
275	4	2	
276	4	2	
277	4	2	
278	4	2	
281	4	5	collect_npc005
282	4	5	collect_npc006
291	4	6	mine_npc005
292	4	6	mine_npc006
301	5	1	door_Map5_Resurrection
311	5	3	
312	5	3	
313	5	3	
314	5	3	
315	5	3	
316	5	3	
317	5	3	
318	5	3	
319	5	3	
320	5	3	
321	5	3	
322	5	3	
323	5	3	
324	5	3	
325	5	3	
326	5	3	
327	5	3	
351	5	4	
352	5	4	
353	5	4	
354	5	4	
355	5	4	
356	5	4	
357	5	4	
358	5	4	
371	5	2	
372	5	2	
373	5	2	
374	5	2	
375	5	2	
376	5	2	
377	5	2	
378	5	2	
381	5	5	collect_npc007
382	5	5	collect_npc008
391	5	6	mine_npc007
392	5	6	mine_npc008
401	6	1	door_Map6_Resurrection
411	6	3	
412	6	3	
413	6	3	
414	6	3	
415	6	3	
416	6	3	
417	6	3	
418	6	3	
419	6	3	
420	6	3	
421	6	3	
422	6	3	
423	6	3	
424	6	3	
425	6	3	
426	6	3	
427	6	3	
428	6	3	
429	6	3	
430	6	3	
431	6	3	
432	6	3	
433	6	3	
434	6	3	
435	6	3	
451	6	4	
452	6	4	
453	6	4	
454	6	4	
455	6	4	
456	6	4	
457	6	4	
458	6	4	
459	6	4	
460	6	4	
461	6	4	
462	6	4	
471	6	2	
472	6	2	
473	6	2	
474	6	2	
475	6	2	
476	6	2	
477	6	2	
478	6	2	
481	6	5	collect_npc009
482	6	5	collect_npc010
491	6	6	mine_npc009
492	6	6	mine_npc010
501	7	1	door_Map7_Resurrection
511	7	3	
512	7	3	
513	7	3	
514	7	3	
515	7	3	
516	7	3	
517	7	3	
518	7	3	
519	7	3	
520	7	3	
521	7	3	
522	7	3	
523	7	3	
524	7	3	
525	7	3	
526	7	3	
527	7	3	
528	7	3	
529	7	3	
530	7	3	
531	7	3	
532	7	3	
533	7	3	
534	7	3	
535	7	3	
536	7	3	
537	7	3	
538	7	3	
539	7	3	
540	7	3	
541	7	3	
542	7	3	
543	7	3	
544	7	3	
545	7	3	
551	7	4	
552	7	4	
553	7	4	
554	7	4	
555	7	4	
556	7	4	
557	7	4	
558	7	4	
559	7	4	
560	7	4	
571	7	2	
572	7	2	
573	7	2	
574	7	2	
575	7	2	
576	7	2	
577	7	2	
578	7	2	
581	7	5	collect_npc011
582	7	5	collect_npc012
591	7	6	mine_npc011
592	7	6	mine_npc012
601	8	1	door_Map8_Resurrection
611	8	3	
612	8	3	
613	8	3	
614	8	3	
615	8	3	
616	8	3	
617	8	3	
618	8	3	
619	8	3	
620	8	3	
621	8	3	
622	8	3	
623	8	3	
624	8	3	
625	8	3	
626	8	3	
627	8	3	
628	8	3	
629	8	3	
630	8	3	
631	8	3	
632	8	3	
633	8	3	
634	8	3	
635	8	3	
636	8	3	
637	8	3	
638	8	3	
639	8	3	
640	8	3	
651	8	4	
652	8	4	
653	8	4	
654	8	4	
655	8	4	
656	8	4	
657	8	4	
658	8	4	
659	8	4	
660	8	4	
671	8	2	
672	8	2	
673	8	2	
674	8	2	
675	8	2	
676	8	2	
677	8	2	
678	8	2	
681	8	5	collect_npc013
682	8	5	collect_npc014
691	8	6	mine_npc013
692	8	6	mine_npc014
701	9	1	door_Map9_Resurrection
703	9	3	
704	9	3	
705	9	3	
706	9	3	
707	9	3	
708	9	3	
709	9	3	
710	9	3	
711	9	3	
712	9	3	
713	9	3	
714	9	3	
715	9	3	
716	9	3	
717	9	3	
718	9	3	
719	9	3	
720	9	3	
721	9	3	
722	9	3	
723	9	3	
724	9	3	
725	9	3	
726	9	3	
727	9	3	
728	9	3	
729	9	3	
730	9	3	
731	9	3	
732	9	3	
733	9	3	
734	9	3	
735	9	3	
736	9	3	
737	9	3	
738	9	3	
739	9	3	
740	9	3	
741	9	3	
742	9	3	
743	9	3	
744	9	3	
745	9	3	
773	9	4	
774	9	4	
775	9	4	
776	9	4	
777	9	4	
778	9	4	
779	9	4	·
780	9	4	
781	9	2	
782	9	2	
783	9	2	
784	9	2	
785	9	2	
786	9	2	
787	9	2	
788	9	2	
789	9	5	collect_npc015
790	9	5	collect_npc016
791	9	6	mine_npc015
792	9	6	mine_npc016
793	37	1	door_Map37_Resurrection
794	37	3	
795	37	3	
796	37	3	
797	37	3	
798	37	3	
799	37	3	
800	37	3	
801	37	3	
802	37	3	
803	37	3	
804	37	3	
805	37	3	
806	37	3	
807	37	3	
808	37	3	
809	37	3	
810	37	3	
811	37	3	
812	37	3	
813	37	3	
814	37	3	
815	37	3	
816	37	2	
817	37	2	
818	37	2	
819	37	2	
820	37	2	
821	37	2	
822	37	2	
823	37	2	
824	37	5	collect_npc017
825	37	5	collect_npc018
826	37	6	mine_npc017
827	37	6	mine_npc018
828	18	1	door_Map18_Resurrection
829	18	3	
830	18	3	
831	18	3	
832	18	3	
833	18	3	
834	18	3	
835	18	3	
836	18	3	
837	18	3	
838	18	3	
839	18	3	
840	18	3	
841	18	3	
842	18	3	
843	18	3	
844	18	3	
845	18	3	
846	18	3	
847	18	3	
848	18	3	
849	18	3	
850	18	3	
851	18	2	
852	18	2	
853	18	2	
854	18	2	
855	18	2	
856	18	2	
857	18	2	
858	18	2	
859	18	4	
860	18	4	
861	18	4	
