任务组Id	成就id列表	成就组名称	奖励介绍	任务组奖励	任务组奖励宝箱图标	tw成就id列表	tw成就组名称
int	string	string	string	string	string	string	string
Id	AchievementId	TaskGroundName	TaskGroundContent	TaskGroundReward	TaskGroundRewardBoxIcon	twAchievementId	twTaskGroundName
1001	7010001,7010007,7010002,7010003,7010004,7010005,7010006	name_secret_task_1001	content_secret_task_1001	item1014,100;item105000000029,10;item105000000030,10	recharge_icon04	7010001,7010007,7010002,7010003,7010004,7010005,7010006	name_secret_task_1001
2001	7020009,7020001,7020002,7020003,7020004,7020005,7020006,7020007,7020008	name_secret_task_1002	content_secret_task_1002	item1014,150;item8103010131003,5;item8103010121003,20	recharge_icon04	7020009,7020001,7020002,7020003,7020004,7020005,7020006,7020007,7020008	name_secret_task_1002
3001	7030001,7030002,7030003,7030004,7030005,7030006,7030007	name_secret_task_1003	content_secret_task_1003	item1014,200;item8101020504800,10;item107999900001,10	recharge_icon04	7030001,7030002,7030003,7030004,7030005,7030006,7030007	name_secret_task_1003
4001	7040001,7040002,7040003,7040004,7040005,7040006,7040007	name_secret_task_1004	content_secret_task_1004	item1014,250;item8200000800003,3;item8200000800001,10	recharge_icon04	7040001,7040002,7040003,7040004,7040005,7040006,7040007	name_secret_task_1004
5001	7050001,7050002,7050003,7050004,7050005	name_secret_task_1005	content_secret_task_1005	item1014,300;item107300000001,10;item8103010111018,5	recharge_icon04	7050001,7050002,7050003,7050004,7050005	name_secret_task_1005
6001	7060001,7060002,7060003,7060004,7060005,7060006,7060007,7060008	name_secret_task_1006	content_secret_task_1006	item1014,350;item8119100000002,5;item161000000002,5	recharge_icon04	7060001,7060002,7060003,7060004,7060005,7060006,7060007,7060008	name_secret_task_1006
7001	7070001,7070002,7070003,7070004,7070005,7070006	name_secret_task_1007	content_secret_task_1007	item1014,400;item8103015110412,2;item8103015110417,2	recharge_icon04	7070001,7070002,7070003,7070004,7070005,7070006	name_secret_task_1007
8001	7080001,7080002,7080003,7080004,7080005,7080006	name_secret_task_1008	content_secret_task_1008	item1014,450;item102020061002,10;item102020061001,100	recharge_icon04	7080001,7080002,7080003,7080004,7080005,7080006	name_secret_task_1008
