升级前武器ID	升级后武器ID	星光武器阶段	升级所需玩家等级限制	职业ID	主界面展示模型	男角色佩戴展示模型（高模）	男角色佩戴展示模型（低模）	女角色佩戴展示模型（高模）	女角色佩戴展示模型（低模）	高模特效	低模特效	升级到当前级消耗道具	升级到当前级消耗货币	属性加成	buff加成
string	string	int	int	int	int	string	string	string	string	string	string	string	string	string	string
BeforeWeaponId	AfterWeaponId	WeaponStage	LevelLimit	JobId	WeaponModel	HManWeaponShow	LManWeaponShow	HWomenWeaponShow	LWomenWeaponShow	HWeaponEffect	LWeaponEffect	ExpendItem	ExpendCoin	ShineAttr	ShineBuff
equip301040541001	equip301040651001	1	60	1	15	c001h_weapon901_t1	c001_weapon901_t1			13000056	13000001	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000001	buff6_wp_shine::buff101_lv1
equip301040651001	equip301040652001	2	60	1	16	c001h_weapon901_t2	c001_weapon901_t2			13000057	13000002	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000002	buff6_wp_shine::buff101_lv2
equip301040652001	equip301040653001	3	70	1	17	c001h_weapon901_t3	c001_weapon901_t3			13000058	13000003	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000003	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301040653001	equip301040654001	4	75	1	18	c001h_weapon901_t4	c001_weapon901_t4			13000059	13000004	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000004	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301040654001	equip301040655001	5	80	1	19	c001h_weapon901_t5	c001_weapon901_t5			13000060	13000005	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000005	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301040541002	equip301040651002	1	60	2	15			c002h_weapon901_t1	c002_weapon901_t1	13000041;13000076;13000077;13000086	13000096;13000006;13000091	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000006	buff6_wp_shine::buff101_lv1
equip301040651002	equip301040652002	2	60	2	16			c002h_weapon901_t2	c002_weapon901_t2	13000042;13000078;13000079;13000087	13000097;13000007;13000092	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000007	buff6_wp_shine::buff101_lv2
equip301040652002	equip301040653002	3	70	2	17			c002h_weapon901_t3	c002_weapon901_t3	13000043;13000080;13000081;13000088	13000098;13000008;13000093	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000008	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301040653002	equip301040654002	4	75	2	18			c002h_weapon901_t4	c002_weapon901_t4	13000044;13000082;13000083;13000089	13000099;13000009;13000094	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000009	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
