章节序号	章节序号语言包	章节标题	封面资源	解锁等级	解锁前置关卡	解锁前置主线任务	前置关卡名称	前置任务名称	章节背景图
int	string	string	string	int	string	int	string	string	string
ChapterId	ChapterIdLang	ChapterTitle	ChapterCover	UnlockLevel	UnlockMissionID	UnlockTaskID	UnlockMissionName	UnlockTaskName	ChapterBack
1	ChapterIdLang1	EpicChapterTitle1	yinxiongshishi_shu1	30		11100200	EpicUnlockMissionName1	EpicUnlockTaskName1	yinxiongshishi_bg
2	ChapterIdLang2	EpicChapterTitle2	yinxiongshishi_shu2	35	1,110,11001	10200120	EpicUnlockMissionName2	EpicUnlockTaskName2	yinxiongshishi_bg_2
3	ChapterIdLang3	EpicChapterTitle3	yinxiongshishi_shu3	40	2,210,21001	10300170	EpicUnlockMissionName3	EpicUnlockTaskName3	yinxiongshishi_bg_2
4	ChapterIdLang4	EpicChapterTitle4	yinxiongshishi_shu4	50	3,310,31001	10400120	EpicUnlockMissionName4	EpicUnlockTaskName4	yinxiongshishi_bg
5	ChapterIdLang5	EpicChapterTitle5	yinxiongshishi_shu7	60	4,410,41001	10500080	EpicUnlockMissionName5	EpicUnlockTaskName5	yinxiongshishi_bg
6	ChapterIdLang6	EpicChapterTitle6	yinxiongshishi_shu8	60	5,510,51001	10500170	EpicUnlockMissionName6	EpicUnlockTaskName6	yinxiongshishi_bg
7	ChapterIdLang7	EpicChapterTitle7	yinxiongshishi_shu9	60	6,610,61001	10600140	EpicUnlockMissionName7	EpicUnlockTaskName7	yinxiongshishi_bg
8	ChapterIdLang8	EpicChapterTitle8	yinxiongshishi_shu10	60	7,710,71001	10600360	EpicUnlockMissionName8	EpicUnlockTaskName8	yinxiongshishi_bg
9	ChapterIdLang9	EpicChapterTitle9	yinxiongshishi_shu11	70	8,810,81001	10700020	EpicUnlockMissionName9	EpicUnlockTaskName9	yinxiongshishi_bg
10	ChapterIdLang10	EpicChapterTitle10	yinxiongshishi_shu12	70	9,910,91001	10700180	EpicUnlockMissionName10	EpicUnlockTaskName10	yinxiongshishi_bg
11	ChapterIdLang11	EpicChapterTitle11	yinxiongshishi_shu4	70	10,1010,101001	10700190	EpicUnlockMissionName11	EpicUnlockTaskName11	yinxiongshishi_bg
12	ChapterIdLang12	EpicChapterTitle12	yinxiongshishi_shu3	70	11,1110,111001	10700310	EpicUnlockMissionName12	EpicUnlockTaskName12	yinxiongshishi_bg
13	ChapterIdLang13	EpicChapterTitle13	yinxiongshishi_shu10	80	12,1210,121001	10710250	EpicUnlockMissionName13	EpicUnlockTaskName13	yinxiongshishi_bg
14	ChapterIdLang14	EpicChapterTitle14	yinxiongshishi_shu5	80	13,1310,131001	10800430	EpicUnlockMissionName14	EpicUnlockTaskName14	yinxiongshishi_bg
15	ChapterIdLang15	EpicChapterTitle15	yinxiongshishi_shu6	80	14,1410,141001	10850390	EpicUnlockMissionName15	EpicUnlockTaskName15	yinxiongshishi_bg
