流水	章节序号	星级	奖励
int	int	int	string
Id	ChapterId	GotStar	Reward
1	1	5	item1014,40;item100200000301,4
2	1	10	item1014,40;item100200000101,4
3	1	14	item1014,40;item100200000401,4
4	1	16	item1014,40;item100200000301,4
5	1	18	item1014,40;item100200000101,4
6	2	5	item1014,60;item100200000401,4
7	2	10	item1014,60;item100200000301,4
8	2	14	item1014,60;item100200000101,4
9	2	16	item1014,60;item100200000401,4
10	2	18	item1014,60;item100200000301,4
11	3	5	item1014,80;item100200000101,4
12	3	10	item1014,80;item100200000401,4
13	3	14	item1014,80;item100200000301,4
14	3	16	item1014,80;item100200000101,4
15	3	18	item1014,80;item100200000401,4
16	4	5	item1014,100;item100200000301,4
17	4	10	item1014,100;item100200000101,4
18	4	14	item1014,100;item100200000401,4
19	4	16	item1014,100;item100200000401,4
20	4	18	item1014,100;item100200000401,4
21	5	5	item1014,20;item100200000301,4
22	5	10	item1014,40;item100200000101,4
23	5	14	item1014,60;item90000000123,80
24	5	16	item1014,80;item100200000401,4
25	5	18	item1014,100;item100200000301,4
26	6	5	item1014,20;item100200000301,4
27	6	10	item1014,40;item100200000101,4
28	6	14	item1014,60;item90000000123,80
29	6	16	item1014,80;item100200000401,4
30	6	18	item1014,100;item100200000301,4
31	7	5	item1014,20;item100200000301,4
32	7	10	item1014,40;item100200000101,4
33	7	14	item1014,60;item90000000123,80
34	7	16	item1014,80;item100200000401,4
35	7	18	item1014,100;item100200000301,4
36	8	5	item1014,20;item100200000301,4
37	8	10	item1014,40;item100200000101,4
38	8	14	item1014,60;item100200000401,4
39	8	16	item1014,80;item100200000301,4
40	8	18	item1014,100;item8102020060003,1
41	9	5	item1014,20;item100200000301,4
42	9	10	item1014,40;item100200000101,4
43	9	14	item1014,60;item8230000000211,10
44	9	16	item1014,80;item100200000401,4
45	9	18	item1014,100;item100200000301,4
46	10	5	item1014,20;item100200000301,4
47	10	10	item1014,40;item100200000101,4
48	10	14	item1014,60;item8230000000211,20
49	10	16	item1014,80;item100200000401,4
50	10	18	item1014,100;item100200000301,4
51	11	5	item1014,20;item100200000301,4
52	11	10	item1014,40;item100200000101,4
53	11	14	item1014,60;item8230000000211,20
54	11	16	item1014,80;item100200000401,4
55	11	18	item1014,100;item100200000301,4
56	12	5	item1014,20;item100200000301,4
57	12	10	item1014,40;item100200000101,4
58	12	14	item1014,60;item100200000401,4
59	12	16	item1014,80;item100200000301,4
60	12	18	item1014,100;item107999900012,1
61	13	5	item1014,20;item100200000301,4
62	13	10	item1014,40;item100200000101,4
63	13	14	item1014,60;item100200000401,4
64	13	16	item1014,80;item100200000101,4
65	13	18	item1014,100;item100200000301,4
66	14	5	item1014,20;item100200000301,4
67	14	10	item1014,40;item100200000101,4
68	14	14	item1014,60;item107999900013,1
69	14	16	item1014,80;item100200000401,4
70	14	18	item1014,100;item100200000301,4
71	15	5	item1014,20;item100200000301,4
72	15	10	item1014,40;item100200000101,4
73	15	14	item1014,60;item100200000401,4
74	15	16	item1014,80;item100200000301,4
75	15	18	item1014,100;item141000002137,1
