技能宝石ID	技能宝石对应item	技能宝石对应碎片item	适用英雄类型	适用职业技能	品质	技能宝石升级属性类型	激活所需碎片数量	收集属性	宝石初始评分	技能类型ICON	技能释放后附加的buff	技能释放后附加buff的几率	职业技能强化效果	技能伤害比例倍率	技能附加伤害值倍率	技能效果描述语言包
int	string	string	string	string	int	int	string	string	int	string	string	string	string	string	string	string
GemID	itemid	ChipItemID	HeroId	HeroSkill	Quality	GemUpgradeType	ActivationNeedItemNum	CollectProp	GemScore	SkillTypeRes	SkillBuff	SkillBuffProbability	SkillEffect	SkillDemPerRatio	SkillDemValueRatio	SkillEffectDec
20101001	item17901020101001	item17902020101001	hero101	skill1214	2	201	item17902020101001,25		6	gemtypebadge_1	buff6_saint01::buff_1	56,60,64,68,72,76,80		300,330,360,390,420,450,500		SkillEffectDec_3
20102001	item17901020102001	item17902020102001	hero101	skill1215	2	202	item17902020102001,25		6	gemtypebadge_1	buff6_saint01::buff_1	28,30,32,34,36,38,40		300,330,360,390,420,450,500		SkillEffectDec_3
20103001	item17901020103001	item17902020103001	hero101	skill1206	2	203	item17902020103001,25		6	gemtypebadge_1	buff6_saint01::buff_1	14,15,16,17,18,19,20		300,330,360,390,420,450,500		SkillEffectDec_3
20104001	item17901020104001	item17902020104001	hero101	skill1201	2	204	item17902020104001,25		6	gemtypebadge_1	buff6_saint01::buff_1	14,15,16,17,18,19,20		300,330,360,390,420,450,500		SkillEffectDec_3
20105001	item17901020105001	item17902020105001	hero101	skill1209	2	205	item17902020105001,25		6	gemtypebadge_1	buff6_saint01::buff_1	28,30,32,34,36,38,40		300,330,360,390,420,450,500		SkillEffectDec_3
20106001	item17901020106001	item17902020106001	hero101	skill1205	2	206	item17902020106001,25		6	gemtypebadge_1	buff6_saint01::buff_1	28,30,32,34,36,38,40		300,330,360,390,420,450,500		SkillEffectDec_3
20107001	item17901020107001	item17902020107001	hero101	skill1204	2	207	item17902020107001,25		6	gemtypebadge_1	buff6_saint01::buff_1	28,30,32,34,36,38,40		300,330,360,390,420,450,500		SkillEffectDec_3
20108001	item17901020108001	item17902020108001	hero101	skill1203	2	208	item17902020108001,25		6	gemtypebadge_1	buff6_saint01::buff_2	56,60,64,68,72,76,80				
30101001	item17901030101001	item17902030101001	hero101	skill1214	3	301	item17902030101001,40		33	gemtypebadge_2	buff6_saint01::buff_3	56,60,64,68,72,76,80		600,660,720,780,840,900,1000		SkillEffectDec_3
30102001	item17901030102001	item17902030102001	hero101	skill1215	3	302	item17902030102001,40		33	gemtypebadge_2	buff6_saint01::buff_3	28,30,32,34,36,38,40		600,660,720,780,840,900,1000		SkillEffectDec_3
30103001	item17901030103001	item17902030103001	hero101	skill1206	3	303	item17902030103001,40		33	gemtypebadge_2	buff6_saint01::buff_3	14,15,16,17,18,19,20		600,660,720,780,840,900,1000		SkillEffectDec_3
30104001	item17901030104001	item17902030104001	hero101	skill1201	3	304	item17902030104001,40		33	gemtypebadge_2	buff6_saint01::buff_3	14,15,16,17,18,19,20		600,660,720,780,840,900,1000		SkillEffectDec_3
30105001	item17901030105001	item17902030105001	hero101	skill1209	3	305	item17902030105001,40		33	gemtypebadge_2	buff6_saint01::buff_3	28,30,32,34,36,38,40		600,660,720,780,840,900,1000		SkillEffectDec_3
30106001	item17901030106001	item17902030106001	hero101	skill1205	3	306	item17902030106001,40		33	gemtypebadge_2	buff6_saint01::buff_3	28,30,32,34,36,38,40		600,660,720,780,840,900,1000		SkillEffectDec_3
30107001	item17901030107001	item17902030107001	hero101	skill1204	3	307	item17902030107001,40		33	gemtypebadge_2	buff6_saint01::buff_3	28,30,32,34,36,38,40		600,660,720,780,840,900,1000		SkillEffectDec_3
30108001	item17901030108001	item17902030108001	hero101	skill1203	3	308	item17902030108001,40		33	gemtypebadge_2	buff6_saint01::buff_4	56,60,64,68,72,76,80				
40101001	item17901040101001	item17902040101001	hero101	skill1214	4	401	item17902040101001,50		75	gemtypebadge_3			skill81001	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40102001	item17901040102001	item17902040102001	hero101	skill1215	4	402	item17902040102001,50		75	gemtypebadge_1			skill81003	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40103001	item17901040103001	item17902040103001	hero101	skill1206	4	403	item17902040103001,50		75	gemtypebadge_1			skill81011	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40104001	item17901040104001	item17902040104001	hero101	skill1201	4	404	item17902040104001,50		75	gemtypebadge_1			skill81005	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40105001	item17901040105001	item17902040105001	hero101	skill1209	4	405	item17902040105001,50		75	gemtypebadge_1			skill81009	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40106001	item17901040106001	item17902040106001	hero101	skill1205	4	406	item17902040106001,50		75	gemtypebadge_1			skill81007	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40107001	item17901040107001	item17902040107001	hero101	skill1204	4	407	item17902040107001,50		75	gemtypebadge_1			skill81013	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40108001	item17901040108001	item17902040108001	hero101	skill1203	4	408	item17902040108001,50		75	gemtypebadge_4	buff6_saint01::buff_11	56,60,64,68,72,76,80	skill81015			
50101001	item17901050101001	item17902050101001	hero101	skill1214	5	501	item17902050101001,50		150	gemtypebadge_3			skill81002	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50102001	item17901050102001	item17902050102001	hero101	skill1215	5	502	item17902050102001,50		150	gemtypebadge_4			skill81004	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50103001	item17901050103001	item17902050103001	hero101	skill1206	5	503	item17902050103001,50		150	gemtypebadge_3			skill81012	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50104001	item17901050104001	item17902050104001	hero101	skill1201	5	504	item17902050104001,50		150	gemtypebadge_5			skill81006	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50105001	item17901050105001	item17902050105001	hero101	skill1209	5	505	item17902050105001,50		150	gemtypebadge_4			skill81010	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50106001	item17901050106001	item17902050106001	hero101	skill1205	5	506	item17902050106001,50		150	gemtypebadge_4			skill81008	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50107001	item17901050107001	item17902050107001	hero101	skill1204	5	507	item17902050107001,50		150	gemtypebadge_5			skill81014	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50108001	item17901050108001	item17902050108001	hero101	skill1203	5	508	item17902050108001,50		150	gemtypebadge_3	buff6_saint01::buff_12	56,60,64,68,72,76,80	skill81016			
20201001	item17901020201001	item17902020201001	hero102	skill1107	2	201	item17902020201001,25		6	gemtypebadge_1	buff6_saint01::buff_1	42,45,48,51,54,57,60		300,330,360,390,420,450,500		SkillEffectDec_3
20202001	item17901020202001	item17902020202001	hero102	skill1104	2	202	item17902020202001,25		6	gemtypebadge_1	buff6_saint01::buff_1	14,15,16,17,18,19,20		300,330,360,390,420,450,500		SkillEffectDec_3
20203001	item17901020203001	item17902020203001	hero102	skill1110	2	203	item17902020203001,25		6	gemtypebadge_1	buff6_saint01::buff_1	14,15,16,17,18,19,20		300,330,360,390,420,450,500		SkillEffectDec_3
20204001	item17901020204001	item17902020204001	hero102	skill1109	2	204	item17902020204001,25		6	gemtypebadge_1	buff6_saint01::buff_1	28,30,32,34,36,38,40		300,330,360,390,420,450,500		SkillEffectDec_3
20205001	item17901020205001	item17902020205001	hero102	skill1108	2	205	item17902020205001,25		6	gemtypebadge_1	buff6_saint01::buff_1	28,30,32,34,36,38,40		300,330,360,390,420,450,500		SkillEffectDec_3
20206001	item17901020206001	item17902020206001	hero102	skill1116	2	206	item17902020206001,25		6	gemtypebadge_1	buff6_saint01::buff_1	28,30,32,34,36,38,40		300,330,360,390,420,450,500		SkillEffectDec_3
20207001	item17901020207001	item17902020207001	hero102	skill1111	2	207	item17902020207001,25		6	gemtypebadge_1	buff6_saint01::buff_1	42,45,48,51,54,57,60		300,330,360,390,420,450,500		SkillEffectDec_3
20208001	item17901020208001	item17902020208001	hero102	skill1101	2	208	item17902020208001,25		6	gemtypebadge_1	buff6_saint01::buff_1	28,30,32,34,36,38,40		300,330,360,390,420,450,500		SkillEffectDec_3
30201001	item17901030201001	item17902030201001	hero102	skill1107	3	301	item17902030201001,40		33	gemtypebadge_2	buff6_saint01::buff_3	42,45,48,51,54,57,60		600,660,720,780,840,900,1000		SkillEffectDec_3
30202001	item17901030202001	item17902030202001	hero102	skill1104	3	302	item17902030202001,40		33	gemtypebadge_2	buff6_saint01::buff_3	14,15,16,17,18,19,20		600,660,720,780,840,900,1000		SkillEffectDec_3
30203001	item17901030203001	item17902030203001	hero102	skill1110	3	303	item17902030203001,40		33	gemtypebadge_2	buff6_saint01::buff_3	14,15,16,17,18,19,20		600,660,720,780,840,900,1000		SkillEffectDec_3
30204001	item17901030204001	item17902030204001	hero102	skill1109	3	304	item17902030204001,40		33	gemtypebadge_2	buff6_saint01::buff_3	28,30,32,34,36,38,40		600,660,720,780,840,900,1000		SkillEffectDec_3
30205001	item17901030205001	item17902030205001	hero102	skill1108	3	305	item17902030205001,40		33	gemtypebadge_2	buff6_saint01::buff_3	28,30,32,34,36,38,40		600,660,720,780,840,900,1000		SkillEffectDec_3
30206001	item17901030206001	item17902030206001	hero102	skill1116	3	306	item17902030206001,40		33	gemtypebadge_2	buff6_saint01::buff_3	28,30,32,34,36,38,40		600,660,720,780,840,900,1000		SkillEffectDec_3
30207001	item17901030207001	item17902030207001	hero102	skill1111	3	307	item17902030207001,40		33	gemtypebadge_2	buff6_saint01::buff_3	42,45,48,51,54,57,60		600,660,720,780,840,900,1000		SkillEffectDec_3
30208001	item17901030208001	item17902030208001	hero102	skill1101	3	308	item17902030208001,40		33	gemtypebadge_2	buff6_saint01::buff_3	28,30,32,34,36,38,40		600,660,720,780,840,900,1000		SkillEffectDec_3
40201001	item17901040201001	item17902040201001	hero102	skill1107	4	401	item17902040201001,50		75	gemtypebadge_1			skill81017	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40202001	item17901040202001	item17902040202001	hero102	skill1104	4	402	item17902040202001,50		75	gemtypebadge_4			skill81019	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40203001	item17901040203001	item17902040203001	hero102	skill1110	4	403	item17902040203001,50		75	gemtypebadge_1			skill81021	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40204001	item17901040204001	item17902040204001	hero102	skill1109	4	404	item17902040204001,50		75	gemtypebadge_1			skill81023	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40205001	item17901040205001	item17902040205001	hero102	skill1108	4	405	item17902040205001,50		75	gemtypebadge_1			skill81025	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40206001	item17901040206001	item17902040206001	hero102	skill1116	4	406	item17902040206001,50		75	gemtypebadge_4			skill81027	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40207001	item17901040207001	item17902040207001	hero102	skill1111	4	407	item17902040207001,50		75	gemtypebadge_2			skill81029	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40208001	item17901040208001	item17902040208001	hero102	skill1101	4	408	item17902040208001,50		75	gemtypebadge_2			skill81031	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
50201001	item17901050201001	item17902050201001	hero102	skill1107	5	501	item17902050201001,50		150	gemtypebadge_3			skill81018	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50202001	item17901050202001	item17902050202001	hero102	skill1104	5	502	item17902050202001,50		150	gemtypebadge_4			skill81020	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50203001	item17901050203001	item17902050203001	hero102	skill1110	5	503	item17902050203001,50		150	gemtypebadge_3			skill81022	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50204001	item17901050204001	item17902050204001	hero102	skill1109	5	504	item17902050204001,50		150	gemtypebadge_4			skill81024	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50205001	item17901050205001	item17902050205001	hero102	skill1108	5	505	item17902050205001,50		150	gemtypebadge_2			skill81026	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50206001	item17901050206001	item17902050206001	hero102	skill1116	5	506	item17902050206001,50		150	gemtypebadge_2			skill81028	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50207001	item17901050207001	item17902050207001	hero102	skill1111	5	507	item17902050207001,50		150	gemtypebadge_4			skill81030	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
50208001	item17901050208001	item17902050208001	hero102	skill1101	5	508	item17902050208001,50		150	gemtypebadge_2			skill81032	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
20301001	item17901020301001	item17902020301001	hero103;hero107	skill1001	2	201	item17902020301001,25		6	gemtypebadge_1	buff6_saint01::buff_1	14,15,16,17,18,19,20		300,330,360,390,420,450,500		SkillEffectDec_3
20302001	item17901020302001	item17902020302001	hero103;hero107	skill1003	2	202	item17902020302001,25		6	gemtypebadge_1	buff6_saint01::buff_1	28,30,32,34,36,38,40		300,330,360,390,420,450,500		SkillEffectDec_3
20303001	item17901020303001	item17902020303001	hero103;hero107	skill1002	2	203	item17902020303001,25		6	gemtypebadge_1	buff6_saint01::buff_1	28,30,32,34,36,38,40		300,330,360,390,420,450,500		SkillEffectDec_3
20304001	item17901020304001	item17902020304001	hero103;hero107	skill1006	2	204	item17902020304001,25		6	gemtypebadge_1	buff6_saint01::buff_1	28,30,32,34,36,38,40		300,330,360,390,420,450,500		SkillEffectDec_3
20305001	item17901020305001	item17902020305001	hero103;hero107	skill1005	2	205	item17902020305001,25		6	gemtypebadge_1	buff6_saint01::buff_2	42,45,48,51,54,57,60				
20306001	item17901020306001	item17902020306001	hero103;hero107	skill1016	2	206	item17902020306001,25		6	gemtypebadge_1	buff6_saint01::buff_1	14,15,16,17,18,19,20		300,330,360,390,420,450,500		SkillEffectDec_3
20307001	item17901020307001	item17902020307001	hero103;hero107	skill1004	2	207	item17902020307001,25		6	gemtypebadge_1	buff6_saint01::buff_1	14,15,16,17,18,19,20		300,330,360,390,420,450,500		SkillEffectDec_3
20308001	item17901020308001	item17902020308001	hero103;hero107	skill1008	2	208	item17902020308001,25		6	gemtypebadge_1	buff6_saint01::buff_1	28,30,32,34,36,38,40		300,330,360,390,420,450,500		SkillEffectDec_3
30301001	item17901030301001	item17902030301001	hero103;hero107	skill1001	3	301	item17902030301001,40		33	gemtypebadge_2	buff6_saint01::buff_3	14,15,16,17,18,19,20		600,660,720,780,840,900,1000		SkillEffectDec_3
30302001	item17901030302001	item17902030302001	hero103;hero107	skill1003	3	302	item17902030302001,40		33	gemtypebadge_2	buff6_saint01::buff_3	28,30,32,34,36,38,40		600,660,720,780,840,900,1000		SkillEffectDec_3
30303001	item17901030303001	item17902030303001	hero103;hero107	skill1002	3	303	item17902030303001,40		33	gemtypebadge_2	buff6_saint01::buff_3	28,30,32,34,36,38,40		600,660,720,780,840,900,1000		SkillEffectDec_3
30304001	item17901030304001	item17902030304001	hero103;hero107	skill1006	3	304	item17902030304001,40		33	gemtypebadge_2	buff6_saint01::buff_3	28,30,32,34,36,38,40		600,660,720,780,840,900,1000		SkillEffectDec_3
30305001	item17901030305001	item17902030305001	hero103;hero107	skill1005	3	305	item17902030305001,40		33	gemtypebadge_2	buff6_saint01::buff_4	42,45,48,51,54,57,60				
30306001	item17901030306001	item17902030306001	hero103;hero107	skill1016	3	306	item17902030306001,40		33	gemtypebadge_2	buff6_saint01::buff_3	14,15,16,17,18,19,20		600,660,720,780,840,900,1000		SkillEffectDec_3
30307001	item17901030307001	item17902030307001	hero103;hero107	skill1004	3	307	item17902030307001,40		33	gemtypebadge_2	buff6_saint01::buff_3	14,15,16,17,18,19,20		600,660,720,780,840,900,1000		SkillEffectDec_3
30308001	item17901030308001	item17902030308001	hero103;hero107	skill1008	3	308	item17902030308001,40		33	gemtypebadge_2	buff6_saint01::buff_3	28,30,32,34,36,38,40		600,660,720,780,840,900,1000		SkillEffectDec_3
40301001	item17901040301001	item17902040301001	hero103;hero107	skill1001	4	401	item17902040301001,50		75	gemtypebadge_3			skill81037	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40302001	item17901040302001	item17902040302001	hero103;hero107	skill1003	4	402	item17902040302001,50		75	gemtypebadge_2			skill81035	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40303001	item17901040303001	item17902040303001	hero103;hero107	skill1002	4	403	item17902040303001,50		75	gemtypebadge_1			skill81033	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40304001	item17901040304001	item17902040304001	hero103;hero107	skill1006	4	404	item17902040304001,50		75	gemtypebadge_1			skill81039	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40305001	item17901040305001	item17902040305001	hero103;hero107	skill1005	4	405	item17902040305001,50		75	gemtypebadge_1	buff6_saint01::buff_5	42,45,48,51,54,57,60	skill81041			
40306001	item17901040306001	item17902040306001	hero103;hero107	skill1016	4	406	item17902040306001,50		75	gemtypebadge_2			skill81043	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40307001	item17901040307001	item17902040307001	hero103;hero107	skill1004	4	407	item17902040307001,50		75	gemtypebadge_1			skill81045	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
40308001	item17901040308001	item17902040308001	hero103;hero107	skill1008	4	408	item17902040308001,50		75	gemtypebadge_1			skill81047	900,990,1080,1170,1260,1350,1500		SkillEffectDec_3
50301001	item17901050301001	item17902050301001	hero103;hero107	skill1001	5	501	item17902050301001,50		150	gemtypebadge_1			skill81038	1200,1320,1440,1560,1680,1800,2000		SkillEffectDec_3
