流水id	技能宝石升级属性类型	等级	镶嵌属性	升级至次级所需经验	重置所需材料
int	int	int	string	int	string
id	GemUpgradeType	Level	InlayProp	NeedExp	ResetNeed
1	201	1	4,1;1,2;26,1;21,1	200	item17908000000001,1
2	201	2	4,1;1,4;26,2;21,2	200	item17908000000001,1
3	201	3	4,1;1,6;26,2;21,2	200	item17908000000001,1
4	201	4	4,1;1,8;26,3;21,3	200	item17908000000001,1
5	201	5	4,1;1,10;26,4;21,4	600	item17908000000001,1
6	201	6	4,2;1,13;26,5;21,5	600	item17908000000001,1
7	201	7	4,2;1,16;26,6;21,6	600	item17908000000001,1
8	201	8	4,2;1,19;26,7;21,7	600	item17908000000001,1
9	201	9	4,3;1,22;26,8;21,8	600	item17908000000001,1
10	201	10	4,3;1,25;26,9;21,9	1000	item17908000000001,1
11	201	11	4,3;1,29;26,10;21,10	1000	item17908000000001,1
12	201	12	4,4;1,33;26,11;21,11	1000	item17908000000001,1
13	201	13	4,4;1,37;26,13;21,13	1000	item17908000000001,1
14	201	14	4,5;1,41;26,14;21,14	1000	item17908000000001,1
15	201	15	4,5;1,45;26,15;21,15	2000	item17908000000001,1
16	201	16	4,5;1,49;26,17;21,17	2000	item17908000000001,1
17	201	17	4,6;1,53;26,18;21,18	2000	item17908000000001,1
18	201	18	4,6;1,57;26,19;21,19	2000	item17908000000001,1
19	201	19	4,7;1,61;26,21;21,21	2000	item17908000000001,1
20	201	20	4,7;1,65;26,22;21,22	800	item17908000000001,1
21	201	21	4,7;1,70;26,24;21,24	800	item17908000000001,1
22	201	22	4,8;1,75;26,25;21,25	800	item17908000000001,1
23	201	23	4,8;1,80;26,27;21,27	800	item17908000000001,1
24	201	24	4,9;1,85;26,29;21,29	800	item17908000000001,1
25	201	25	4,9;1,90;26,30;21,30	2500	item17908000000001,1
26	201	26	4,10;1,96;26,32;21,32	2500	item17908000000001,1
27	201	27	4,11;1,102;26,34;21,34	2500	item17908000000001,1
28	201	28	4,11;1,108;26,36;21,36	2500	item17908000000001,1
29	201	29	4,12;1,114;26,38;21,38	2500	item17908000000001,1
30	201	30	4,12;1,120;26,40;21,40	7000	item17908000000001,1
31	201	31	4,13;1,127;26,43;21,43	7000	item17908000000001,1
32	201	32	4,14;1,134;26,45;21,45	7000	item17908000000001,1
33	201	33	4,15;1,141;26,47;21,47	7000	item17908000000001,1
34	201	34	4,15;1,148;26,50;21,50	7000	item17908000000001,1
35	201	35	4,16;1,155;26,52;21,52	15000	item17908000000001,1
36	201	36	4,17;1,163;26,55;21,55	15000	item17908000000001,1
37	201	37	4,18;1,171;26,57;21,57	15000	item17908000000001,1
38	201	38	4,18;1,179;26,60;21,60	15000	item17908000000001,1
39	201	39	4,19;1,187;26,63;21,63	15000	item17908000000001,1
40	201	40	4,20;1,195;26,65;21,65	7500	item17908000000001,1
41	201	41	4,21;1,204;26,68;21,68	7500	item17908000000001,1
42	201	42	4,22;1,213;26,71;21,71	7500	item17908000000001,1
43	201	43	4,23;1,222;26,74;21,74	7500	item17908000000001,1
44	201	44	4,24;1,231;26,77;21,77	7500	item17908000000001,1
45	201	45	4,24;1,240;26,80;21,80	16500	item17908000000001,1
46	201	46	4,25;1,250;26,84;21,84	16500	item17908000000001,1
47	201	47	4,26;1,260;26,87;21,87	16500	item17908000000001,1
48	201	48	4,27;1,270;26,90;21,90	16500	item17908000000001,1
49	201	49	4,28;1,280;26,94;21,94	16500	item17908000000001,1
50	201	50	4,29;1,290;26,97;21,97	25500	item17908000000001,1
51	201	51	4,31;1,301;26,101;21,101	25500	item17908000000001,1
52	201	52	4,32;1,312;26,104;21,104	25500	item17908000000001,1
53	201	53	4,33;1,323;26,108;21,108	25500	item17908000000001,1
