流水	佣兵ID	阵列等级	属性库id
int	string	int	string
Id	SoldierId	Level	PropValue
1	soldier_npc_10016	1	3,25;4,25;1,250;25,60
2	soldier_npc_10016	2	3,3;4,3;1,30;25,20
3	soldier_npc_10016	3	3,3;4,3;1,30;25,20
4	soldier_npc_10016	4	3,3;4,3;1,30;25,20
5	soldier_npc_10016	5	3,3;4,3;1,30;25,20
6	soldier_npc_10016	6	3,3;4,3;1,30;25,20
7	soldier_npc_10016	7	3,3;4,3;1,30;25,20
8	soldier_npc_10016	8	3,3;4,3;1,30;25,20
9	soldier_npc_10016	9	3,3;4,3;1,30;25,20
10	soldier_npc_10016	10	3,3;4,3;1,30;25,20
11	soldier_npc_10017	1	3,25;4,25;1,250;51,60
12	soldier_npc_10017	2	3,3;4,3;1,30;51,10
13	soldier_npc_10017	3	3,3;4,3;1,30;51,10
14	soldier_npc_10017	4	3,3;4,3;1,30;51,10
15	soldier_npc_10017	5	3,3;4,3;1,30;51,10
16	soldier_npc_10017	6	3,3;4,3;1,30;51,10
17	soldier_npc_10017	7	3,3;4,3;1,30;51,10
18	soldier_npc_10017	8	3,3;4,3;1,30;51,10
19	soldier_npc_10017	9	3,3;4,3;1,30;51,10
20	soldier_npc_10017	10	3,3;4,3;1,30;51,10
21	soldier_npc_10018	1	3,25;4,25;1,250;52,60
22	soldier_npc_10018	2	3,3;4,3;1,30;52,10
23	soldier_npc_10018	3	3,3;4,3;1,30;52,10
24	soldier_npc_10018	4	3,3;4,3;1,30;52,10
25	soldier_npc_10018	5	3,3;4,3;1,30;52,10
26	soldier_npc_10018	6	3,3;4,3;1,30;52,10
27	soldier_npc_10018	7	3,3;4,3;1,30;52,10
28	soldier_npc_10018	8	3,3;4,3;1,30;52,10
29	soldier_npc_10018	9	3,3;4,3;1,30;52,10
30	soldier_npc_10018	10	3,3;4,3;1,30;52,10
31	soldier_npc_10019	1	3,25;4,25;1,250;26,60
32	soldier_npc_10019	2	3,3;4,3;1,30;26,20
