流水ID	装备ID	进阶等级	品质	进阶属性	消耗道具	消耗货币道具	图标	可升级最大等级	装备名
int	int	int	int	string	string	string	string	int	string
ID	EquipId	EnhanceLevel	Rare	PropInfo	ItemList	CurrencyItem	Icon	MaxLevel	EquipName
1	211	0	2		item177000000001,8;item177000000002,40	item1000,200000	soldier_equip_weapon_1_01	5	soldier_equip_weapon_1_01
2	212	0	2		item177000000001,5;item177000000002,25	item1000,80000	soldier_equip_1_01	5	soldier_equip_1_01
3	213	0	2		item177000000001,5;item177000000002,25	item1000,80000	soldier_equip_1_02	5	soldier_equip_1_02
4	214	0	2		item177000000001,6;item177000000002,30	item1000,100000	soldier_equip_1_03	5	soldier_equip_1_03
5	215	0	2		item177000000001,6;item177000000002,30	item1000,100000	soldier_equip_1_04	5	soldier_equip_1_04
6	216	0	2		item177000000001,4;item177000000002,20	item1000,50000	soldier_equip_1_05	5	soldier_equip_1_05
7	221	0	2		item177000000001,8;item177000000002,40	item1000,200000	soldier_equip_weapon_1_03	5	soldier_equip_weapon_1_03
8	222	0	2		item177000000001,5;item177000000002,25	item1000,80000	soldier_equip_1_01	5	soldier_equip_1_01
9	223	0	2		item177000000001,5;item177000000002,25	item1000,80000	soldier_equip_1_02	5	soldier_equip_1_02
10	224	0	2		item177000000001,6;item177000000002,30	item1000,100000	soldier_equip_1_03	5	soldier_equip_1_03
11	225	0	2		item177000000001,6;item177000000002,30	item1000,100000	soldier_equip_1_04	5	soldier_equip_1_04
12	226	0	2		item177000000001,4;item177000000002,20	item1000,50000	soldier_equip_1_05	5	soldier_equip_1_05
13	231	0	2		item177000000001,8;item177000000002,40	item1000,200000	soldier_equip_weapon_1_05	5	soldier_equip_weapon_1_05
14	232	0	2		item177000000001,5;item177000000002,25	item1000,80000	soldier_equip_1_01	5	soldier_equip_1_01
15	233	0	2		item177000000001,5;item177000000002,25	item1000,80000	soldier_equip_1_02	5	soldier_equip_1_02
16	234	0	2		item177000000001,6;item177000000002,30	item1000,100000	soldier_equip_1_03	5	soldier_equip_1_03
17	235	0	2		item177000000001,6;item177000000002,30	item1000,100000	soldier_equip_1_04	5	soldier_equip_1_04
18	236	0	2		item177000000001,4;item177000000002,20	item1000,50000	soldier_equip_1_05	5	soldier_equip_1_05
19	241	0	2		item177000000001,8;item177000000002,40	item1000,200000	soldier_equip_weapon_1_02	5	soldier_equip_weapon_1_02
20	242	0	2		item177000000001,5;item177000000002,25	item1000,80000	soldier_equip_1_01	5	soldier_equip_1_01
21	243	0	2		item177000000001,5;item177000000002,25	item1000,80000	soldier_equip_1_02	5	soldier_equip_1_02
22	244	0	2		item177000000001,6;item177000000002,30	item1000,100000	soldier_equip_1_03	5	soldier_equip_1_03
23	245	0	2		item177000000001,6;item177000000002,30	item1000,100000	soldier_equip_1_04	5	soldier_equip_1_04
24	246	0	2		item177000000001,4;item177000000002,20	item1000,50000	soldier_equip_1_05	5	soldier_equip_1_05
25	251	0	2		item177000000001,8;item177000000002,40	item1000,200000	soldier_equip_weapon_1_04	5	soldier_equip_weapon_1_04
26	252	0	2		item177000000001,5;item177000000002,25	item1000,80000	soldier_equip_1_01	5	soldier_equip_1_01
27	253	0	2		item177000000001,5;item177000000002,25	item1000,80000	soldier_equip_1_02	5	soldier_equip_1_02
28	254	0	2		item177000000001,6;item177000000002,30	item1000,100000	soldier_equip_1_03	5	soldier_equip_1_03
29	255	0	2		item177000000001,6;item177000000002,30	item1000,100000	soldier_equip_1_04	5	soldier_equip_1_04
30	256	0	2		item177000000001,4;item177000000002,20	item1000,50000	soldier_equip_1_05	5	soldier_equip_1_05
31	311	0	2		item177000000001,14;item177000000002,70	item1000,200000	soldier_equip_weapon_1_01	5	soldier_equip_weapon_1_01
32	312	0	2		item177000000001,8;item177000000002,40	item1000,80000	soldier_equip_1_01	5	soldier_equip_1_01
33	313	0	2		item177000000001,8;item177000000002,40	item1000,80000	soldier_equip_1_02	5	soldier_equip_1_02
34	314	0	2		item177000000001,10;item177000000002,50	item1000,100000	soldier_equip_1_03	5	soldier_equip_1_03
35	315	0	2		item177000000001,10;item177000000002,50	item1000,100000	soldier_equip_1_04	5	soldier_equip_1_04
36	316	0	2		item177000000001,6;item177000000002,30	item1000,50000	soldier_equip_1_05	5	soldier_equip_1_05
37	321	0	2		item177000000001,14;item177000000002,70	item1000,200000	soldier_equip_weapon_1_03	5	soldier_equip_weapon_1_03
38	322	0	2		item177000000001,8;item177000000002,40	item1000,80000	soldier_equip_1_01	5	soldier_equip_1_01
39	323	0	2		item177000000001,8;item177000000002,40	item1000,80000	soldier_equip_1_02	5	soldier_equip_1_02
40	324	0	2		item177000000001,10;item177000000002,50	item1000,100000	soldier_equip_1_03	5	soldier_equip_1_03
41	325	0	2		item177000000001,10;item177000000002,50	item1000,100000	soldier_equip_1_04	5	soldier_equip_1_04
42	326	0	2		item177000000001,6;item177000000002,30	item1000,50000	soldier_equip_1_05	5	soldier_equip_1_05
43	331	0	2		item177000000001,14;item177000000002,70	item1000,200000	soldier_equip_weapon_1_05	5	soldier_equip_weapon_1_05
44	332	0	2		item177000000001,8;item177000000002,40	item1000,80000	soldier_equip_1_01	5	soldier_equip_1_01
45	333	0	2		item177000000001,8;item177000000002,40	item1000,80000	soldier_equip_1_02	5	soldier_equip_1_02
46	334	0	2		item177000000001,10;item177000000002,50	item1000,100000	soldier_equip_1_03	5	soldier_equip_1_03
47	335	0	2		item177000000001,10;item177000000002,50	item1000,100000	soldier_equip_1_04	5	soldier_equip_1_04
48	336	0	2		item177000000001,6;item177000000002,30	item1000,50000	soldier_equip_1_05	5	soldier_equip_1_05
49	341	0	2		item177000000001,14;item177000000002,70	item1000,200000	soldier_equip_weapon_1_02	5	soldier_equip_weapon_1_02
50	342	0	2		item177000000001,8;item177000000002,40	item1000,80000	soldier_equip_1_01	5	soldier_equip_1_01
51	343	0	2		item177000000001,8;item177000000002,40	item1000,80000	soldier_equip_1_02	5	soldier_equip_1_02
52	344	0	2		item177000000001,10;item177000000002,50	item1000,100000	soldier_equip_1_03	5	soldier_equip_1_03
53	345	0	2		item177000000001,10;item177000000002,50	item1000,100000	soldier_equip_1_04	5	soldier_equip_1_04
54	346	0	2		item177000000001,6;item177000000002,30	item1000,50000	soldier_equip_1_05	5	soldier_equip_1_05
55	351	0	2		item177000000001,14;item177000000002,70	item1000,200000	soldier_equip_weapon_1_04	5	soldier_equip_weapon_1_04
56	352	0	2		item177000000001,8;item177000000002,40	item1000,80000	soldier_equip_1_01	5	soldier_equip_1_01
57	353	0	2		item177000000001,8;item177000000002,40	item1000,80000	soldier_equip_1_02	5	soldier_equip_1_02
58	354	0	2		item177000000001,10;item177000000002,50	item1000,100000	soldier_equip_1_03	5	soldier_equip_1_03
59	355	0	2		item177000000001,10;item177000000002,50	item1000,100000	soldier_equip_1_04	5	soldier_equip_1_04
