流水ID	佣兵品质	强化等级	升级需要经验值
int	int	int	int
ID	SoldierRare	Level	Exp
1	2	0	0
2	2	1	10
3	2	2	22
4	2	3	36
5	2	4	52
6	2	5	70
7	2	6	90
8	2	7	112
9	2	8	136
10	2	9	162
11	2	10	190
12	2	11	220
13	2	12	252
14	2	13	285
15	2	14	320
16	2	15	357
17	2	16	396
18	2	17	439
19	2	18	486
20	2	19	537
21	2	20	592
22	2	21	651
23	2	22	720
24	2	23	799
25	2	24	888
26	2	25	987
27	2	26	1105
28	2	27	1243
29	2	28	1401
30	2	29	1578
31	2	30	1775
32	3	0	0
33	3	1	30
34	3	2	65
35	3	3	106
36	3	4	153
37	3	5	206
38	3	6	265
39	3	7	330
40	3	8	401
41	3	9	478
42	3	10	561
43	3	11	650
44	3	12	745
45	3	13	845
46	3	14	951
47	3	15	1063
48	3	16	1181
49	3	17	1311
50	3	18	1453
51	3	19	1607
52	3	20	1772
53	3	21	1949
54	3	22	2156
55	3	23	2392
56	3	24	2658
57	3	25	2954
58	3	26	3309
59	3	27	3723
60	3	28	4196
61	3	29	4728
62	3	30	5319
63	4	0	0
64	4	1	118
65	4	2	260
66	4	3	425
67	4	4	614
68	4	5	827
69	4	6	1063
70	4	7	1323
71	4	8	1607
72	4	9	1914
73	4	10	2245
74	4	11	2600
75	4	12	2978
76	4	13	3380
77	4	14	3806
78	4	15	4255
79	4	16	4728
80	4	17	5248
81	4	18	5815
82	4	19	6430
83	4	20	7092
84	4	21	7801
85	4	22	8628
86	4	23	9574
87	4	24	10638
88	4	25	11820
89	4	26	13238
90	4	27	14893
91	4	28	16784
92	4	29	18912
93	4	30	21276
