流水Id	配置ID	背景类型	时间类型	生效起始点	显示时间方式	时间语言包	免费倒计时	最终保底次数	单次召唤消耗
int	int	int	int	string	int	string	int	string	string
Id	AllocationShowId	BgType	TimeSwitch	EffectDate	TimeShowType	TimeLanguage	FreeTime	FinalEndNum	CostItems
1	3	2	0		0		86400	100;200;300	item105000000029,1
2	2	2	1	2020,02,20;2020,02,26	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
3	4	2	1	2020,03,05;2020,03,11	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
4	5	2	1	2020,03,12;2020,03,18	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
5	6	2	1	2020,03,19;2020,03,25	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
6	7	2	1	2020,03,26;2020,04,01	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
7	8	2	1	2020,04,02;2020,04,08	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
8	9	2	1	2020,04,09;2020,04,15	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
9	10	2	1	2000,04,16;2000,04,22	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
10	11	2	1	2020,04,16;2020,04,22	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
11	12	2	1	2020,04,23;2020,04,29	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
12	13	2	1	2020,04,30;2020,05,06	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
13	14	2	1	2020,05,07;2020,05,13	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
14	15	2	1	2020,05,14;2020,05,20	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
15	16	2	1	2020,05,21;2020,05,27	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
16	17	2	1	2020,05,28;2020,06,03	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
17	18	2	1	2020,06,04;2020,06,10	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
18	19	2	1	2020,06,11;2020,06,17	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
19	20	2	1	2020,06,18;2020,06,24	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
20	21	2	1	2020,06,25;2020,07,01	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
21	22	2	1	2020,07,02;2020,07,08	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
22	23	2	1	2020,07,09;2020,07,15	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
23	24	2	1	2020,07,16;2020,07,22	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
24	25	2	1	2020,07,23;2020,07,29	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
25	26	2	1	2020,07,30;2020,08,05	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
26	27	2	1	2020,08,06;2020,08,12	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
27	28	2	1	2020,08,13;2020,08,19	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
28	29	2	1	2020,08,20;2020,08,22	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
29	30	2	1	2020,08,23;2020,08,25	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
30	31	2	1	2020,08,26;2020,08,28	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
31	32	2	1	2020,08,29;2020,08,31	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
32	33	2	1	2020,09,01;2020,09,03	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
33	34	2	1	2020,09,04;2020,09,06	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
34	35	2	1	2020,09,07;2020,09,09	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
35	36	2	1	2020,09,10;2020,09,12	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
36	37	2	1	2020,09,13;2020,09,15	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
37	38	2	1	2020,09,16;2020,09,18	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
38	39	2	1	2020,09,19;2020,09,21	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
39	40	2	1	2020,09,22;2020,09,24	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
40	41	2	1	2020,09,25;2020,09,27	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
41	42	2	1	2020,09,28;2020,09,30	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
42	43	2	1	2020,10,01;2020,10,03	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
43	44	2	1	2020,10,04;2020,10,06	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
44	45	2	1	2020,10,07;2020,10,09	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
45	46	2	1	2020,10,10;2020,10,12	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
46	47	2	1	2020,10,13;2020,10,15	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
47	48	2	1	2020,10,16;2020,10,18	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
48	49	2	1	2020,10,19;2020,10,21	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
49	50	2	1	2020,10,22;2020,10,24	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
50	51	2	1	2020,10,25;2020,10,27	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
51	52	2	1	2020,10,28;2020,10,30	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
52	53	2	1	2020,10,31;2020,11,02	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
53	54	2	1	2020,11,03;2020,11,05	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
54	55	2	1	2020,11,06;2020,11,08	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
55	56	2	1	2020,11,09;2020,11,11	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
56	57	2	1	2020,11,12;2020,11,14	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
57	58	2	1	2020,11,15;2020,11,17	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
58	59	2	1	2020,11,18;2020,11,20	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
59	60	2	1	2020,11,21;2020,11,23	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
60	61	2	1	2020,11,24;2020,11,26	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
61	62	2	1	2020,11,27;2020,11,29	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
62	63	2	1	2020,11,30;2020,12,02	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
63	64	2	1	2020,12,03;2020,12,05	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
64	65	2	1	2020,12,06;2020,12,08	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
65	66	2	1	2020,12,09;2020,12,11	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
66	67	2	1	2020,12,12;2020,12,14	2	Soldier_Lottery_RangeTime	86400	100;200;300	item105000000029,1
