流水id	npc编号	佣兵等级	属性ID
int	string	int	string
Id	NpcId	SoldierLevel	PropId
1	soldier_npc_10052	1	400223001
2	soldier_npc_10001	1	1400000000
3	soldier_npc_10001	2	1400000001
4	soldier_npc_10001	3	1400000002
5	soldier_npc_10001	4	1400000003
6	soldier_npc_10001	5	1400000004
7	soldier_npc_10001	6	1400000005
8	soldier_npc_10001	7	1400000006
9	soldier_npc_10001	8	1400000007
10	soldier_npc_10001	9	1400000008
11	soldier_npc_10001	10	1400000009
12	soldier_npc_10001	11	1400000010
13	soldier_npc_10001	12	1400000011
14	soldier_npc_10001	13	1400000012
15	soldier_npc_10001	14	1400000013
16	soldier_npc_10001	15	1400000014
17	soldier_npc_10001	16	1400000015
18	soldier_npc_10001	17	1400000016
19	soldier_npc_10001	18	1400000017
20	soldier_npc_10001	19	1400000018
21	soldier_npc_10001	20	1400000019
22	soldier_npc_10001	21	1400000020
23	soldier_npc_10001	22	1400000021
24	soldier_npc_10001	23	1400000022
25	soldier_npc_10001	24	1400000023
26	soldier_npc_10001	25	1400000024
27	soldier_npc_10001	26	1400000025
28	soldier_npc_10001	27	1400000026
29	soldier_npc_10001	28	1400000027
30	soldier_npc_10001	29	1400000028
31	soldier_npc_10001	30	1400000029
32	soldier_npc_10001	31	1400000030
33	soldier_npc_10001	32	1400000031
34	soldier_npc_10001	33	1400000032
35	soldier_npc_10001	34	1400000033
36	soldier_npc_10001	35	1400000034
37	soldier_npc_10001	36	1400000035
38	soldier_npc_10001	37	1400000036
39	soldier_npc_10001	38	1400000037
40	soldier_npc_10001	39	1400000038
41	soldier_npc_10001	40	1400000039
42	soldier_npc_10001	41	1400000040
43	soldier_npc_10001	42	1400000041
44	soldier_npc_10001	43	1400000042
45	soldier_npc_10001	44	1400000043
46	soldier_npc_10001	45	1400000044
47	soldier_npc_10001	46	1400000045
48	soldier_npc_10001	47	1400000046
49	soldier_npc_10001	48	1400000047
50	soldier_npc_10001	49	1400000048
51	soldier_npc_10001	50	1400000049
52	soldier_npc_10001	51	1400000050
53	soldier_npc_10001	52	1400000051
54	soldier_npc_10001	53	1400000052
55	soldier_npc_10001	54	1400000053
56	soldier_npc_10001	55	1400000054
