流水id	npc编号	技能分类	灵魂技能解锁需佣兵等级	灵魂技能Id	灵魂技能等级	升级灵魂技能所需消耗
int	string	int	int	string	int	string
Id	SoldierId	SkillType	NeedLevel	SoulSkillId	SoulSkillLev	SkillExpend
1	soldier_npc_10001	1	0	skill301126	1	
2	soldier_npc_10001	1	0	skill301126	2	
3	soldier_npc_10001	1	0	skill301126	3	
4	soldier_npc_10001	1	0	skill301126	4	
5	soldier_npc_10001	1	0	skill301126	5	
6	soldier_npc_10001	1	0	skill301126	6	
7	soldier_npc_10001	1	0	skill301126	7	
8	soldier_npc_10001	1	0	skill301126	8	
9	soldier_npc_10001	1	0	skill301126	9	
10	soldier_npc_10001	1	0	skill301126	10	
11	soldier_npc_10001	2	35	skill301128	1	
12	soldier_npc_10001	2	35	skill301128	2	item105000000068,1
13	soldier_npc_10001	2	35	skill301128	3	item105000000068,2
14	soldier_npc_10001	2	35	skill301128	4	item105000000068,3
15	soldier_npc_10001	2	41	skill301128	5	item105000000068,4
16	soldier_npc_10001	2	41	skill301128	6	item105000000068,5
17	soldier_npc_10001	2	61	skill301128	7	item105000000068,6
18	soldier_npc_10001	2	61	skill301128	8	item105000000068,7
19	soldier_npc_10001	2	71	skill301128	9	item105000000068,8
20	soldier_npc_10001	2	71	skill301128	10	item105000000068,9
21	soldier_npc_10001	2	35	skill301124	1	
22	soldier_npc_10001	2	35	skill301124	2	item105000000069,1
23	soldier_npc_10001	2	35	skill301124	3	item105000000069,2
24	soldier_npc_10001	2	35	skill301124	4	item105000000069,3
25	soldier_npc_10001	2	41	skill301124	5	item105000000069,4
26	soldier_npc_10001	2	41	skill301124	6	item105000000069,5
27	soldier_npc_10001	2	61	skill301124	7	item105000000069,6
28	soldier_npc_10001	2	61	skill301124	8	item105000000069,7
29	soldier_npc_10001	2	71	skill301124	9	item105000000069,8
30	soldier_npc_10001	2	71	skill301124	10	item105000000069,9
31	soldier_npc_10001	2	35	skill301127	1	
32	soldier_npc_10001	2	35	skill301127	2	item105000000070,1
33	soldier_npc_10001	2	35	skill301127	3	item105000000070,2
34	soldier_npc_10001	2	35	skill301127	4	item105000000070,3
35	soldier_npc_10001	2	41	skill301127	5	item105000000070,4
36	soldier_npc_10001	2	41	skill301127	6	item105000000070,5
37	soldier_npc_10001	2	61	skill301127	7	item105000000070,6
38	soldier_npc_10001	2	61	skill301127	8	item105000000070,7
39	soldier_npc_10001	2	71	skill301127	9	item105000000070,8
40	soldier_npc_10001	2	71	skill301127	10	item105000000070,9
41	soldier_npc_10001	2	35	skill301125	1	
42	soldier_npc_10001	2	35	skill301125	2	item105000000071,1
43	soldier_npc_10001	2	35	skill301125	3	item105000000071,2
44	soldier_npc_10001	2	35	skill301125	4	item105000000071,3
45	soldier_npc_10001	2	41	skill301125	5	item105000000071,4
46	soldier_npc_10001	2	41	skill301125	6	item105000000071,5
47	soldier_npc_10001	2	61	skill301125	7	item105000000071,6
48	soldier_npc_10001	2	61	skill301125	8	item105000000071,7
49	soldier_npc_10001	2	71	skill301125	9	item105000000071,8
50	soldier_npc_10001	2	71	skill301125	10	item105000000071,9
51	soldier_npc_10001	3	0	skill300002	1	
52	soldier_npc_10001	3	0	skill300003	1	
53	soldier_npc_10002	1	0	skill301113	1	
54	soldier_npc_10002	1	0	skill301113	2	
55	soldier_npc_10002	1	0	skill301113	3	
56	soldier_npc_10002	1	0	skill301113	4	
57	soldier_npc_10002	1	0	skill301113	5	
58	soldier_npc_10002	1	0	skill301113	6	
59	soldier_npc_10002	1	0	skill301113	7	
60	soldier_npc_10002	1	0	skill301113	8	
61	soldier_npc_10002	1	0	skill301113	9	
62	soldier_npc_10002	1	0	skill301113	10	
63	soldier_npc_10002	2	35	skill301114	1	
64	soldier_npc_10002	2	35	skill301114	2	item105000000068,1
65	soldier_npc_10002	2	35	skill301114	3	item105000000068,2
66	soldier_npc_10002	2	35	skill301114	4	item105000000068,3
67	soldier_npc_10002	2	41	skill301114	5	item105000000068,4
68	soldier_npc_10002	2	41	skill301114	6	item105000000068,5
69	soldier_npc_10002	2	61	skill301114	7	item105000000068,6
70	soldier_npc_10002	2	61	skill301114	8	item105000000068,7
71	soldier_npc_10002	2	71	skill301114	9	item105000000068,8
72	soldier_npc_10002	2	71	skill301114	10	item105000000068,9
73	soldier_npc_10002	2	35	skill301115	1	
74	soldier_npc_10002	2	35	skill301115	2	item105000000069,1
75	soldier_npc_10002	2	35	skill301115	3	item105000000069,2
76	soldier_npc_10002	2	35	skill301115	4	item105000000069,3
77	soldier_npc_10002	2	41	skill301115	5	item105000000069,4
78	soldier_npc_10002	2	41	skill301115	6	item105000000069,5
79	soldier_npc_10002	2	61	skill301115	7	item105000000069,6
80	soldier_npc_10002	2	61	skill301115	8	item105000000069,7
81	soldier_npc_10002	2	71	skill301115	9	item105000000069,8
82	soldier_npc_10002	2	71	skill301115	10	item105000000069,9
83	soldier_npc_10002	2	35	skill301116	1	
84	soldier_npc_10002	2	35	skill301116	2	item105000000070,1
85	soldier_npc_10002	2	35	skill301116	3	item105000000070,2
86	soldier_npc_10002	2	35	skill301116	4	item105000000070,3
87	soldier_npc_10002	2	41	skill301116	5	item105000000070,4
88	soldier_npc_10002	2	41	skill301116	6	item105000000070,5
89	soldier_npc_10002	2	61	skill301116	7	item105000000070,6
90	soldier_npc_10002	2	61	skill301116	8	item105000000070,7
91	soldier_npc_10002	2	71	skill301116	9	item105000000070,8
92	soldier_npc_10002	2	71	skill301116	10	item105000000070,9
93	soldier_npc_10002	2	35	skill301118	1	
94	soldier_npc_10002	2	35	skill301118	2	item105000000071,1
95	soldier_npc_10002	2	35	skill301118	3	item105000000071,2
96	soldier_npc_10002	2	35	skill301118	4	item105000000071,3
97	soldier_npc_10002	2	41	skill301118	5	item105000000071,4
98	soldier_npc_10002	2	41	skill301118	6	item105000000071,5
99	soldier_npc_10002	2	61	skill301118	7	item105000000071,6
100	soldier_npc_10002	2	61	skill301118	8	item105000000071,7
101	soldier_npc_10002	2	71	skill301118	9	item105000000071,8
102	soldier_npc_10002	2	71	skill301118	10	item105000000071,9
103	soldier_npc_10002	3	0	skill300001	1	
104	soldier_npc_10002	3	0	skill300004	1	
105	soldier_npc_10003	1	0	skill301137	1	
106	soldier_npc_10003	1	0	skill301137	2	
107	soldier_npc_10003	1	0	skill301137	3	
108	soldier_npc_10003	1	0	skill301137	4	
109	soldier_npc_10003	1	0	skill301137	5	
110	soldier_npc_10003	1	0	skill301137	6	
111	soldier_npc_10003	1	0	skill301137	7	
112	soldier_npc_10003	1	0	skill301137	8	
113	soldier_npc_10003	1	0	skill301137	9	
114	soldier_npc_10003	1	0	skill301137	10	
115	soldier_npc_10003	2	35	skill301138	1	
116	soldier_npc_10003	2	35	skill301138	2	item105000000068,1
117	soldier_npc_10003	2	35	skill301138	3	item105000000068,2
118	soldier_npc_10003	2	35	skill301138	4	item105000000068,3
119	soldier_npc_10003	2	41	skill301138	5	item105000000068,4
