灵魂等级	需求灵魂总值下限	需求灵魂总值上限
int	int	int
SoulLevel	SoulPropmin	SoulPropmax
0	0	9
1	10	24
2	25	44
3	45	69
4	70	99
5	100	134
6	135	174
7	175	219
8	220	269
9	270	324
10	325	384
11	385	449
12	450	519
13	520	594
14	595	674
15	675	759
16	760	849
17	850	944
18	945	1044
19	1045	1154
20	1155	1274
21	1275	1404
22	1405	1544
23	1545	1694
24	1695	1854
25	1855	2024
26	2025	2204
27	2205	2394
28	2395	2594
29	2595	2804
30	2805	3024
31	3025	3254
32	3255	3494
33	3495	3744
34	3745	4004
35	4005	4274
36	4275	4554
37	4555	4844
38	4845	5144
39	5145	5454
40	5455	5784
41	5785	6134
42	6135	6504
43	6505	6894
44	6895	7304
45	7305	7734
46	7735	8184
47	8185	8654
48	8655	9144
49	9145	9654
50	9655	10184
51	10185	10734
52	10735	11304
53	11305	11894
54	11895	12504
55	12505	13134
56	13135	13784
57	13785	14454
58	14455	15144
59	15145	15854
60	15855	16584
61	16585	17334
62	17335	18104
63	18105	18894
64	18895	19704
65	19705	20534
66	20535	21384
67	21385	22254
68	22255	23144
69	23145	24054
70	24055	24984
71	24985	25934
72	25935	26904
73	26905	27894
74	27895	28904
75	28905	29934
76	29935	30984
77	30985	32054
78	32055	33144
79	33145	34254
80	34255	35384
81	35385	36534
82	36535	37704
83	37705	38894
84	38895	40104
85	40105	41334
86	41335	42584
87	42585	43854
88	43855	45144
89	45145	46454
90	46455	47784
91	47785	49134
92	49135	50504
93	50505	51894
94	51895	53304
95	53305	54734
96	54735	56184
97	56185	57654
98	57655	59144
99	59145	60654
100	60655	99999999
