部位ID	孔数	共鸣ID
int	int	string
Id	Hole	ResonanaceId
1	4	1001001,1001002,1001003,1001004,1001005,1001006,1001007,1001008,1001009,1001010,1001011
2	4	1001001,1001002,1001003,1001004,1001005,1001006,1001007,1001008,1001009,1001010,1001011
3	3	1002001,1002002,1002003,1002004,1002005,1002006,1002007
4	4	1002001,1002002,1002003,1002004,1002005,1002006,1002007,1002008,1002009,1002010,1002011
5	3	1001001,1001002,1001003,1001004,1001005,1001006,1001007
6	4	1002001,1002002,1002003,1002004,1002005,1002006,1002007,1002008,1002009,1002010,1002011
7	5	1002001,1002002,1002003,1002004,1002005,1002006,1002007,1002008,1002009,1002010,1002011,1002012,1002013,1002014,1002015
8	5	1002001,1002002,1002003,1002004,1002005,1002006,1002007,1002008,1002009,1002010,1002011,1002012,1002013,1002014,1002015
9	5	1001001,1001002,1001003,1001004,1001005,1001006,1001007,1001008,1001009,1001010,1001011,1001012,1001013,1001014,1001015
10	5	1001001,1001002,1001003,1001004,1001005,1001006,1001007,1001008,1001009,1001010,1001011,1001012,1001013,1001014,1001015
