流水ID	共鸣ID	等级	道具品质	基础属性加成	百分比加成属性id	共鸣百分比加成语言说明	共鸣百分比加成语言	推荐标识	共鸣名称	共鸣icon	六维1万分比	六维2万分比	六维3万分比	六维4万分比	六维5万分比	六维6万分比	共鸣六维百分比加成	共鸣六维百分比加成	共鸣激活buff效果	buff加成战力
int	int	int	string	string	string	string	string	int	string	string	int	int	int	int	int	int	string	string	string	int
Id	EffectId	Level	Combination	BaseProp	PercentProp	ResonancePropName	ResonancePropDesc	Tip	ResonanceName	ResonanceIcon	SixDimensionsRate1	SixDimensionsRate2	SixDimensionsRate3	SixDimensionsRate4	SixDimensionsRate5	SixDimensionsRate6	ResonanceSixPropName	ResonanceSixPropDesc	ResonanceEffect	CombatEffectiveness
1	1001001	1	2,1;3,1	3,30				1	ResonanceName1001001	SoulMedalResonance_001	0	2000	0	2000	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
2	1001001	2	2,1;3,1	3,35				1	ResonanceName1001001	SoulMedalResonance_001	0	2100	0	2100	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
3	1001001	3	2,1;3,1	3,40				1	ResonanceName1001001	SoulMedalResonance_001	0	2200	0	2200	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
4	1001001	4	2,1;3,1	3,45				1	ResonanceName1001001	SoulMedalResonance_001	0	2300	0	2300	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
5	1001001	5	2,1;3,1	3,50				1	ResonanceName1001001	SoulMedalResonance_001	0	2400	0	2400	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
6	1001001	6	2,1;3,1	3,55				1	ResonanceName1001001	SoulMedalResonance_001	0	2500	0	2500	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
7	1001001	7	2,1;3,1	3,60				1	ResonanceName1001001	SoulMedalResonance_001	0	3000	0	3000	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
8	1001001	8	2,1;3,1	3,65				1	ResonanceName1001001	SoulMedalResonance_001	0	3600	0	3600	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
9	1001001	9	2,1;3,1	3,70				1	ResonanceName1001001	SoulMedalResonance_001	0	4200	0	4200	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
10	1001001	10	2,1;3,1	3,75				1	ResonanceName1001001	SoulMedalResonance_001	0	5000	0	5000	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
11	1001002	1	3,2	3,35				0	ResonanceName1001002	SoulMedalResonance_002	0	2000	0	2000	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
12	1001002	2	3,2	3,40				0	ResonanceName1001002	SoulMedalResonance_002	0	2100	0	2100	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
13	1001002	3	3,2	3,45				0	ResonanceName1001002	SoulMedalResonance_002	0	2200	0	2200	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
14	1001002	4	3,2	3,50				0	ResonanceName1001002	SoulMedalResonance_002	0	2300	0	2300	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
15	1001002	5	3,2	3,55				0	ResonanceName1001002	SoulMedalResonance_002	0	2400	0	2400	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
16	1001002	6	3,2	3,60				0	ResonanceName1001002	SoulMedalResonance_002	0	2500	0	2500	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
17	1001002	7	3,2	3,65				0	ResonanceName1001002	SoulMedalResonance_002	0	3000	0	3000	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
18	1001002	8	3,2	3,70				0	ResonanceName1001002	SoulMedalResonance_002	0	3600	0	3600	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
19	1001002	9	3,2	3,75				0	ResonanceName1001002	SoulMedalResonance_002	0	4200	0	4200	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
20	1001002	10	3,2	3,80				0	ResonanceName1001002	SoulMedalResonance_002	0	5000	0	5000	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc		0
21	1001003	1	3,1;4,1	3,40				1	ResonanceName1001003	SoulMedalResonance_003	0	2400	0	2400	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
22	1001003	2	3,1;4,1	3,45				1	ResonanceName1001003	SoulMedalResonance_003	0	2500	0	2500	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
23	1001003	3	3,1;4,1	3,50				1	ResonanceName1001003	SoulMedalResonance_003	0	2700	0	2700	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
24	1001003	4	3,1;4,1	3,55				1	ResonanceName1001003	SoulMedalResonance_003	0	2800	0	2800	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
25	1001003	5	3,1;4,1	3,60				1	ResonanceName1001003	SoulMedalResonance_003	0	2900	0	2900	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
26	1001003	6	3,1;4,1	3,65				1	ResonanceName1001003	SoulMedalResonance_003	0	3100	0	3100	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
27	1001003	7	3,1;4,1	3,70				1	ResonanceName1001003	SoulMedalResonance_003	0	3600	0	3600	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
28	1001003	8	3,1;4,1	3,75				1	ResonanceName1001003	SoulMedalResonance_003	0	4300	0	4300	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
29	1001003	9	3,1;4,1	3,80				1	ResonanceName1001003	SoulMedalResonance_003	0	5000	0	5000	0	0	ResonanceAtkSixDimensionsName	ResonanceAtkSixDimensionsDesc	soulmedal::buff_ATT_01	400
