对应道具id	未鉴定道具id	类型	品质	套装id	重铸属性库预览
string	string	int	int	int	int
ItemId	UnKnownItemId	Type	Rare	SetId	RandomPropRemakeShow
item176000100112	item176100100112	1	2	1001	302
item176000100122	item176100100122	2	2	1001	302
item176000100132	item176100100132	3	2	1001	302
item176000100142	item176100100142	4	2	1001	302
item176000100152	item176100100152	5	2	1001	302
item176000100162	item176100100162	6	2	1001	302
item176000100113	item176100100113	1	3	1001	303
item176000100123	item176100100123	2	3	1001	303
item176000100133	item176100100133	3	3	1001	303
item176000100143	item176100100143	4	3	1001	303
item176000100153	item176100100153	5	3	1001	303
item176000100163	item176100100163	6	3	1001	303
item176000100114	item176100100114	1	4	1001	304
item176000100124	item176100100124	2	4	1001	304
item176000100134	item176100100134	3	4	1001	304
item176000100144	item176100100144	4	4	1001	304
item176000100154	item176100100154	5	4	1001	304
item176000100164	item176100100164	6	4	1001	304
item176000100212	item176100100212	1	2	1002	302
item176000100222	item176100100222	2	2	1002	302
item176000100232	item176100100232	3	2	1002	302
item176000100242	item176100100242	4	2	1002	302
item176000100252	item176100100252	5	2	1002	302
item176000100262	item176100100262	6	2	1002	302
item176000100213	item176100100213	1	3	1002	303
item176000100223	item176100100223	2	3	1002	303
item176000100233	item176100100233	3	3	1002	303
item176000100243	item176100100243	4	3	1002	303
item176000100253	item176100100253	5	3	1002	303
item176000100263	item176100100263	6	3	1002	303
item176000100214	item176100100214	1	4	1002	304
item176000100224	item176100100224	2	4	1002	304
item176000100234	item176100100234	3	4	1002	304
item176000100244	item176100100244	4	4	1002	304
item176000100254	item176100100254	5	4	1002	304
item176000100264	item176100100264	6	4	1002	304
item176000100312	item176100100312	1	2	1003	302
item176000100322	item176100100322	2	2	1003	302
item176000100332	item176100100332	3	2	1003	302
item176000100342	item176100100342	4	2	1003	302
item176000100352	item176100100352	5	2	1003	302
item176000100362	item176100100362	6	2	1003	302
item176000100313	item176100100313	1	3	1003	303
item176000100323	item176100100323	2	3	1003	303
item176000100333	item176100100333	3	3	1003	303
item176000100343	item176100100343	4	3	1003	303
item176000100353	item176100100353	5	3	1003	303
item176000100363	item176100100363	6	3	1003	303
item176000100314	item176100100314	1	4	1003	304
item176000100324	item176100100324	2	4	1003	304
item176000100334	item176100100334	3	4	1003	304
item176000100344	item176100100344	4	4	1003	304
item176000100354	item176100100354	5	4	1003	304
item176000100364	item176100100364	6	4	1003	304
item176000100412	item176100100412	1	2	1004	302
item176000100422	item176100100422	2	2	1004	302
item176000100432	item176100100432	3	2	1004	302
item176000100442	item176100100442	4	2	1004	302
item176000100452	item176100100452	5	2	1004	302
item176000100462	item176100100462	6	2	1004	302
item176000100413	item176100100413	1	3	1004	303
item176000100423	item176100100423	2	3	1004	303
item176000100433	item176100100433	3	3	1004	303
item176000100443	item176100100443	4	3	1004	303
item176000100453	item176100100453	5	3	1004	303
item176000100463	item176100100463	6	3	1004	303
item176000100414	item176100100414	1	4	1004	304
item176000100424	item176100100424	2	4	1004	304
item176000100434	item176100100434	3	4	1004	304
item176000100444	item176100100444	4	4	1004	304
item176000100454	item176100100454	5	4	1004	304
item176000100464	item176100100464	6	4	1004	304
item176000100512	item176100100512	1	2	1005	302
item176000100522	item176100100522	2	2	1005	302
item176000100532	item176100100532	3	2	1005	302
item176000100542	item176100100542	4	2	1005	302
item176000100552	item176100100552	5	2	1005	302
item176000100562	item176100100562	6	2	1005	302
item176000100513	item176100100513	1	3	1005	303
item176000100523	item176100100523	2	3	1005	303
item176000100533	item176100100533	3	3	1005	303
item176000100543	item176100100543	4	3	1005	303
item176000100553	item176100100553	5	3	1005	303
item176000100563	item176100100563	6	3	1005	303
item176000100514	item176100100514	1	4	1005	304
item176000100524	item176100100524	2	4	1005	304
item176000100534	item176100100534	3	4	1005	304
item176000100544	item176100100544	4	4	1005	304
item176000100554	item176100100554	5	4	1005	304
item176000100564	item176100100564	6	4	1005	304
item176000100612	item176100100612	1	2	1006	302
item176000100622	item176100100622	2	2	1006	302
item176000100632	item176100100632	3	2	1006	302
item176000100642	item176100100642	4	2	1006	302
item176000100652	item176100100652	5	2	1006	302
item176000100662	item176100100662	6	2	1006	302
item176000100613	item176100100613	1	3	1006	303
item176000100623	item176100100623	2	3	1006	303
item176000100633	item176100100633	3	3	1006	303
item176000100643	item176100100643	4	3	1006	303
item176000100653	item176100100653	5	3	1006	303
item176000100663	item176100100663	6	3	1006	303
