流水	套装id	套装描述	激活数量	激活属性	全身魂器属性加成
int	int	string	int	string	string
Id	SetId	SetDes	ActiveNum	Prop	SpecialProp
1	1001	SetDes_1001_2	2	40,70;41,70;42,70	
2	1001	SetDes_1001_4	4	40,70;41,70;42,70	40,5000;41,5000;42,5000
3	1001	SetDes_1001_6	6	40,70;41,70;42,70	40,5000;41,5000;42,5000
4	1002	SetDes_1002_2	2	40,70;41,70;42,70	
5	1002	SetDes_1002_4	4	40,70;41,70;42,70	40,5000;41,5000;42,5000
6	1002	SetDes_1002_6	6	40,70;41,70;42,70	40,5000;41,5000;42,5000
7	1003	SetDes_1003_2	2	40,70;41,70;42,70	
8	1003	SetDes_1003_4	4	40,70;41,70;42,70	40,5000;41,5000;42,5000
9	1003	SetDes_1003_6	6	40,70;41,70;42,70	40,5000;41,5000;42,5000
10	1004	SetDes_1004_2	2	40,70;41,70;42,70	
11	1004	SetDes_1004_4	4	40,70;41,70;42,70	40,5000;41,5000;42,5000
12	1004	SetDes_1004_6	6	40,70;41,70;42,70	40,5000;41,5000;42,5000
13	1005	SetDes_1005_2	2	40,70;41,70;42,70	
14	1005	SetDes_1005_4	4	40,70;41,70;42,70	40,5000;41,5000;42,5000
15	1005	SetDes_1005_6	6	40,70;41,70;42,70	40,5000;41,5000;42,5000
16	1006	SetDes_1006_2	2	40,70;41,70;42,70	
17	1006	SetDes_1006_4	4	40,70;41,70;42,70	40,5000;41,5000;42,5000
18	1006	SetDes_1006_6	6	40,70;41,70;42,70	40,5000;41,5000;42,5000
19	1007	SetDes_1007_2	2	40,70;41,70;42,70	
20	1007	SetDes_1007_4	4	40,70;41,70;42,70	40,5000;41,5000;42,5000
21	1007	SetDes_1007_6	6	40,70;41,70;42,70	40,5000;41,5000;42,5000
22	1008	SetDes_1008_2	2	40,70;41,70;42,70	
23	1008	SetDes_1008_4	4	40,70;41,70;42,70	40,5000;41,5000;42,5000
24	1008	SetDes_1008_6	6	40,70;41,70;42,70	40,5000;41,5000;42,5000
25	1009	SetDes_1009_2	2	40,70;41,70;42,70	
26	1009	SetDes_1009_4	4	40,70;41,70;42,70	40,5000;41,5000;42,5000
27	1009	SetDes_1009_6	6	40,70;41,70;42,70	40,5000;41,5000;42,5000
28	1010	SetDes_1010_2	2	40,70;41,70;42,70	
29	1010	SetDes_1010_4	4	40,70;41,70;42,70	40,5000;41,5000;42,5000
30	1010	SetDes_1010_6	6	40,70;41,70;42,70	40,5000;41,5000;42,5000
31	1011	SetDes_1011_2	2	40,70;41,70;42,70	
32	1011	SetDes_1011_4	4	40,70;41,70;42,70	40,5000;41,5000;42,5000
33	1011	SetDes_1011_6	6	40,70;41,70;42,70	40,5000;41,5000;42,5000
34	1012	SetDes_1012_2	2	40,70;41,70;42,70	
35	1012	SetDes_1012_4	4	40,70;41,70;42,70	40,5000;41,5000;42,5000
36	1012	SetDes_1012_6	6	40,70;41,70;42,70	40,5000;41,5000;42,5000
