宝石id	未鉴定魂石Id	共鸣数量	宝石品质	档次	类型	基础属性id	基础属性下限	基础属性上限	是否只能镶嵌一个	分解经验	分解道具	附灵道具消耗	附灵货币消耗	进阶后魂石ID	进阶消耗道具	进阶货币消耗	进阶角色等级限制	进阶升级限制	魂石分组	魂石进阶提示	升星后魂石ID	升星消耗道具	升星货币消耗	升星角色等级限制	魂石套装ID	魂石套装部位	参数废弃	不可批量分解标记
string	string	string	int	int	int	int	int	int	bool	int	string	string	string	string	string	string	int	int	int	string	string	string	string	int	int	string	int	int
ConfigId	UnidentifiedStoneId	SuitPropNum	Rare	Grade	Type	BasicPropId	PropMin	PropMax	IsOnlyInlayOne	ResolveExp	ResolveItem	SpiritItemCost	SpiritCurrencyCost	SoulstoneAdvancedID	SoulstoneAdvancedItemCost	SoulstoneAdvancedCurrencyCost	SoulstoneAdvancedHeroLevel	SoulstoneAdvancedLevel	SoulstoneGroupID	SoulstoneTips	SoulstoneStarUpID	SoulstoneStarUpItemCost	SoulstoneStarUpCurrencyCost	SoulstoneStarUpHeroLevel	SuitID	SuitEquipParts	SuitEquipPart	NoReslove
item107000020101	item107100020101	3-4	1	0	1	3	12	16		10							0	0	1					0	0		0	0
item107000020102	item107100020102	3-4	1	0	1	3	12	16		10							0	0	2					0	0		0	0
item107000020201	item107100020201	3-4	1	0	2	4	12	16		10							0	0	3					0	0		0	0
item107000020202	item107100020202	3-4	1	0	2	4	12	16		10							0	0	4					0	0		0	0
item107000020301	item107100020301	3-4	1	0	3	1	120	160		10							0	0	5					0	0		0	0
item107000020302	item107100020302	3-4	1	0	3	1	120	160		10							0	0	6					0	0		0	0
item107000030101	item107100030101	3-4	2	0	1	3	18	23		20							0	0	7					0	0		0	0
item107000030102	item107100030102	3-4	2	0	1	3	18	23		20							0	0	8					0	0		0	0
item107000030103	item107100030103	3-4	2	0	1	3	18	23		20							0	0	9					0	0		0	0
item107000030201	item107100030201	3-4	2	0	2	4	18	23		20							0	0	10					0	0		0	0
item107000030202	item107100030202	3-4	2	0	2	4	18	23		20							0	0	11					0	0		0	0
item107000030203	item107100030203	3-4	2	0	2	4	18	23		20							0	0	12					0	0		0	0
item107000030301	item107100030301	3-4	2	0	3	1	180	230		20							0	0	13					0	0		0	0
item107000030302	item107100030302	3-4	2	0	3	1	180	230		20							0	0	14					0	0		0	0
item107000030303	item107100030303	3-4	2	0	3	1	180	230		20							0	0	15					0	0		0	0
item107000041101	item107100041101	3-4	3	1	1	3	28	32		40		item107300000001,1	1,30000				0	0	16					0	0		0	0
item107000041102	item107100041102	3-4	3	1	1	3	28	32		40		item107300000001,1	1,30000				0	0	17					0	0		0	0
item107000041103	item107100041103	3-4	3	1	1	3	28	32		40		item107300000001,1	1,30000				0	0	18					0	0		0	0
item107000041104	item107100041104	3-4	3	1	1	3	28	32		40		item107300000001,1	1,30000				0	0	19					0	0		0	0
item107000041201	item107100041201	3-4	3	1	2	4	28	32		40		item107300000001,1	1,30000				0	0	20					0	0		0	0
item107000041202	item107100041202	3-4	3	1	2	4	28	32		40		item107300000001,1	1,30000				0	0	21					0	0		0	0
item107000041203	item107100041203	3-4	3	1	2	4	28	32		40		item107300000001,1	1,30000				0	0	22					0	0		0	0
item107000041204	item107100041204	3-4	3	1	2	4	28	32		40		item107300000001,1	1,30000				0	0	23					0	0		0	0
item107000041301	item107100041301	3-4	3	1	3	1	280	320		40		item107300000001,1	1,30000				0	0	24					0	0		0	0
item107000041302	item107100041302	3-4	3	1	3	1	280	320		40		item107300000001,1	1,30000				0	0	25					0	0		0	0
item107000041303	item107100041303	3-4	3	1	3	1	280	320		40		item107300000001,1	1,30000				0	0	26					0	0		0	0
item107000041304	item107100041304	3-4	3	1	3	1	280	320		40		item107300000001,1	1,30000				0	0	27					0	0		0	0
item107000041305	item107100041305	3-4	3	1	3	1	280	320		40	item127000041305,1	item107300000001,1	1,30000				0	0	72		item107000042305	item127000041305,2	1,200000	35	10001	2,7,8	0	0
item107000042305	item107100042305	3-4	3	2	3	1	390	450		70	item127000041305,2	item107300000001,3	1,60000				0	0	72		item107000043305	item127000041305,8	1,600000	40	10001	2,7,8	0	0
item107000043305	item107100043305	3-4	3	3	3	1	520	580		150	item127000041305,8	item107300000001,6	1,90000				0	0	72		item117000051305	item127000041305,10	1,1200000	50	10001	2,7,8	0	0
item107000042102	item107100042102	3-4	3	2	1	3	39	45		70		item107300000001,3	1,60000				0	0	29					0	0		0	0
item107000042202	item107100042202	3-4	3	2	2	4	39	45		70		item107300000001,3	1,60000				0	0	32					0	0		0	0
item107000042301	item107100042301	3-4	3	2	3	1	390	450		70		item107300000001,3	1,60000				0	0	34					0	0		0	0
item107000042101	item107100042101	3-4	3	2	1	3	39	45		70	item127000042101,1	item107300000001,3	1,60000	item117000052101	item127000042101,20	1,5000000	60	12	28	SoulstoneTips60				0	0		0	0
item107000042103	item107100042103	3-4	3	2	1	3	39	45		70	item127000042103,1	item107300000001,3	1,60000	item117000052103	item127000042103,20	1,5000000	60	12	30	SoulstoneTips60				0	0		0	0
item107000042104	item107100042104	3-4	3	2	1	3	39	45		70		item107300000001,3	1,60000				0	0	108					0	0		0	0
item107000042201	item107100042201	3-4	3	2	2	4	39	45		70	item127000042201,1	item107300000001,3	1,60000	item117000052201	item127000042201,20	1,5000000	60	12	31	SoulstoneTips60				0	0		0	0
item107000042203	item107100042203	3-4	3	2	2	4	39	45		70	item127000042203,1	item107300000001,3	1,60000	item117000052203	item127000042203,20	1,5000000	60	12	33	SoulstoneTips60				0	0		0	0
item107000042302	item107100042302	3-4	3	2	3	1	390	450		70	item127000042302,1	item107300000001,3	1,60000	item117000052302	item127000042302,20	1,5000000	60	12	35	SoulstoneTips60				0	0		0	0
item107000042303	item107100042303	3-4	3	2	3	1	390	450		70	item127000042303,1	item107300000001,3	1,60000	item117000052303	item127000042303,20	1,5000000	60	12	36	SoulstoneTips60				0	0		0	0
item107000043101	item107100043101	3-4	3	3	1	3	52	58		150		item107300000001,6	1,90000				0	0	37					0	0		0	0
item107000043102	item107100043102	3-4	3	3	1	3	52	58		150		item107300000001,6	1,90000				0	0	38					0	0		0	0
item107000043103	item107100043103	3-4	3	3	1	3	52	58		150		item107300000001,6	1,90000				0	0	39					0	0		0	0
item107000043201	item107100043201	3-4	3	3	2	4	52	58		150		item107300000001,6	1,90000				0	0	40					0	0		0	0
item107000043202	item107100043202	3-4	3	3	2	4	52	58		150		item107300000001,6	1,90000				0	0	41					0	0		0	0
item107000043203	item107100043203	3-4	3	3	2	4	52	58		150		item107300000001,6	1,90000				0	0	42					0	0		0	0
item107000043301	item107100043301	3-4	3	3	3	1	520	580		150		item107300000001,6	1,90000				0	0	43					0	0		0	0
item107000043302	item107100043302	3-4	3	3	3	1	520	580		150		item107300000001,6	1,90000				0	0	44					0	0		0	0
item107000043303	item107100043303	3-4	3	3	3	1	520	580		150		item107300000001,6	1,90000				0	0	45					0	0		0	0
item107000052101	item107100052101	4-5	4	2	1	3	77	86		1200	item107200052001,8	item107300000002,3	1,100000				0	0	53					0	0		0	0
item107000052102	item107100052102	4-5	4	2	1	3	77	86		1200	item107200052001,8	item107300000002,3	1,100000				0	0	54					0	0		0	0
item107000052103	item107100052103	4-5	4	2	1	3	77	86		1200	item107200052001,8	item107300000002,3	1,100000				0	0	55					0	0		0	0
item107000052201	item107100052201	4-5	4	2	2	4	77	86		1200	item107200052001,8	item107300000002,3	1,100000				0	0	56					0	0		0	0
item107000052202	item107100052202	4-5	4	2	2	4	77	86		1200	item107200052001,8	item107300000002,3	1,100000				0	0	57					0	0		0	0
item107000052203	item107100052203	4-5	4	2	2	4	77	86		1200	item107200052001,8	item107300000002,3	1,100000				0	0	58					0	0		0	0
item107000052301	item107100052301	4-5	4	2	3	1	770	860		1200	item107200052001,8	item107300000002,3	1,100000				0	0	59					0	0		0	0
item107000052302	item107100052302	4-5	4	2	3	1	770	860		1200	item107200052001,8	item107300000002,3	1,100000				0	0	60					0	0		0	0
item107000052303	item107100052303	4-5	4	2	3	1	770	860		1200	item107200052001,8	item107300000002,3	1,100000				0	0	61					0	0		0	0
item107000053101	item107100053101	4-5	4	3	1	3	92	102		1800	item107200053001,8;item127000053101,1	item107300000002,6	1,150000	item107000063101	item127000053101,5;item107999900011,15	1,3000000	70	12	62					0	10036	1,9,10	0	0
item107000053102	item107100053102	4-5	4	3	1	3	92	102		1800	item107200053001,8;item127000053102,1	item107300000002,6	1,150000	item107000063102	item127000053102,5;item107999900011,15	1,3000000	70	12	63					0	10009	1,9,10	0	0
