流水	宝石id	属性库
int	string	int
Id	StoneId	PropDropBox
1	item107000020101	101011
2	item107000020101	101012
3	item107000020101	0
4	item107000020101	0
5	item107000020101	0
6	item107000020102	101021
7	item107000020102	101022
8	item107000020102	0
9	item107000020102	0
10	item107000020102	0
11	item107000020201	102011
12	item107000020201	102012
13	item107000020201	0
14	item107000020201	0
15	item107000020201	0
16	item107000020202	102021
17	item107000020202	102022
18	item107000020202	0
19	item107000020202	0
20	item107000020202	0
21	item107000020301	103011
22	item107000020301	103012
23	item107000020301	0
24	item107000020301	0
25	item107000020301	0
26	item107000020302	103021
27	item107000020302	103022
28	item107000020302	0
29	item107000020302	0
30	item107000020302	0
31	item107000030101	201011
32	item107000030101	201012
33	item107000030101	201013
34	item107000030101	0
35	item107000030101	0
36	item107000030102	201021
37	item107000030102	201022
38	item107000030102	201023
39	item107000030102	0
40	item107000030102	0
41	item107000030103	201031
42	item107000030103	201032
43	item107000030103	201033
44	item107000030103	0
45	item107000030103	0
46	item107000030201	202011
47	item107000030201	202012
48	item107000030201	202013
49	item107000030201	0
50	item107000030201	0
51	item107000030202	202021
52	item107000030202	202022
53	item107000030202	202023
54	item107000030202	0
55	item107000030202	0
56	item107000030203	202031
57	item107000030203	202032
58	item107000030203	202033
59	item107000030203	0
60	item107000030203	0
61	item107000030301	203011
62	item107000030301	203012
63	item107000030301	203013
64	item107000030301	0
65	item107000030301	0
66	item107000030302	203021
67	item107000030302	203022
68	item107000030302	203023
69	item107000030302	0
70	item107000030302	0
71	item107000030303	203031
72	item107000030303	203032
73	item107000030303	203033
74	item107000030303	0
75	item107000030303	0
76	item107000041101	311011
77	item107000041101	311012
78	item107000041101	311013
79	item107000041101	311014
80	item107000041101	0
81	item107000041102	311021
82	item107000041102	311022
83	item107000041102	311023
84	item107000041102	311024
85	item107000041102	0
86	item107000041103	311031
87	item107000041103	311032
88	item107000041103	311033
89	item107000041103	311034
90	item107000041103	0
91	item107000041104	311041
92	item107000041104	311042
93	item107000041104	311043
94	item107000041104	311044
95	item107000041104	0
96	item107000041201	312011
97	item107000041201	312012
98	item107000041201	312013
99	item107000041201	312014
100	item107000041201	0
101	item107000041202	312021
102	item107000041202	312022
103	item107000041202	312023
104	item107000041202	312024
105	item107000041202	0
106	item107000041203	312031
107	item107000041203	312032
108	item107000041203	312033
109	item107000041203	312034
110	item107000041203	0
111	item107000041204	312041
112	item107000041204	312042
113	item107000041204	312043
114	item107000041204	312044
115	item107000041204	0
116	item107000041301	313011
117	item107000041301	313012
118	item107000041301	313013
119	item107000041301	313014
120	item107000041301	0
121	item107000041302	313021
