流水	属性库id	共鸣属性id
int	int	int
Id	DropBoxId	ResonatePropId
1	101011	10001
2	101011	10002
3	101012	10001
4	101012	10002
5	101021	10003
6	101021	10004
7	101022	10003
8	101022	10004
9	102011	10001
10	102011	10002
11	102012	10001
12	102012	10002
13	102021	10005
14	102021	10006
15	102022	10005
16	102022	10006
17	103011	10001
18	103011	10002
19	103012	10001
20	103012	10002
21	103021	10003
22	103021	10004
23	103022	10003
24	103022	10004
25	201011	10007
26	201011	10008
27	201012	10007
28	201012	10008
29	201013	10013
30	201013	10014
31	201013	10015
32	201013	10016
33	201013	10017
34	201021	10007
35	201021	10008
36	201022	10007
37	201022	10008
38	201023	10013
39	201023	10014
40	201023	10015
41	201023	10016
42	201023	10017
43	201031	10011
44	201031	10012
45	201032	10011
46	201032	10012
47	201033	10023
48	201033	10024
49	201033	10025
50	201033	10026
51	201033	10027
52	202011	10007
53	202011	10008
54	202012	10007
55	202012	10008
56	202013	10013
57	202013	10014
58	202013	10015
59	202013	10016
60	202013	10017
61	202021	10009
62	202021	10010
63	202022	10009
64	202022	10010
65	202023	10018
66	202023	10019
67	202023	10020
68	202023	10021
69	202023	10022
70	202031	10009
71	202031	10010
72	202032	10009
73	202032	10010
74	202033	10018
75	202033	10019
76	202033	10020
77	202033	10021
78	202033	10022
79	203011	10007
80	203011	10008
81	203012	10007
82	203012	10008
83	203013	10013
84	203013	10014
85	203013	10015
86	203013	10016
87	203013	10017
88	203021	10009
89	203021	10010
90	203022	10009
91	203022	10010
92	203023	10018
93	203023	10019
94	203023	10020
95	203023	10021
96	203023	10022
97	203031	10011
98	203031	10012
99	203032	10011
100	203032	10012
101	203033	10023
102	203033	10024
103	203033	10025
104	203033	10026
105	203033	10027
106	311011	10028
107	311011	10029
108	311012	10028
109	311012	10029
110	311013	10034
111	311013	10035
112	311013	10036
113	311013	10037
114	311013	10038
115	311014	10049
116	311014	10052
117	311021	10028
118	311021	10029
119	311022	10028
120	311022	10029
121	311023	10034
122	311023	10035
123	311023	10036
124	311023	10037
125	311023	10038
126	311024	10049
127	311024	10053
128	311031	10028
129	311031	10029
130	311032	10028
131	311032	10029
132	311033	10034
133	311033	10035
134	311033	10036
135	311033	10037
136	311033	10038
137	311034	10049
138	311034	10054
139	311041	10032
140	311041	10033
141	311042	10032
142	311042	10033
143	311043	10044
144	311043	10045
145	311043	10046
146	311043	10047
147	311043	10048
148	311044	10051
149	311044	10055
150	312011	10028
151	312011	10029
152	312012	10028
153	312012	10029
154	312013	10034
155	312013	10035
156	312013	10036
157	312013	10037
158	312013	10038
159	312014	10049
160	312014	10056
161	312021	10030
162	312021	10031
163	312022	10030
164	312022	10031
165	312023	10039
166	312023	10040
167	312023	10041
168	312023	10042
169	312023	10043
170	312024	10051
171	312024	10057
172	312031	10032
173	312031	10033
174	312032	10032
175	312032	10033
176	312033	10044
177	312033	10045
178	312033	10046
179	312033	10047
180	312033	10048
181	312034	10050
182	312034	10058
183	312041	10030
184	312041	10031
185	312042	10030
186	312042	10031
187	312043	10039
188	312043	10040
189	312043	10041
190	312043	10042
191	312043	10043
192	312044	10051
193	312044	10059
194	313011	10028
195	313011	10029
196	313012	10028
197	313012	10029
198	313013	10034
199	313013	10035
200	313013	10036
201	313013	10037
202	313013	10038
203	313014	10049
204	313014	10060
205	313021	10028
206	313021	10029
207	313022	10028
208	313022	10029
209	313023	10034
210	313023	10035
211	313023	10036
212	313023	10037
213	313023	10038
214	313024	10049
215	313024	10061
216	313031	10032
217	313031	10033
218	313032	10032
219	313032	10033
220	313033	10044
221	313033	10045
222	313033	10046
223	313033	10047
224	313033	10048
225	313034	10051
226	313034	10062
227	313041	10030
228	313041	10031
229	313042	10030
230	313042	10031
231	313043	10039
232	313043	10040
233	313043	10041
234	313043	10042
235	313043	10043
236	313044	10050
237	313044	10063
238	321011	10064
239	321011	10065
240	321012	10064
241	321012	10065
242	321013	10070
243	321013	10071
244	321013	10072
245	321013	10073
246	321013	10074
247	321014	10085
248	321014	10088
249	321021	10064
250	321021	10065
251	321022	10064
252	321022	10065
253	321023	10070
254	321023	10071
255	321023	10072
256	321023	10073
257	321023	10074
258	321024	10085
259	321024	10089
260	321031	10066
261	321031	10067
262	321032	10066
263	321032	10067
264	321033	10075
265	321033	10076
266	321033	10077
267	321033	10078
268	321033	10079
269	321034	10086
270	321034	10090
271	321041	10064
272	321041	10065
273	321042	10064
274	321042	10065
275	321043	10070
276	321043	10071
277	321043	10072
278	321043	10073
279	321043	10074
280	321044	10085
281	321044	10088
282	322011	10064
283	322011	10065
284	322012	10064
285	322012	10065
286	322013	10070
287	322013	10071
288	322013	10072
289	322013	10073
290	322013	10074
291	322014	10085
292	322014	10091
293	322021	10068
294	322021	10069
295	322022	10068
296	322022	10069
297	322023	10080
298	322023	10081
299	322023	10082
300	322023	10083
301	322023	10084
302	322024	10087
303	322024	10092
304	322031	10066
305	322031	10067
306	322032	10066
307	322032	10067
308	322033	10075
309	322033	10076
310	322033	10077
311	322033	10078
312	322033	10079
313	322034	10086
314	322034	10093
315	323011	10064
316	323011	10065
317	323012	10064
318	323012	10065
319	323013	10070
320	323013	10071
321	323013	10072
322	323013	10073
323	323013	10074
324	323014	10085
325	323014	10094
326	323021	10068
327	323021	10069
328	323022	10068
329	323022	10069
330	323023	10080
331	323023	10081
332	323023	10082
333	323023	10083
334	323023	10084
335	323024	10087
336	323024	10095
337	323031	10066
338	323031	10067
339	323032	10066
340	323032	10067
341	323033	10075
342	323033	10076
343	323033	10077
344	323033	10078
345	323033	10079
346	323034	10086
347	323034	10096
348	331011	10097
349	331011	10098
350	331012	10097
351	331012	10098
352	331013	10103
353	331013	10104
354	331013	10105
355	331013	10106
356	331013	10107
357	331014	10118
358	331014	10121
359	331021	10097
360	331021	10098
361	331022	10097
362	331022	10098
363	331023	10103
364	331023	10104
365	331023	10105
366	331023	10106
367	331023	10107
368	331024	10118
369	331024	10122
370	331031	10101
371	331031	10102
372	331032	10101
373	331032	10102
374	331033	10113
375	331033	10114
376	331033	10115
377	331033	10116
378	331033	10117
379	331034	10120
380	331034	10123
381	332011	10097
382	332011	10098
383	332012	10097
384	332012	10098
385	332013	10103
386	332013	10104
387	332013	10105
388	332013	10106
389	332013	10107
390	332014	10118
391	332014	10124
392	332021	10101
393	332021	10102
394	332022	10101
395	332022	10102
396	332023	10113
397	332023	10114
398	332023	10115
399	332023	10116
400	332023	10117
401	332024	10120
402	332024	10125
403	332031	10099
404	332031	10100
405	332032	10099
406	332032	10100
407	332033	10108
408	332033	10109
409	332033	10110
410	332033	10111
411	332033	10112
412	332034	10119
413	332034	10126
414	333011	10097
415	333011	10098
416	333012	10097
417	333012	10098
418	333013	10103
419	333013	10104
420	333013	10105
421	333013	10106
422	333013	10107
423	333014	10118
424	333014	10127
425	333021	10101
426	333021	10102
427	333022	10101
428	333022	10102
429	333023	10113
430	333023	10114
431	333023	10115
432	333023	10116
433	333023	10117
434	333024	10120
435	333024	10128
436	333031	10099
437	333031	10100
438	333032	10099
439	333032	10100
440	333033	10108
441	333033	10109
442	333033	10110
443	333033	10111
444	333033	10112
445	333034	10119
446	333034	10129
447	411011	10130
448	411011	10131
449	411012	10130
450	411012	10131
451	411013	10136
452	411013	10137
453	411013	10138
454	411013	10139
455	411013	10140
456	411014	10151
457	411014	10154
458	411015	10151
459	411015	10154
460	411021	10132
461	411021	10133
462	411022	10132
463	411022	10133
464	411023	10141
465	411023	10142
466	411023	10143
467	411023	10144
468	411023	10145
469	411024	10152
470	411024	10155
471	411025	10152
472	411025	10155
473	412011	10130
474	412011	10131
475	412012	10130
476	412012	10131
477	412013	10136
478	412013	10137
479	412013	10138
480	412013	10139
481	412013	10140
482	412014	10151
483	412014	10157
484	412015	10151
485	412015	10157
486	412021	10134
487	412021	10135
488	412022	10134
489	412022	10135
490	412023	10146
491	412023	10147
492	412023	10148
493	412023	10149
494	412023	10150
495	412024	10153
496	412024	10159
497	412025	10153
