流水ID	职业ID	装备部位ID	装备星铸等级	装备孔位等级限制	升级到当前等级消耗道具	基础属性加成	显示属性值	显示属性加成值	总览中显示的技能描述	技能增强显示条件	孔位图标	更换技能特效未实装显示文字	视频跳转链接	技能视频预览	技能视频预览（url）	技能视频预览框显示描述
int	int	int	int	int	string	string	string	string	string	string	string	string	string	string	string	string
Id	JobId	WeaponId	WeaponLevel	EquipStage	ExpendItems	BasicsAttr	ShowAttr	ShowAddAttr	PandectSkillDes	SkillShow_Str	StageIcon	ChangeKillEffect_Str	SkillShow_Web	SkillShow	SkillShow_Url	SkillShowStr
1	1	2	1	40	item102020061001,10	1,400	1,400			eqp_bf22_fighter01::buff01_lv1,8,eqp_bf22_fighter01::buff01_effect,10	starforge01_icon					
2	1	2	2	40	item102020061001,20	1,700	1,400	1,300		eqp_bf22_fighter01::buff01_lv1,8,eqp_bf22_fighter01::buff01_effect,10	starforge01_icon					
3	1	2	3	40	item102020061001,25	1,1000	1,700	1,300		eqp_bf22_fighter01::buff01_lv1,8,eqp_bf22_fighter01::buff01_effect,10	starforge01_icon					
4	1	2	4	40	item102020061003,1;item102020061001,30	1,2000;30,100	1,1000;30,0	1,1000;30,100		eqp_bf22_fighter01::buff01_lv1,8,eqp_bf22_fighter01::buff01_effect,10	starforge02_icon					
5	1	2	5	40	item102020061002,10	1,2300;30,150	1,2000;30,100	1,300;30,50		eqp_bf22_fighter01::buff01_lv1,8,eqp_bf22_fighter01::buff01_effect,10	starforge02_icon					
6	1	2	6	40	item102020061002,25	1,3000;30,200	1,2300;30,150	1,700;30,50		eqp_bf22_fighter01::buff01_lv1,8,eqp_bf22_fighter01::buff01_effect,10	starforge03_icon					
7	1	2	7	40	item102020061003,2;item102020061002,50	1,4400;30,300	1,3000;30,200	1,1400;30,100		eqp_bf22_fighter01::buff01_lv1,8,eqp_bf22_fighter01::buff01_effect,10	starforge03_icon					
8	1	2	8	40	item102020061003,2;item102020061002,75	1,5300;30,350	1,4400;30,300	1,900;30,50	buffname_fighter01_01	eqp_bf22_fighter01::buff01_lv1,8,eqp_bf22_fighter01::buff01_effect,10	skill_1205					
9	1	2	9	40	item102020061003,3;item102020061006,1;item102020061002,80	1,6000;30,400	1,5300;30,350	1,700;30,50	buffname_fighter01_02	eqp_bf22_fighter01::buff01_lv2,9,eqp_bf22_fighter01::buff01_effect,10	skill_1205					
10	1	2	10	40	item102020061004,1;item102020061003,5;item102020061006,2	1,6700;30,500	1,6000;30,400	1,700;30,100	buffname_fighter01_03	eqp_bf22_fighter01::buff01_lv3,10,eqp_bf22_fighter01::buff01_effect,10	skill1205_starforge			hero_101_skill1205.mp4		buffname_eqp_bf22_fighter01;eqp_bf22_fighter01::buff01_effect;Lock_StarForge_Level_Rome_10
11	1	3	1	50	item102020061001,20	3,50	3,50			eqp_bf22_fighter02::buff01_lv1,8,eqp_bf22_fighter02::buff01_effect,10	starforge01_icon					
12	1	3	2	50	item102020061001,25	3,75	3,50	3,25		eqp_bf22_fighter02::buff01_lv1,8,eqp_bf22_fighter02::buff01_effect,10	starforge01_icon					
13	1	3	3	50	item102020061001,30	3,100	3,75	3,25		eqp_bf22_fighter02::buff01_lv1,8,eqp_bf22_fighter02::buff01_effect,10	starforge01_icon					
14	1	3	4	50	item102020061003,1;item102020061001,55	3,180;51,100	3,100;51,0	3,80;51,100		eqp_bf22_fighter02::buff01_lv1,8,eqp_bf22_fighter02::buff01_effect,10	starforge02_icon					
15	1	3	5	50	item102020061002,20	3,250;51,150	3,180;51,100	3,70;51,50		eqp_bf22_fighter02::buff01_lv1,8,eqp_bf22_fighter02::buff01_effect,10	starforge02_icon					
16	1	3	6	50	item102020061002,45	3,350;51,200	3,250;51,150	3,100;51,50		eqp_bf22_fighter02::buff01_lv1,8,eqp_bf22_fighter02::buff01_effect,10	starforge03_icon					
17	1	3	7	50	item102020061003,2;item102020061002,65	3,500;51,300	3,350;51,200	3,150;51,100		eqp_bf22_fighter02::buff01_lv1,8,eqp_bf22_fighter02::buff01_effect,10	starforge03_icon					
18	1	3	8	50	item102020061003,2;item102020061002,80	3,580;51,350	3,500;51,300	3,80;51,50	buffname_fighter02_01	eqp_bf22_fighter02::buff01_lv1,8,eqp_bf22_fighter02::buff01_effect,10	skill_1214					
