星之子等级	获得天赋点	消耗天赋经验	玩家等级限制	获得特效
int	int	int	int	int
StarChildLevel	StarChildPoint	Cost	LevelLimit	EffectId
0	1	10000	1	32000013
1	1	18000	2	32000013
2	1	26000	3	32000013
3	1	34000	4	32000013
4	1	42000	5	32000013
5	1	50000	6	32000013
6	1	58000	7	32000013
7	1	66000	8	32000013
8	1	74000	9	32000013
9	1	82000	10	32000013
10	1	90000	11	32000013
11	1	106000	12	32000013
12	1	122000	13	32000013
13	1	138000	14	32000013
14	1	154000	15	32000013
15	1	170000	16	32000013
16	1	186000	17	32000013
17	1	202000	18	32000013
18	1	218000	19	32000013
19	1	234000	20	32000013
20	2	250000	21	32000013
21	2	278000	22	32000013
22	2	306000	23	32000013
23	2	334000	24	32000013
24	2	362000	25	32000013
25	2	390000	26	32000013
26	2	418000	27	32000013
27	2	446000	28	32000013
28	2	474000	29	32000013
29	2	502000	30	32000013
30	3	530000	31	32000013
31	3	586000	32	32000013
32	3	642000	33	32000013
33	3	698000	34	32000013
34	3	754000	35	32000013
35	3	810000	36	32000013
36	3	866000	37	32000013
37	3	922000	38	32000013
38	3	978000	39	32000013
39	3	1034000	40	32000013
40	4	1090000	41	32000013
41	4	1186000	42	32000013
42	4	1282000	43	32000013
43	4	1378000	44	32000013
44	4	1474000	45	32000013
45	4	1570000	46	32000013
46	4	1666000	47	32000013
47	4	1762000	48	32000013
48	4	1858000	49	32000013
49	4	1954000	50	32000013
50	5	2050000	51	32000013
51	5	2242000	52	32000013
52	5	2434000	53	32000013
53	5	2626000	54	32000013
54	5	2818000	55	32000013
55	5	3010000	56	32000013
56	5	3202000	57	32000013
57	5	3394000	58	32000013
58	5	3586000	59	32000013
59	5	3778000	60	32000013
60	6	3970000	61	32000013
61	6	4354000	62	32000013
62	6	4738000	63	32000013
63	6	5122000	64	32000013
64	6	5506000	65	32000013
65	6	5890000	66	32000013
66	6	6274000	67	32000013
67	6	6658000	68	32000013
68	6	7042000	69	32000013
69	6	7426000	70	32000013
70	7	7810000	71	32000013
71	7	8578000	72	32000013
72	7	9346000	73	32000013
73	7	10114000	74	32000013
74	7	10882000	75	32000013
75	7	11650000	76	32000013
76	7	12418000	77	32000013
77	7	13186000	78	32000013
78	7	13954000	79	32000013
79	7	14722000	80	32000013
80	7	15490000	81	32000013
81	8	17026000	82	32000013
82	0	18562000	83	32000013
83	9	20098000	84	32000013
84	0	21634000	85	32000013
85	10	23170000	86	32000013
86	0	24706000	87	32000013
87	11	26242000	88	32000013
88	0	27778000	89	32000013
89	12	29314000	90	32000013
90	0	30850000	91	32000013
