流水号	星之子天赋	属性等级	升级消耗技能点	天赋属性	觉醒天赋属性	天赋名称	天赋描述	前置 天赋	需要角色天赋组等级	需要星之子天赋最低等级	天赋Icon	所在位置	评分类型	值/公式
int	int	int	int	string	string	string	string	string	int	int	string	int	int	int
Id	StarChildTalentId	PropLevel	CostPoint	StarChildTalentProp	TransformationTalentProp	StarChildTalentName	StarChildTalentDes	NeedTalent	NeedCharacterTalentLevel	NeedMinLevel	StarChildTalentIcon	position	CPType	CPValue
1	1001	0	1	1,0;23,0;236,0	1,0	StarChildTalentName_1	StarChildTalentDes_1		0	0	yc_wheel_aries	1	2	0
2	1001	1	1	1,150;23,30;236,90	1,300	StarChildTalentName_1	StarChildTalentDes_1		200	0	yc_wheel_aries	1	2	105
3	1001	2	1	1,300;23,60;236,180	1,600	StarChildTalentName_1	StarChildTalentDes_1		200	0	yc_wheel_aries	1	2	210
4	1001	3	1	1,450;23,90;236,270	1,900	StarChildTalentName_1	StarChildTalentDes_1		240	0	yc_wheel_aries	1	2	315
5	1001	4	2	1,600;23,120;236,360	1,1200	StarChildTalentName_1	StarChildTalentDes_1		270	1	yc_wheel_aries	1	2	420
6	1001	5	2	1,800;23,160;236,480	1,1600	StarChildTalentName_1	StarChildTalentDes_1		300	2	yc_wheel_aries	1	2	560
7	1001	6	2	1,1000;23,200;236,600	1,2000	StarChildTalentName_1	StarChildTalentDes_1		330	3	yc_wheel_aries	1	2	700
8	1001	7	2	1,1200;23,240;236,720	1,2400	StarChildTalentName_1	StarChildTalentDes_1		360	4	yc_wheel_aries	1	2	840
9	1001	8	3	1,1400;23,280;236,840	1,2800	StarChildTalentName_1	StarChildTalentDes_1		390	5	yc_wheel_aries	1	2	980
10	1001	9	3	1,1650;23,330;236,990	1,3300	StarChildTalentName_1	StarChildTalentDes_1		420	6	yc_wheel_aries	1	2	1155
