词缀ID	标题	内容	图标icon
int	string	string	string
id	title	content	icon
1	buffname_stardoor_0	buffdes_stardoor_0	bigbuff_stardoor_17
2	buffname_stardoor_1	buffdes_stardoor_1	bigbuff_stardoor_18
3	buffname_stardoor_2	buffdes_stardoor_2	bigbuff_stardoor_07
4	buffname_stardoor_3	buffdes_stardoor_3	bigbuff_stardoor_19
5	buffname_stardoor_4	buffdes_stardoor_4	bigbuff_stardoor_12
6	buffname_stardoor_5	buffdes_stardoor_5	bigbuff_monster_20
7	buffname_stardoor_6	buffdes_stardoor_6	bigbuff_9087
8	buffname_stardoor_7	buffdes_stardoor_7	bigbuff_stardoor_20
9	buffname_stardoor_8	buffdes_stardoor_8	bigbuff_9094
10	buffname_stardoor_9	buffdes_stardoor_9	bigbuff_monster_23
11	buffname_stardoor_10	buffdes_stardoor_10	bigbuff_9099
12	buffname_stardoor_11	buffdes_stardoor_11	bigbuff_stardoor_21
13	buffname_stardoor_12	buffdes_stardoor_12	bigbuff_9101
14	buffname_stardoor_13	buffdes_stardoor_13	bigbuff_9098
15	buffname_stardoor_14	buffdes_stardoor_14	bigbuff_9108
16	buffname_stardoor_15	buffdes_stardoor_15	bigbuff_9077
17	buffname_stardoor_16	buffdes_stardoor_16	bigbuff_9081
18	buffname_stardoor_17	buffdes_stardoor_17	bigbuff_9079
19	buffname_stardoor_18	buffdes_stardoor_18	bigbuff_stardoor_11
20	buffname_stardoor_19	buffdes_stardoor_19	bigbuff_stardoor_06
21	buffname_stardoor_20	buffdes_stardoor_20	bigbuff_monster_23
22	buffname_stardoor_21	buffdes_stardoor_21	bigbuff_stardoor_13
23	buffname_stardoor_22	buffdes_stardoor_22	bigbuff_stardoor_22
24	buffname_stardoor_23	buffdes_stardoor_23	bigbuff_9097
25	buffname_stardoor_24	buffdes_stardoor_24	bigbuff_stardoor_23
26	buffname_stardoor_25	buffdes_stardoor_25	bigbuff_stardoor_10
27	buffname_stardoor_26	buffdes_stardoor_26	bigbuff_9110
28	buffname_stardoor_27	buffdes_stardoor_27	bigbuff_stardoor_16
29	buffname_stardoor_28	buffdes_stardoor_28	bigbuff_stardoor_15
30	buffname_stardoor_29	buffdes_stardoor_29	bigbuff_stardoor_14
31	buffname_stardoor_30	buffdes_stardoor_30	bigbuff_stardoor_03
32	buffname_stardoor_31	buffdes_stardoor_31	bigbuff_stardoor_03
33	buffname_stardoor_32	buffdes_stardoor_32	bigbuff_stardoor_04
34	buffname_stardoor_33	buffdes_stardoor_33	bigbuff_9080
35	buffname_stardoor_34	buffdes_stardoor_34	bigbuff_stardoor_05
36	buffname_stardoor_35	buffdes_stardoor_35	bigbuff_monster_01
37	buffname_stardoor_36	buffdes_stardoor_36	bigbuff_stardoor_06
38	buffname_stardoor_37	buffdes_stardoor_37	bigbuff_stardoor_07
39	buffname_stardoor_38	buffdes_stardoor_38	bigbuff_1001
40	buffname_stardoor_39	buffdes_stardoor_39	bigbuff_stardoor_01
