怪物ID	等级匹配
string	int
Id	LevelMatching
monster19130101	5101011
monster19130102	5101011
monster19130103	5101012
monster19130104	5101012
monster19130105	5101012
monster19130106	5101013
monster19130107	5101013
monster19130108	5101013
monster19130109	5101014
monster19130110	5101014
monster19130111	5101014
monster19130112	5101015
monster19130113	5101015
monster19130114	5101015
monster19130115	5101015
monster19130116	5101011
monster19130101	5101021
monster19130102	5101021
monster19130103	5101022
monster19130104	5101022
monster19130105	5101022
monster19130106	5101023
monster19130107	5101023
monster19130108	5101023
monster19130109	5101024
monster19130110	5101024
monster19130111	5101024
monster19130112	5101025
monster19130113	5101025
monster19130114	5101025
monster19130115	5101025
monster19130116	5101021
monster19130101	5101031
monster19130102	5101031
monster19130103	5101032
monster19130104	5101032
monster19130105	5101032
monster19130106	5101033
monster19130107	5101033
monster19130108	5101033
monster19130109	5101034
monster19130110	5101034
monster19130111	5101034
monster19130112	5101035
monster19130113	5101035
monster19130114	5101035
monster19130115	5101035
monster19130116	5101031
monster19130101	5101041
monster19130102	5101041
monster19130103	5101042
monster19130104	5101042
monster19130105	5101042
monster19130106	5101043
monster19130107	5101043
monster19130108	5101043
monster19130109	5101044
monster19130110	5101044
monster19130111	5101044
monster19130112	5101045
monster19130113	5101045
monster19130114	5101045
monster19130115	5101045
monster19130116	5101041
monster19130101	5101051
monster19130102	5101051
monster19130103	5101052
monster19130104	5101052
monster19130105	5101052
monster19130106	5101053
monster19130107	5101053
monster19130108	5101053
monster19130109	5101054
monster19130110	5101054
monster19130111	5101054
monster19130112	5101055
monster19130113	5101055
monster19130114	5101055
monster19130115	5101055
monster19130116	5101051
monster19130101	5101061
monster19130102	5101061
monster19130103	5101062
monster19130104	5101062
monster19130105	5101062
monster19130106	5101063
monster19130107	5101063
monster19130108	5101063
monster19130109	5101064
monster19130110	5101064
monster19130111	5101064
monster19130112	5101065
monster19130113	5101065
monster19130114	5101065
monster19130115	5101065
monster19130116	5101061
monster19130101	5101071
monster19130102	5101071
monster19130103	5101072
monster19130104	5101072
monster19130105	5101072
monster19130106	5101073
monster19130107	5101073
monster19130108	5101073
monster19130109	5101074
monster19130110	5101074
monster19130111	5101074
monster19130112	5101075
monster19130113	5101075
monster19130114	5101075
monster19130115	5101075
monster19130116	5101071
monster19130101	5101081
monster19130102	5101081
monster19130103	5101082
monster19130104	5101082
monster19130105	5101082
monster19130106	5101083
monster19130107	5101083
monster19130108	5101083
monster19130109	5101084
monster19130110	5101084
monster19130111	5101084
monster19130112	5101085
monster19130113	5101085
monster19130114	5101085
monster19130115	5101085
monster19130116	5101081
monster19130101	5101091
monster19130102	5101091
monster19130103	5101092
monster19130104	5101092
monster19130105	5101092
monster19130106	5101093
monster19130107	5101093
monster19130108	5101093
monster19130109	5101094
monster19130110	5101094
monster19130111	5101094
monster19130112	5101095
monster19130113	5101095
monster19130114	5101095
monster19130115	5101095
monster19130116	5101091
monster19130101	5101101
monster19130102	5101101
monster19130103	5101102
monster19130104	5101102
monster19130105	5101102
monster19130106	5101103
monster19130107	5101103
monster19130108	5101103
monster19130109	5101104
monster19130110	5101104
monster19130111	5101104
monster19130112	5101105
monster19130113	5101105
monster19130114	5101105
monster19130115	5101105
monster19130116	5101101
monster19130101	5101111
monster19130102	5101111
monster19130103	5101112
monster19130104	5101112
monster19130105	5101112
monster19130106	5101113
monster19130107	5101113
monster19130108	5101113
monster19130109	5101114
monster19130110	5101114
monster19130111	5101114
monster19130112	5101115
monster19130113	5101115
monster19130114	5101115
monster19130115	5101115
monster19130116	5101111
monster19130101	5101121
monster19130102	5101121
monster19130103	5101122
monster19130104	5101122
monster19130105	5101122
monster19130106	5101123
monster19130107	5101123
monster19130108	5101123
monster19130109	5101124
monster19130110	5101124
monster19130111	5101124
monster19130112	5101125
monster19130113	5101125
monster19130114	5101125
monster19130115	5101125
monster19130116	5101121
monster19130101	5101131
monster19130102	5101131
monster19130103	5101132
monster19130104	5101132
monster19130105	5101132
monster19130106	5101133
monster19130107	5101133
monster19130108	5101133
monster19130109	5101134
monster19130110	5101134
monster19130111	5101134
monster19130112	5101135
monster19130113	5101135
monster19130114	5101135
monster19130115	5101135
monster19130116	5101131
monster19130101	5101141
monster19130102	5101141
monster19130103	5101142
monster19130104	5101142
monster19130105	5101142
monster19130106	5101143
monster19130107	5101143
monster19130108	5101143
monster19130109	5101144
monster19130110	5101144
monster19130111	5101144
monster19130112	5101145
monster19130113	5101145
monster19130114	5101145
monster19130115	5101145
monster19130116	5101141
monster19130101	5101151
monster19130102	5101151
monster19130103	5101152
monster19130104	5101152
monster19130105	5101152
monster19130106	5101153
monster19130107	5101153
monster19130108	5101153
monster19130109	5101154
monster19130110	5101154
monster19130111	5101154
monster19130112	5101155
monster19130113	5101155
monster19130114	5101155
monster19130115	5101155
monster19130116	5101151
monster19130101	5101161
monster19130102	5101161
monster19130103	5101162
monster19130104	5101162
monster19130105	5101162
monster19130106	5101163
monster19130107	5101163
monster19130108	5101163
monster19130109	5101164
monster19130110	5101164
monster19130111	5101164
monster19130112	5101165
monster19130113	5101165
monster19130114	5101165
monster19130115	5101165
monster19130116	5101161
monster19130101	5101171
monster19130102	5101171
monster19130103	5101172
monster19130104	5101172
monster19130105	5101172
monster19130106	5101173
monster19130107	5101173
monster19130108	5101173
monster19130109	5101174
monster19130110	5101174
monster19130111	5101174
monster19130112	5101175
monster19130113	5101175
monster19130114	5101175
monster19130115	5101175
monster19130116	5101171
monster19130101	5101181
monster19130102	5101181
monster19130103	5101182
monster19130104	5101182
monster19130105	5101182
monster19130106	5101183
monster19130107	5101183
monster19130108	5101183
monster19130109	5101184
monster19130110	5101184
monster19130111	5101184
monster19130112	5101185
monster19130113	5101185
monster19130114	5101185
monster19130115	5101185
monster19130116	5101181
monster19130117	5101014
monster19130118	5101014
monster19130119	5101014
monster19130120	5101014
monster19130121	5101014
monster19130122	5101014
monster19130123	5101014
monster19130124	5101014
monster19130125	5101014
monster19130126	5101014
monster19130127	5101014
monster19130128	5101014
monster19130129	5101014
monster19130130	5101014
monster19130131	5101014
monster19130132	5101014
monster19130133	5101014
monster19130134	5101014
monster19130135	5101014
monster19130136	5101014
monster19130137	5101014
monster19130138	5101014
monster19130139	5101014
monster19130140	5101014
monster19130141	5101014
monster19130142	5101014
monster19130143	5101014
monster19130144	5101014
monster19130145	5101014
monster19130146	5101014
monster19130147	5101014
monster19130117	5101024
monster19130118	5101024
monster19130119	5101024
monster19130120	5101024
monster19130121	5101024
monster19130122	5101024
monster19130123	5101024
monster19130124	5101024
monster19130125	5101024
monster19130126	5101024
monster19130127	5101024
monster19130128	5101024
monster19130129	5101024
monster19130130	5101024
monster19130131	5101024
monster19130132	5101024
monster19130133	5101024
monster19130134	5101024
monster19130135	5101024
monster19130136	5101024
monster19130137	5101024
monster19130138	5101024
monster19130139	5101024
monster19130140	5101024
monster19130141	5101024
monster19130142	5101024
monster19130143	5101024
monster19130144	5101024
monster19130145	5101024
monster19130146	5101024
monster19130147	5101024
monster19130117	5101034
monster19130118	5101034
monster19130119	5101034
monster19130120	5101034
monster19130121	5101034
monster19130122	5101034
monster19130123	5101034
monster19130124	5101034
monster19130125	5101034
monster19130126	5101034
monster19130127	5101034
monster19130128	5101034
monster19130129	5101034
monster19130130	5101034
monster19130131	5101034
monster19130132	5101034
monster19130133	5101034
monster19130134	5101034
monster19130135	5101034
monster19130136	5101034
monster19130137	5101034
monster19130138	5101034
monster19130139	5101034
monster19130140	5101034
monster19130141	5101034
monster19130142	5101034
monster19130143	5101034
monster19130144	5101034
monster19130145	5101034
monster19130146	5101034
monster19130147	5101034
monster19130117	5101044
monster19130118	5101044
monster19130119	5101044
monster19130120	5101044
monster19130121	5101044
monster19130122	5101044
monster19130123	5101044
monster19130124	5101044
monster19130125	5101044
monster19130126	5101044
monster19130127	5101044
monster19130128	5101044
monster19130129	5101044
monster19130130	5101044
monster19130131	5101044
monster19130132	5101044
monster19130133	5101044
monster19130134	5101044
monster19130135	5101044
monster19130136	5101044
monster19130137	5101044
monster19130138	5101044
monster19130139	5101044
monster19130140	5101044
monster19130141	5101044
monster19130142	5101044
monster19130143	5101044
monster19130144	5101044
monster19130145	5101044
monster19130146	5101044
monster19130147	5101044
monster19130117	5101054
monster19130118	5101054
monster19130119	5101054
monster19130120	5101054
monster19130121	5101054
monster19130122	5101054
monster19130123	5101054
monster19130124	5101054
monster19130125	5101054
monster19130126	5101054
monster19130127	5101054
monster19130128	5101054
monster19130129	5101054
monster19130130	5101054
monster19130131	5101054
monster19130132	5101054
monster19130133	5101054
monster19130134	5101054
monster19130135	5101054
monster19130136	5101054
monster19130137	5101054
monster19130138	5101054
monster19130139	5101054
monster19130140	5101054
monster19130141	5101054
monster19130142	5101054
monster19130143	5101054
monster19130144	5101054
monster19130145	5101054
monster19130146	5101054
monster19130147	5101054
monster19130117	5101064
monster19130118	5101064
monster19130119	5101064
monster19130120	5101064
monster19130121	5101064
monster19130122	5101064
monster19130123	5101064
monster19130124	5101064
monster19130125	5101064
monster19130126	5101064
monster19130127	5101064
monster19130128	5101064
monster19130129	5101064
monster19130130	5101064
monster19130131	5101064
monster19130132	5101064
monster19130133	5101064
monster19130134	5101064
monster19130135	5101064
monster19130136	5101064
monster19130137	5101064
monster19130138	5101064
monster19130139	5101064
monster19130140	5101064
monster19130141	5101064
monster19130142	5101064
monster19130143	5101064
monster19130144	5101064
monster19130145	5101064
monster19130146	5101064
monster19130147	5101064
monster19130117	5101074
monster19130118	5101074
monster19130119	5101074
monster19130120	5101074
monster19130121	5101074
monster19130122	5101074
monster19130123	5101074
monster19130124	5101074
monster19130125	5101074
monster19130126	5101074
monster19130127	5101074
monster19130128	5101074
monster19130129	5101074
monster19130130	5101074
monster19130131	5101074
monster19130132	5101074
monster19130133	5101074
monster19130134	5101074
monster19130135	5101074
monster19130136	5101074
monster19130137	5101074
monster19130138	5101074
monster19130139	5101074
monster19130140	5101074
monster19130141	5101074
monster19130142	5101074
monster19130143	5101074
monster19130144	5101074
monster19130145	5101074
monster19130146	5101074
monster19130147	5101074
monster19130117	5101084
monster19130118	5101084
monster19130119	5101084
monster19130120	5101084
monster19130121	5101084
monster19130122	5101084
monster19130123	5101084
monster19130124	5101084
monster19130125	5101084
monster19130126	5101084
monster19130127	5101084
monster19130128	5101084
monster19130129	5101084
monster19130130	5101084
monster19130131	5101084
monster19130132	5101084
monster19130133	5101084
monster19130134	5101084
monster19130135	5101084
monster19130136	5101084
monster19130137	5101084
monster19130138	5101084
monster19130139	5101084
monster19130140	5101084
monster19130141	5101084
monster19130142	5101084
monster19130143	5101084
monster19130144	5101084
monster19130145	5101084
monster19130146	5101084
monster19130147	5101084
monster19130117	5101094
monster19130118	5101094
monster19130119	5101094
monster19130120	5101094
monster19130121	5101094
monster19130122	5101094
monster19130123	5101094
monster19130124	5101094
monster19130125	5101094
monster19130126	5101094
monster19130127	5101094
monster19130128	5101094
monster19130129	5101094
monster19130130	5101094
monster19130131	5101094
monster19130132	5101094
monster19130133	5101094
monster19130134	5101094
monster19130135	5101094
monster19130136	5101094
monster19130137	5101094
monster19130138	5101094
monster19130139	5101094
monster19130140	5101094
monster19130141	5101094
monster19130142	5101094
monster19130143	5101094
monster19130144	5101094
monster19130145	5101094
monster19130146	5101094
monster19130147	5101094
monster19130117	5101104
monster19130118	5101104
monster19130119	5101104
monster19130120	5101104
monster19130121	5101104
monster19130122	5101104
monster19130123	5101104
monster19130124	5101104
monster19130125	5101104
monster19130126	5101104
monster19130127	5101104
monster19130128	5101104
monster19130129	5101104
monster19130130	5101104
monster19130131	5101104
monster19130132	5101104
monster19130133	5101104
monster19130134	5101104
monster19130135	5101104
monster19130136	5101104
monster19130137	5101104
monster19130138	5101104
monster19130139	5101104
monster19130140	5101104
monster19130141	5101104
monster19130142	5101104
monster19130143	5101104
monster19130144	5101104
monster19130145	5101104
monster19130146	5101104
monster19130147	5101104
monster19130117	5101114
monster19130118	5101114
monster19130119	5101114
monster19130120	5101114
monster19130121	5101114
monster19130122	5101114
monster19130123	5101114
monster19130124	5101114
monster19130125	5101114
monster19130126	5101114
monster19130127	5101114
monster19130128	5101114
monster19130129	5101114
monster19130130	5101114
monster19130131	5101114
monster19130132	5101114
monster19130133	5101114
monster19130134	5101114
monster19130135	5101114
monster19130136	5101114
monster19130137	5101114
monster19130138	5101114
monster19130139	5101114
monster19130140	5101114
monster19130141	5101114
monster19130142	5101114
monster19130143	5101114
monster19130144	5101114
monster19130145	5101114
monster19130146	5101114
monster19130147	5101114
monster19130117	5101124
monster19130118	5101124
monster19130119	5101124
monster19130120	5101124
monster19130121	5101124
monster19130122	5101124
monster19130123	5101124
monster19130124	5101124
monster19130125	5101124
monster19130126	5101124
monster19130127	5101124
monster19130128	5101124
monster19130129	5101124
monster19130130	5101124
monster19130131	5101124
monster19130132	5101124
monster19130133	5101124
monster19130134	5101124
monster19130135	5101124
monster19130136	5101124
monster19130137	5101124
monster19130138	5101124
monster19130139	5101124
monster19130140	5101124
monster19130141	5101124
monster19130142	5101124
monster19130143	5101124
monster19130144	5101124
monster19130145	5101124
monster19130146	5101124
monster19130147	5101124
monster19130117	5101134
monster19130118	5101134
monster19130119	5101134
monster19130120	5101134
monster19130121	5101134
monster19130122	5101134
monster19130123	5101134
monster19130124	5101134
monster19130125	5101134
monster19130126	5101134
monster19130127	5101134
monster19130128	5101134
monster19130129	5101134
monster19130130	5101134
monster19130131	5101134
monster19130132	5101134
monster19130133	5101134
monster19130134	5101134
monster19130135	5101134
monster19130136	5101134
monster19130137	5101134
monster19130138	5101134
monster19130139	5101134
monster19130140	5101134
monster19130141	5101134
monster19130142	5101134
monster19130143	5101134
monster19130144	5101134
monster19130145	5101134
monster19130146	5101134
monster19130147	5101134
monster19130117	5101144
monster19130118	5101144
monster19130119	5101144
monster19130120	5101144
monster19130121	5101144
monster19130122	5101144
monster19130123	5101144
monster19130124	5101144
monster19130125	5101144
monster19130126	5101144
monster19130127	5101144
monster19130128	5101144
monster19130129	5101144
monster19130130	5101144
monster19130131	5101144
monster19130132	5101144
monster19130133	5101144
monster19130134	5101144
monster19130135	5101144
monster19130136	5101144
monster19130137	5101144
monster19130138	5101144
monster19130139	5101144
monster19130140	5101144
monster19130141	5101144
monster19130142	5101144
monster19130143	5101144
monster19130144	5101144
monster19130145	5101144
monster19130146	5101144
monster19130147	5101144
monster19130117	5101154
monster19130118	5101154
monster19130119	5101154
monster19130120	5101154
monster19130121	5101154
monster19130122	5101154
monster19130123	5101154
monster19130124	5101154
monster19130125	5101154
monster19130126	5101154
monster19130127	5101154
monster19130128	5101154
monster19130129	5101154
monster19130130	5101154
monster19130131	5101154
monster19130132	5101154
monster19130133	5101154
monster19130134	5101154
monster19130135	5101154
monster19130136	5101154
monster19130137	5101154
monster19130138	5101154
monster19130139	5101154
monster19130140	5101154
monster19130141	5101154
monster19130142	5101154
monster19130143	5101154
monster19130144	5101154
monster19130145	5101154
monster19130146	5101154
monster19130147	5101154
monster19130117	5101164
monster19130118	5101164
monster19130119	5101164
monster19130120	5101164
monster19130121	5101164
monster19130122	5101164
monster19130123	5101164
monster19130124	5101164
monster19130125	5101164
monster19130126	5101164
monster19130127	5101164
monster19130128	5101164
monster19130129	5101164
monster19130130	5101164
monster19130131	5101164
monster19130132	5101164
monster19130133	5101164
monster19130134	5101164
monster19130135	5101164
monster19130136	5101164
monster19130137	5101164
monster19130138	5101164
monster19130139	5101164
monster19130140	5101164
monster19130141	5101164
monster19130142	5101164
monster19130143	5101164
monster19130144	5101164
monster19130145	5101164
monster19130146	5101164
monster19130147	5101164
monster19130117	5101174
monster19130118	5101174
monster19130119	5101174
monster19130120	5101174
monster19130121	5101174
monster19130122	5101174
monster19130123	5101174
