流水ID	关卡ID	层数ID	开放等级	携带词缀	道具奖励	首通掉落	推荐评分	攻略	预览地图资源	地图配置	进攻特效ID
int	int	int	int	string	string	string	string	string	string	string	int
id	type	level	opencondition	affixbuff	passreward	firstreward	score	strategy	mapname	mapconfig	effectid
1	1268	1	67	32;33;29;30;27;16	item1761001006612,1;item1761001006613,1	item176100100669,1;item176000000001,10;item1000,50000	UI_DefendAthenaPanel_Score	HSkName1268_01,NSkDes1268_01,NSkSolution1268_01;HSkName1268_02,NSkDes1268_02,NSkSolution1268_02;HSkName1268_03,NSkDes1268_03,NSkSolution1268_03;HSkName1268_04,NSkDes1268_04,NSkSolution1268_04	bg_star_map1	-195.2477;15.15268;0;-278.5804;102.1709;0;-287.4341;-103.5829;0;-67.67067;-110.9538;0	5910023
2	1268	2	67	32;33;29;30;27;16	item1761001006612,1;item1761001006613,1	item176100100669,1;item176000000001,20;item1000,50000	UI_DefendAthenaPanel_Score	HSkName1268_01,NSkDes1268_01,NSkSolution1268_01;HSkName1268_02,NSkDes1268_02,NSkSolution1268_02;HSkName1268_03,NSkDes1268_03,NSkSolution1268_03;HSkName1268_04,NSkDes1268_04,NSkSolution1268_04	bg_star_map1	-195.2477;15.15268;0;-278.5804;102.1709;0;-287.4341;-103.5829;0;-67.67067;-110.9538;0	5910023
3	1268	3	67	32;33;29;30;27;16	item1761001006618,1;item1761001006619,1;item1761001006612,1;item1761001006613,1	item176100100669,1;item176000000001,30;item1000,50000	UI_DefendAthenaPanel_Score	HSkName1268_01,NSkDes1268_01,NSkSolution1268_01;HSkName1268_02,NSkDes1268_02,NSkSolution1268_02;HSkName1268_03,NSkDes1268_03,NSkSolution1268_03;HSkName1268_04,NSkDes1268_04,NSkSolution1268_04	bg_star_map1	-195.2477;15.15268;0;-278.5804;102.1709;0;-287.4341;-103.5829;0;-67.67067;-110.9538;0	5910023
4	1268	4	68	32;33;29;30;27;16	item1761001006618,1;item1761001006619,1;item1761001006612,1;item1761001006613,1	item176100100669,1;item176000000001,40;item1000,80000	UI_DefendAthenaPanel_Score	HSkName1268_01,NSkDes1268_01,NSkSolution1268_01;HSkName1268_02,NSkDes1268_02,NSkSolution1268_02;HSkName1268_03,NSkDes1268_03,NSkSolution1268_03;HSkName1268_04,NSkDes1268_04,NSkSolution1268_04	bg_star_map1	-195.2477;15.15268;0;-278.5804;102.1709;0;-287.4341;-103.5829;0;-67.67067;-110.9538;0	5910023
5	1268	5	68	32;33;29;30;27;16	item1761001006618,1;item1761001006619,1;item1761001006612,1;item1761001006613,1	item176100100669,1;item176000000001,50;item1000,80000	UI_DefendAthenaPanel_Score	HSkName1268_01,NSkDes1268_01,NSkSolution1268_01;HSkName1268_02,NSkDes1268_02,NSkSolution1268_02;HSkName1268_03,NSkDes1268_03,NSkSolution1268_03;HSkName1268_04,NSkDes1268_04,NSkSolution1268_04	bg_star_map1	-195.2477;15.15268;0;-278.5804;102.1709;0;-287.4341;-103.5829;0;-67.67067;-110.9538;0	5910023
6	1268	6	68	32;33;29;30;27;16	item1761001006624,1;item1761001006625,1;item1761001006618,1;item1761001006619,1;item1761001006612,1;item1761001006613,1	item176100100669,1;item176000000001,60;item1000,80000	UI_DefendAthenaPanel_Score	HSkName1268_01,NSkDes1268_01,NSkSolution1268_01;HSkName1268_02,NSkDes1268_02,NSkSolution1268_02;HSkName1268_03,NSkDes1268_03,NSkSolution1268_03;HSkName1268_04,NSkDes1268_04,NSkSolution1268_04	bg_star_map1	-195.2477;15.15268;0;-278.5804;102.1709;0;-287.4341;-103.5829;0;-67.67067;-110.9538;0	5910023
7	1268	7	69	32;33;29;30;27;16	item1761001006624,1;item1761001006625,1;item1761001006618,1;item1761001006619,1;item1761001006612,1;item1761001006613,1	item176100100670,1;item176000000001,70;item1000,100000	UI_DefendAthenaPanel_Score	HSkName1268_01,NSkDes1268_01,NSkSolution1268_01;HSkName1268_02,NSkDes1268_02,NSkSolution1268_02;HSkName1268_03,NSkDes1268_03,NSkSolution1268_03;HSkName1268_04,NSkDes1268_04,NSkSolution1268_04	bg_star_map1	-195.2477;15.15268;0;-278.5804;102.1709;0;-287.4341;-103.5829;0;-67.67067;-110.9538;0	5910023
8	1268	8	69	32;33;29;30;27;16	item1761001006624,1;item1761001006625,1;item1761001006618,1;item1761001006619,1;item1761001006612,1;item1761001006613,1	item176100100670,1;item176000000001,80;item1000,100000	UI_DefendAthenaPanel_Score	HSkName1268_01,NSkDes1268_01,NSkSolution1268_01;HSkName1268_02,NSkDes1268_02,NSkSolution1268_02;HSkName1268_03,NSkDes1268_03,NSkSolution1268_03;HSkName1268_04,NSkDes1268_04,NSkSolution1268_04	bg_star_map1	-195.2477;15.15268;0;-278.5804;102.1709;0;-287.4341;-103.5829;0;-67.67067;-110.9538;0	5910023
9	1268	9	69	32;33;29;30;27;16	item1761001006624,1;item1761001006625,1;item1761001006618,1;item1761001006619,1;item1761001006612,1;item1761001006613,1	item176100100670,1;item176000000001,90;item1000,100000	UI_DefendAthenaPanel_Score	HSkName1268_01,NSkDes1268_01,NSkSolution1268_01;HSkName1268_02,NSkDes1268_02,NSkSolution1268_02;HSkName1268_03,NSkDes1268_03,NSkSolution1268_03;HSkName1268_04,NSkDes1268_04,NSkSolution1268_04	bg_star_map1	-195.2477;15.15268;0;-278.5804;102.1709;0;-287.4341;-103.5829;0;-67.67067;-110.9538;0	5910023
10	1268	10	70	32;33;29;30;27;16	item1761001006624,1;item1761001006625,1;item1761001006618,1;item1761001006619,1;item1761001006612,1;item1761001006613,1	item176100100670,1;item176000000001,100;item1000,150000	UI_DefendAthenaPanel_Score	HSkName1268_01,NSkDes1268_01,NSkSolution1268_01;HSkName1268_02,NSkDes1268_02,NSkSolution1268_02;HSkName1268_03,NSkDes1268_03,NSkSolution1268_03;HSkName1268_04,NSkDes1268_04,NSkSolution1268_04	bg_star_map1	-195.2477;15.15268;0;-278.5804;102.1709;0;-287.4341;-103.5829;0;-67.67067;-110.9538;0	5910023
11	1268	11	70	32;33;29;30;27;16	item1761001006624,1;item1761001006625,1;item1761001006618,1;item1761001006619,1;item1761001006612,1;item1761001006613,1	item176100100670,1;item176000000001,110;item1000,150000	UI_DefendAthenaPanel_Score	HSkName1268_01,NSkDes1268_01,NSkSolution1268_01;HSkName1268_02,NSkDes1268_02,NSkSolution1268_02;HSkName1268_03,NSkDes1268_03,NSkSolution1268_03;HSkName1268_04,NSkDes1268_04,NSkSolution1268_04	bg_star_map1	-195.2477;15.15268;0;-278.5804;102.1709;0;-287.4341;-103.5829;0;-67.67067;-110.9538;0	5910023
12	1268	12	70	32;33;29;30;27;16	item1761001006624,1;item1761001006625,1;item1761001006618,1;item1761001006619,1;item1761001006612,1;item1761001006613,1	item176100100670,1;item176000000001,120;item1000,150000	UI_DefendAthenaPanel_Score	HSkName1268_01,NSkDes1268_01,NSkSolution1268_01;HSkName1268_02,NSkDes1268_02,NSkSolution1268_02;HSkName1268_03,NSkDes1268_03,NSkSolution1268_03;HSkName1268_04,NSkDes1268_04,NSkSolution1268_04	bg_star_map1	-195.2477;15.15268;0;-278.5804;102.1709;0;-287.4341;-103.5829;0;-67.67067;-110.9538;0	5910023
13	1268	13	71	32;33;29;30;27;16	item1761001006624,1;item1761001006625,1;item1761001006618,1;item1761001006619,1;item1761001006612,1;item1761001006613,1	item176100100671,1;item176000000001,130;item1000,200000	UI_DefendAthenaPanel_Score	HSkName1268_01,NSkDes1268_01,NSkSolution1268_01;HSkName1268_02,NSkDes1268_02,NSkSolution1268_02;HSkName1268_03,NSkDes1268_03,NSkSolution1268_03;HSkName1268_04,NSkDes1268_04,NSkSolution1268_04	bg_star_map1	-195.2477;15.15268;0;-278.5804;102.1709;0;-287.4341;-103.5829;0;-67.67067;-110.9538;0	5910023
